line	pos	sign	conf	value	grade
PS1	1	127		NULL	C
PS1	2	133		NULL	C
PS2	1	1		n	C
PS2	2	101		i	C
PS2	3	31		t	C
PS2	4	121		NULL	C
PS2	5	131		NULL	C
PS2	6	41		v	I
PS2	7	102		i	C
PS2	8	30		s	C
PS2	9	29		s	C
PS2	10	81		e	C
PS2	11	2		n	C
PS2	12	136		uingt	M
PS2	13	14		p	C
PS2	14	61		a	C
PS2	15	26		s	C
PS2	16	191		?	U
PS2	17	56		z	C
PS2	18	10		o	C
PS2	19	91		g	C
PS2	20	82		e	C
PS2	21	33		t	C
PS2	22	23		r	C
PS2	23	63		a	C
PS2	24	79		d	C
PS2	26	195		?	U
PS3	1	92		g	C
PS3	2	24		r	C
PS3	3	6		o	C
PS3	4	26		s	C
PS3	5	27		s	C
PS3	6	83		e	C
PS3	7	23		r	C
PS3	8	133		NULL	C
PS3	9	76		d	C
PS3	10	103		i	C
PS3	11	84		e	C
PS3	12	127		NULL	C
PS3	13	29		s	C
PS3	14	84		e	C
PS3	15	88		f	C
PS3	16	64		a	C
PS3	17	29		s	C
PS4	1	29		s	C
PS4	2	35		t	C
PS4	3	193		?	U
PS4	4	136		uingt	M
PS5	1	126		NULL	C
PS5	2	77		d	C
PS5	3	85		e	C
PS5	4	5		n	C
PS5	5	139		?	U
PS5	6	25		r	C
PS5	7	84		e	C
PS5	8	120		m	C
PS5	9	83		e	C
PS5	10	78		d	C
PS5	11	104		i	C
PS5	12	105		i	C
PS5	13	30		s	C
PS6	1	99		h	I
PS6	2	40		u	C
PS6	3	112		l	C
PS6	4	89		f	I
PS6	5	144		NULL	C
PS7	1	116		m	C
PS7	2	9		o	C
PS7	3	3		n	C
PS7	4	30		s	C
PS7	5	101		i	C
PS7	6	81		e	C
PS7	7	38		u	C
PS7	8	21		r	C
PS7	9	80		d	C
PS7	10	81		e	C
PS7	11	111		l	C
PS7	12	61		a	C
PS7	13	121		NULL	C
PS7	14	5		n	C
PS7	15	10		o	C
PS7	16	37		u	C
