line	idx	code	chunk	run_span
05799_p1_L04	4	41	q	que aulcun appointement se polra faire ou non
05799_p1_L04	5	22	u	que aulcun appointement se polra faire ou non
05799_p1_L04	6	98	e	que aulcun appointement se polra faire ou non
05799_p1_L04	7	125	a	que aulcun appointement se polra faire ou non
05799_p1_L04	8	116	u	que aulcun appointement se polra faire ou non
05799_p1_L04	9	21	l	que aulcun appointement se polra faire ou non
05799_p1_L04	10	107	-	que aulcun appointement se polra faire ou non
05799_p1_L04	11	25	c	que aulcun appointement se polra faire ou non
05799_p1_L04	12	60	-	que aulcun appointement se polra faire ou non
05799_p1_L04	13	130	u	que aulcun appointement se polra faire ou non
05799_p1_L04	14	140	-	que aulcun appointement se polra faire ou non
05799_p1_L04	15	137	n	que aulcun appointement se polra faire ou non
05799_p1_L04	16	117	-	que aulcun appointement se polra faire ou non
05799_p1_L04	17	98	a	que aulcun appointement se polra faire ou non
05799_p1_L04	18	49	-	que aulcun appointement se polra faire ou non
05799_p1_L04	19	52	p	que aulcun appointement se polra faire ou non
05799_p1_L04	20	77	-	que aulcun appointement se polra faire ou non
05799_p1_L04	21	69	p	que aulcun appointement se polra faire ou non
05799_p1_L04	22	28	-	que aulcun appointement se polra faire ou non
05799_p1_L04	23	99	o	que aulcun appointement se polra faire ou non
05799_p1_L04	24	69	-	que aulcun appointement se polra faire ou non
05799_p1_L04	25	99	i	que aulcun appointement se polra faire ou non
05799_p1_L04	26	59	-	que aulcun appointement se polra faire ou non
05799_p1_L05	1	127	n	que aulcun appointement se polra faire ou non
05799_p1_L05	2	35	t	que aulcun appointement se polra faire ou non
05799_p1_L05	3	100	e	que aulcun appointement se polra faire ou non
05799_p1_L05	4	132	m	que aulcun appointement se polra faire ou non
05799_p1_L05	5	48	e	que aulcun appointement se polra faire ou non
05799_p1_L05	6	54	n	que aulcun appointement se polra faire ou non
05799_p1_L05	7	67	t	que aulcun appointement se polra faire ou non
05799_p1_L05	8	37	s	que aulcun appointement se polra faire ou non
05799_p1_L05	9	119	e	que aulcun appointement se polra faire ou non
05799_p1_L05	10	129	p	que aulcun appointement se polra faire ou non
05799_p1_L05	11	95	o	que aulcun appointement se polra faire ou non
05799_p1_L05	12	117	l	que aulcun appointement se polra faire ou non
05799_p1_L05	13	78	r	que aulcun appointement se polra faire ou non
05799_p1_L05	14	39	a	que aulcun appointement se polra faire ou non
05799_p1_L05	15	99	f	que aulcun appointement se polra faire ou non
05799_p1_L05	16	135	a	que aulcun appointement se polra faire ou non
05799_p1_L05	17	52	i	que aulcun appointement se polra faire ou non
05799_p1_L05	18	22	r	que aulcun appointement se polra faire ou non
05799_p1_L05	19	125	e	que aulcun appointement se polra faire ou non
05799_p1_L05	20	56	o	que aulcun appointement se polra faire ou non
05799_p1_L05	21	52	u	que aulcun appointement se polra faire ou non
05799_p1_L05	22	58	n	que aulcun appointement se polra faire ou non
05799_p1_L05	23	132	o	que aulcun appointement se polra faire ou non
05799_p1_L05	24	126	n	que aulcun appointement se polra faire ou non
05799_p1_L06	3	139	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	4	66	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	5	96	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	6	61	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	7	97	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	8	98	m	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	9	39	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	10	100	p	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	11	23	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	12	38	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	13	123	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	14	128	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	15	117	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	16	22	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	17	37	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	18	52	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	19	77	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	20	27	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	21	135	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	22	126	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	23	97	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L06	24	32	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	1	107	-	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	2	37	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	3	77	o	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	4	26	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	5	118	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	6	24	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	7	125	s	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	8	105	c	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	9	53	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	10	57	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	11	29	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	12	97	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	13	124	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	14	125	c	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	15	46	o	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	16	120	n	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	17	67	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	18	118	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	19	27	p	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	20	77	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	21	58	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	22	124	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	23	42	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	24	21	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	25	78	n	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L07	26	67	q	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	1	22	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	2	52	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	3	24	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	4	67	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	5	52	o	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	6	77	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	7	29	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	8	127	o	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	9	120	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	10	38	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	11	90	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	12	80	s	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	13	34	s	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	14	30	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	15	99	s	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	16	39	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	17	67	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	18	98	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	19	103	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	20	24	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	21	107	d	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	22	127	u	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	23	67	c	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	24	99	l	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L08	25	128	e	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	1	47	p	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	2	77	r	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	3	77	i	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	4	118	a	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	5	58	n	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	6	30	t	l'Empereur auroit escrit au Conte Palatin qu'il vouloit assi
05799_p1_L09	8	110	c	commandant de faire le mesme
05799_p1_L09	9	55	o	commandant de faire le mesme
05799_p1_L09	10	62	m	commandant de faire le mesme
05799_p1_L09	11	65	m	commandant de faire le mesme
05799_p1_L09	12	119	a	commandant de faire le mesme
05799_p1_L09	13	58	n	commandant de faire le mesme
05799_p1_L09	14	102	-	commandant de faire le mesme
05799_p1_L09	15	117	d	commandant de faire le mesme
05799_p1_L09	16	58	-	commandant de faire le mesme
05799_p1_L09	17	27	a	commandant de faire le mesme
05799_p1_L09	18	124	-	commandant de faire le mesme
05799_p1_L09	19	101	n	commandant de faire le mesme
05799_p1_L09	20	100	t	commandant de faire le mesme
05799_p1_L09	21	130	d	commandant de faire le mesme
05799_p1_L09	22	94	e	commandant de faire le mesme
05799_p1_L09	23	117	f	commandant de faire le mesme
05799_p1_L09	24	78	a	commandant de faire le mesme
05799_p1_L09	25	39	i	commandant de faire le mesme
05799_p1_L09	26	98	r	commandant de faire le mesme
05799_p1_L10	1	86	e	commandant de faire le mesme
05799_p1_L10	2	96	l	commandant de faire le mesme
05799_p1_L10	3	62	e	commandant de faire le mesme
05799_p1_L10	4	98	m	commandant de faire le mesme
05799_p1_L10	5	35	e	commandant de faire le mesme
05799_p1_L10	6	64	s	commandant de faire le mesme
05799_p1_L10	7	98	m	commandant de faire le mesme
05799_p1_L10	8	126	e	commandant de faire le mesme
05799_p1_L10	15	126	p	paix ny d'appointement
05799_p1_L10	16	132	a	paix ny d'appointement
05799_p1_L10	17	47	i	paix ny d'appointement
05799_p1_L10	18	120	x	paix ny d'appointement
05799_p1_L10	19	79	n	paix ny d'appointement
05799_p1_L10	20	15	y	paix ny d'appointement
05799_p1_L10	21	135	-	paix ny d'appointement
05799_p1_L10	22	137	d	paix ny d'appointement
05799_p1_L11	1	60	-	paix ny d'appointement
05799_p1_L11	2	10	a	paix ny d'appointement
05799_p1_L11	3	101	-	paix ny d'appointement
05799_p1_L11	4	117	p	paix ny d'appointement
05799_p1_L11	5	46	-	paix ny d'appointement
05799_p1_L11	6	50	p	paix ny d'appointement
05799_p1_L11	7	54	-	paix ny d'appointement
05799_p1_L11	8	78	o	paix ny d'appointement
05799_p1_L11	9	59	-	paix ny d'appointement
05799_p1_L11	10	29	i	paix ny d'appointement
05799_p1_L11	11	100	-	paix ny d'appointement
05799_p1_L11	12	64	n	paix ny d'appointement
05799_p1_L11	13	99	t	paix ny d'appointement
05799_p1_L11	14	58	e	paix ny d'appointement
05799_p1_L11	15	29	m	paix ny d'appointement
05799_p1_L11	16	126	e	paix ny d'appointement
05799_p1_L11	17	125	n	paix ny d'appointement
05799_p1_L11	18	137	t	paix ny d'appointement
