section	word_or_phrase	code	kind	grade	crop	note
MONOSYL1	dict	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear; this worker's crop cuts the code row for the whole "Monosillabes" line 1 at its lower edge -- neither this worker nor either blind subagent pass could read the codes for this row with confidence; a re-crop 200-300px taller is needed
MONOSYL1	fist	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word read as "fist"/"fust" (long-s); code unresolved, see above
MONOSYL1	fit	?	unresolved	M	atlas/p57_monosyl_row1.jpg	code unresolved
MONOSYL1	nest	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word ambiguous m/n first letter; code unresolved
MONOSYL1	avez	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word uncertain (nauez/auez/navez all suggested); code unresolved
MONOSYL1	quel	?	unresolved	M	atlas/p57_monosyl_row1.jpg	code unresolved
MONOSYL1	quil	?	unresolved	M	atlas/p57_monosyl_row1.jpg	code unresolved
MONOSYL1	fait	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear; code unresolved
MONOSYL1	pour	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear; code unresolved
MONOSYL1	doux	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear (or "Sous"/"bous", secretary d/S/b ambiguous); code unresolved
MONOSYL1	mon	?	unresolved	M	atlas/p57_monosyl_row1.jpg	abbreviated "m con -- dot"; code unresolved
MONOSYL1	dict	?	unresolved	M	atlas/p57_monosyl_row1.jpg	second occurrence in this row; code unresolved
MONOSYL1	je	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear; code unresolved
MONOSYL1	est	?	unresolved	M	atlas/p57_monosyl_row1.jpg	word clear; code unresolved
MONOSYL2	avec	8	digit	M	atlas/p57_monosyl_row2.jpg	word and digit both fairly clear; two of three transcriptions (this worker, one subagent) read 8
MONOSYL2	tout	2	digit	M	atlas/p57_monosyl_row2.jpg	digit read as 2 by this worker and one subagent; the other subagent read "a"
MONOSYL2	fault	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code shape disputed across all three reads (52-ligature / B2 / fl2); not safe to commit
MONOSYL2	hault	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code read as a looped L-shape by one pass, unresolved
MONOSYL2	en	?	unresolved	M	atlas/p57_monosyl_row2.jpg	word possibly "en"/"ung"/"im"; code unresolved (a "9"-like mark suggested but not confirmed)
MONOSYL2	oy	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code unresolved
MONOSYL2	par	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code unresolved
MONOSYL2	tant	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code disputed between 9/3/q; not safe to commit
MONOSYL2	quant	?	unresolved	M	atlas/p57_monosyl_row2.jpg	code disputed between 3/z; not safe to commit
MONOSYL2	mon	?	unresolved	M	atlas/p57_monosyl_row2.jpg	second "mon"-like entry in this row (nont/vont also suggested); code unresolved
MONOSYL2	nont	S11	sign	M	atlas/p57_monosyl_row2.jpg	non-digit sign: a small circle with a bar/cross through it, agreed by all three reads as a distinct symbol (not a digit)
MONOSYL2	une	S12	sign	M	atlas/p57_monosyl_row2.jpg	non-digit sign: a small cross/dagger mark, agreed by all three reads as a distinct symbol (not a digit)
LASTWORD	de	?	unresolved	M	atlas/p57_lastword_row.jpg	word clear; code read variously as a letter-shaped mark ("h"/"b") -- not safe to commit
LASTWORD	florence	?	unresolved	M	atlas/p57_lastword_row.jpg	NOTE: "florence" also appears in the left_wordlist below with a different code ("y") -- this may be a second, distinct nomenclator entry (e.g. a place-name vs. an adjective/common-word homonym) rather than a duplicate; not resolved which
LASTWORD	douze	?	unresolved	M	atlas/p57_lastword_row.jpg	word/code both disputed across the three reads; not safe to commit
LASTWORD	ami	A	letter_sign	M	atlas/p57_lastword_row.jpg	code read as a clear capital "A" by two of three passes
LASTWORD	mal	M	letter_sign	M	atlas/p57_lastword_row.jpg	code read as a clear capital "M" by two of three passes
LASTWORD	escu	?	unresolved	M	atlas/p57_lastword_row.jpg	word and code both uncertain (also read as "fua"/"esma")
