design	seed	true_key_score	symbols	tokens_scored	tokens_correct	pct	score_per_token	best_restart	restarts	iters	plaintext	reading
a	11	-0.851	20	101	97	96.0	-0.827	50	100	20000	commoncausesin|notgiue|nochargeto|arightdangerouspracticeand|s|protecthim|withhis|beenoften|ueryaptly|the|there	commoncausesin|notgiue|nochargeto|arightdangerouspracticeand|s|protecthim|withhis|beenouten|uerhaptth|the|there
a	12	-0.761	21	101	100	99.0	-0.759	14	100	20000	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|i|personsand|sexcuse|willstill|thisrealm|the|ofhis	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|i|tersonsand|sexcuse|willstill|thisrealm|the|ofhis
a	13	-0.831	20	101	90	89.1	-0.798	80	100	20000	thesaidgilbert|maiesty|towardshim|bythesightofthekingsperson|i|xlsperdiem|smother|gentlemen|therefore|yet|ofthe	thesaidgieuert|maiestr|towardshim|urthesightofthekingsterson|i|iesterdiem|smother|genteemen|therefore|ret|ofthe
b	11	-0.851	22	101	0	0.0	-0.978	73	100	20000	commoncausesin|notgiue|nochargeto|arightdangerouspracticeand|s|protecthim|withhis|beenoften|ueryaptly|the|there	enooneehaitise|enassam|enethisman|hisstaruestinailiueasether|i|linameatso|usattsi|ntmendate|aticularc|att|attit
b	12	-0.761	23	101	100	99.0	-0.759	18	100	20000	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|i|personsand|sexcuse|willstill|thisrealm|the|ofhis	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|i|tersonsand|sexcuse|willstill|thisrealm|the|ofhis
b	13	-0.831	21	101	98	97.0	-0.788	70	100	20000	thesaidgilbert|maiesty|towardshim|bythesightofthekingsperson|i|xlsperdiem|smother|gentlemen|therefore|yet|ofthe	thesaidgilbert|maiesty|towardshim|bythesightofthekingsterson|i|llsterdiem|smother|gentlemen|therefore|yet|ofthe
c	11	-0.851	24	97	93	95.9	-0.832	7	100	20000	commoncausesin|notgiue|nochargeto|arightdangerouspracticeand|s|protecthim|withhis|beenoften|ueryaptly|the|there	commoncausesin|notgiue|nochargeto|arightdangerouspracticeand|e|protecthim|withhis|beenotten|uerhaptoh|ing|there
c	12	-0.761	25	97	96	99.0	-0.760	98	100	20000	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|i|personsand|sexcuse|willstill|thisrealm|the|ofhis	wellaffectedto|xiidays|kingandthe|formercertifyingthetrauail|e|tersonsand|sexcuse|willstill|thisrealm|and|ofhis
c	13	-0.831	24	97	84	86.6	-0.772	63	100	20000	thesaidgilbert|maiesty|towardshim|bythesightofthekingsperson|i|xlsperdiem|smother|gentlemen|therefore|yet|ofthe	thesaidgintert|saiesto|towardshis|tothesightofthekingsperson|a|insperdies|ssother|gentnesen|therefore|her|ofthe
d	11	-1.040	20	101	19	18.8	-1.004	62	100	20000	lorainelangton|largges|claudhumes|lennoxafteriohndunfermline|a|postscript|lithgow|wednesday|countries|the|claud	sinattesatdoit|sandden|asarefrien|settimahoentifterthenistte|a|dinonantdo|stofdis|seetenear|airtonten|ofe|asare
d	12	-1.091	20	101	16	15.8	-0.960	99	100	20000	broxmouthparis|francis|ambassador|ambassadordenmarkarchibald|a|mauuiesier|priuate|nouembris|crayforde|and|aleyn	inaflastfrenes|ynelies|eliessedan|eliessedandallentenifeierd|e|lesseasean|rneseta|lasalines|inebyanda|eld|erabl
d	13	-1.142	19	101	33	32.7	-0.973	25	100	20000	februhumecarey|francis|yorkargile|rogerbeingormesmothelondon|s|englishman|loraine|kyllsythe|kyllsythe|for|rocco	hetradapesareu|hrassio|uerhartire|reterteisterpeopenderesnes|o|estriodpas|reraise|hurrounde|hurrounde|her|resse
