leaf	entry_label	a_position	a_token	b_token	kind
m0280	Carta 13	4	7	z	replace
m0280	Carta 13	14	7	z	replace
m0280	Carta 13	21	7	z	replace
m0280	Carta 13	40	2	z	replace
m0280	Carta 13	41	y	5	replace
m0280	Carta 13	49	y	4	replace
m0280	Carta 13	51	12	18	replace
m0280	Carta 13	(extra in B)		8	extra-b
m0280	Carta 13	(extra in B)		300	insert
m0280	Carta 13	66	11	55	replace
m0280	Carta 13	68	9±	5	replace
m0280	Carta 13	71	9±	5	replace
m0280	Carta 13	79	z	5	replace
m0280	Carta 13	99	z	5	replace
m0280	Carta 13	102	z	5	replace
m0280	Carta 13	116	7	5	replace
m0280	Carta 13	118	7	5	replace
m0280	Carta 13	135	m	(missing in B)	delete
m0281	Carta 15	3	g±	5	replace
m0281	Carta 15	10	z±	z	replace
m0281	Carta 15	12	g±	5	replace
m0281	Carta 15	23	7	5	replace
m0281	Carta 15	26	7	5	replace
m0281	Carta 15	28	b±	6	replace
m0281	Carta 15	30	7	5	replace
m0281	Carta 15	33	4±	4	replace
m0281	Carta 15	34	7	5	replace
m0281	Carta 15	39	7	5	replace
m0281	Carta 15	46	7	5	replace
m0281	Carta 15	52	b	6	replace
m0281	Carta 15	53	7	5	replace
m0281	Carta 15	56	z	2	replace
m0281	Carta 15	69	7	z	replace
m0281	Carta 15	(extra in B)		19	extra-b
m0281	Carta 15	(extra in B)		b	extra-b
m0281	Carta 15	(extra in B)		5	extra-b
m0281	Carta 23	6	7	z	replace
m0281	Carta 23	(extra in B)		g	insert
m0282	Carta 58	(extra in B)		19	insert
m0282	Carta 58	(extra in B)		8	insert
m0282	Carta 58	(extra in B)		4	insert
m0282	Carta 58	(extra in B)		a	insert
m0282	Carta 58	13	a	4	replace
m0282	Carta 58	21	14	19	replace
m0282	Carta 58	45	13	18	replace
m0282	Carta 58	47	13	18	replace
m0282	Carta 61	2	7	z	replace
m0282	Carta 61	10	7	z	replace
m0282	Carta 61	17	7	z	replace
m0282	Carta 61	22	7	z	replace
m0282	Carta 61	27	7	z	replace
m0282	Carta 61	41	2	z	replace
m0283	Carta 70	1	11	55	replace
m0283	Carta 70	10	7	z	replace
m0283	Carta 70	53	b±	6	replace
m0283	Carta 70	(extra in B)		14	extra-b
m0283	Carta 70	(extra in B)		17	extra-b
m0283	Carta 70	(extra in B)		12	extra-b
m0283	Carta 70	(extra in B)		4	extra-b
m0283	Carta 70	(extra in B)		19	extra-b
m0283	Carta 70	63	310±	3	replace
m0283	Carta 70	64	400±	10	replace
m0283	Carta 70	(extra in B)		400	extra-b
m0283	Carta 70	(extra in B)		10	insert
m0283	Carta 70	(extra in B)		17	insert
m0285	Carta 72	19	c	e	replace
m0285	Carta 72	25	c	e	replace
m0285	Carta 72	39	x	z	replace
m0285	Carta 72	45	c	e	replace
m0285	Carta 72	54	12±	18	replace
m0285	Passage 4a	3	c	e	replace
m0285	Passage 4a	(extra in B)		5	insert
m0285	Passage 4a	(extra in B)		5	insert
m0285	Passage 4a	(extra in B)		22	insert
m0285	Passage 4a	(extra in B)		3	insert
m0285	Passage 4a	(extra in B)		17	insert
m0285	Passage 5a	(extra in B)		14	insert
m0286	Carta 73	8	7	z	replace
m0286	Carta 73	15	23	28	replace
m0286	Carta 74	1	7	z	replace
m0286	Carta 74	3	6	b	replace
m0286	Carta 74	7	4±	L	replace
m0286	Carta 74	(extra in B)		z	insert
m0286	Carta 74	(extra in B)		12	insert
m0286	Carta 74	43	7	z	replace
m0286	Carta 74	(extra in B)		c	insert
m0286	Carta 74	(extra in B)		g	insert
m0286	Carta 74	(extra in B)		4	insert
m0286	Carta 74	(extra in B)		p	insert
m0286	Carta 74	(extra in B)		y	insert
m0286	Carta 74	(extra in B)		5	insert
m0286	Carta 74	(extra in B)		d	insert
m0286	Carta 74	(extra in B)		4	insert
m0286	Carta 74	(extra in B)		x	insert
m0286	Carta 74	(extra in B)		19	insert
m0286	Carta 74	(extra in B)		6	insert
m0286	Carta 74	(extra in B)		15	insert
m0286	Carta 74	(extra in B)		m	insert
m0286	Carta 74	(extra in B)		f	insert
m0286	Carta 74	(extra in B)		26	insert
m0286	Carta 74	(extra in B)		20	insert
m0286	Carta 74	48	7	z	replace
m0286	Carta 74	67	7	z	replace
m0286	Passage 3a	7	7	z	replace
m0286	Passage 3a	22	7	z	replace
m0287	Carta 78	5	7	x	replace
m0287	Carta 79	24	c	e	replace
m0287	Carta 79	28	7	z	replace
m0287	Carta 80	9	7	z	replace
m0288	Carta 81	15	7	z	replace
m0288	Carta 85	7	7	z	replace
m0288	Carta 85	18	q	(missing in B)	delete
