kind	cluster	sign_id	desc	confidence
sign	0	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-SLASH 1, CC-DASH 1, NINE 1, SEVEN 1] was MISC-00: small mixed junk (arrow/slash/dot/dbl-dash), n=4, not one shape	L
sign	1	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents BAR-THIN 9, _ 8, BLOB 2] was BAR-SERIF: tall thin vertical stroke with small foot/serif	H
sign	2	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents DBL-SLASH 10, CHEVRON2 4, CHEVRON 1] was HOOK-L: small left-opening hook/curl (comma-like)	H
sign	3	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents CC-O 1, O-DASHBELOW 1, DOT-LINE-O 1, SQUIG-DOT 1, ...] was MISC-03: mixed small squiggles (numeral-like), n=5, not one shape	L
sign	4	X	plain X cross (St Andrew's cross)	H
sign	5	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PCT 7, CC-DASH 5, PCT-SLASH 2, X 2, ...] was MISC-05: heterogeneous bucket (pct/square/triangle/circle-x/arrow), n=32 -- needs by-eye split, not one sign	L
sign	6	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents DOLLAR 2, DBL-SLASH 1, _ 1, THREE 1, ...] was MISC-06: mixed loopy shapes (ampersand/Venus/tally/z-curl), n=11 -- not one shape	L
sign	7	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents QQ-O 2, X-BAR-CC 2, II-O 2, II-SLASH 1, ...] was MISC-07: mixed complex glyphs (house-like/varied), n=11 -- not one shape	L
sign	8	BAR-SOLID	fully-inked solid vertical bar/wedge	M
sign	9	PCT	double-loop percent-like sign	H
sign	10	BAR-SOLID	solid vertical block, wider/rounder top -- same family as c8, heavier ink	M
sign	11	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents STAR 2, PICT-FACE 1, F-LETTER 1, EIGHT 1, ...] was MISC-11: mixed pictogram-like (sunburst-small/circle-P/figure), n=8 -- not one shape	L
sign	12	BAR-THIN	thin vertical stroke, some slightly curved like ( or l	M
sign	13	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PCT-SLASH 5, II-DASH 2, EIGHT 2, O-TILDE 2, ...] was MISC-13: mixed complex (figure-8/pct/key-like), n=21 -- not one shape	L
sign	14	X	bold/doubled-stroke X variant	M
sign	15	DASH-V	short vertical dash/tick (possibly punctuation)	M
sign	16	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents SUN 7, PICT-HOUSE 2, PICT-LEAF 1, X-O 1, ...] was SUN: sunburst pictogram (majority of cluster); a few rare pictograms (anchor/runner/wheel) also fell in here, not split out -- see exemplars	M
sign	17	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PCT-SLASH 4, O-DASH2 2, _ 2, C-DOT 2, ...] was MISC-17: mixed diagonal strokes/arrows, n=16 -- not one shape	L
sign	18	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents GEAR-DOT 3, CIRC-O 2, C-DOT 1] was GEAR-DOT: small round sign with internal dot/spokes	M
sign	19	Y-CURL	Y/chi-like forked stroke with curl	H
sign	20	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents LOOP-TAIL 2, WAVE 2, OX 2, HOOK-P 2, ...] was MISC-20: mixed hook/circle shapes, n=10 -- not one shape	L
sign	21	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents ARCH-DASH 3, BRACKET 1, N-LETTER 1, II-DASH 1, ...] was MISC-21: mixed complex glyphs (E-bar/omega/P/tally), n=13 -- not one shape	L
sign	22	X	bold X variant	M
sign	23	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-SLASH 8, M-LETTER 1] was LOOP-TAIL: small loop with descending tail (a/d-like)	H
sign	24	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents MULTI 2, ARCH-DOTS 1, STAR 1, PICT-FIGURE 1, ...] was MISC-24: mixed pictogram-ish squiggles, n=13 -- not one shape	L
sign	25	X	clean X, larger	H
sign	26	X	X-dominant but noisy cluster (arrow/dot/hourglass outliers present), n=21	M
sign	27	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents WAVE 4, OX-TILDE 3, O-TILDE 1, MULTI 1] was WAVE: horizontal wave/S-curve stroke	H
sign	28	X	bold/doubled X variants	M
sign	29	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents MULTI 7, OX-TILDE 2, _ 1, PICT-CROSSED 1, ...] was MISC-29: mixed pictogram squiggles (spider-like/circle-pct/infinity), n=18 -- not one shape	L
sign	30	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents MULTI 4, EIGHT 2, II-DASH 2, AMP 1, ...] was MISC-30: mixed (staff/flag/A/tally), n=13 -- not one shape	L
