letter	djvu_line	raw	cleaned	doubtful	prev_word	next_word	line_is_cipher
P4	15473	4	4	no		oportunities	no
P4	15489	18.	18.	no	cannot	12.	no
P4	15489	12.	12.	no	18.	25.	no
P4	15489	25.	25.	no	12.	19.	no
P4	15489	19.	19.	no	25.	17.	no
P4	15489	17.	17.	no	19.	34.	no
P4	15489	34.	34.	no	17.	3^;	no
P4	15489	40.	40.	no	\^-	n-	no
P4	15489	31.	31.	no	n-	37.	no
P4	15489	37.	37.	no	31.	25.	no
P4	15489	25.	25.	no	37.	30.	no
P4	15489	30.	30.	no	25.	17,	no
P4	15489	17,	17,	no	30.	23,	no
P4	15489	23,	23,	no	17,	4a	no
P4	15490	26.	26.	no		35.	no
P4	15490	35.	35.	no	26.	37.	no
P4	15490	37.	37.	no	35.	34.	no
P4	15490	34.	34.	no	37.	36.	no
P4	15490	36.	36.	no	34.	35.	no
P4	15490	35.	35.	no	36.	36.	no
P4	15490	36.	36.	no	35.	6.	no
P4	15490	6.	6.	no	36.	41.	no
P4	15490	41.	41.	no	6.	17.	no
P4	15490	17.	17.	no	41.	12.	no
P4	15490	12.	12.	no	17.	it	no
P4	15490	2.	2.	no	by	25.	no
P4	15490	25.	25.	no	2.	12.	no
P4	15490	12.	12.	no	25.		no
P4	15491	37.	37.	no		25.	yes
P4	15491	25.	25.	no	37.	17.	yes
P4	15491	17.	17.	no	25.	7.	yes
P4	15491	7.	7.	no	17.	30.	yes
P4	15491	30.	30.	no	7.	41.	yes
P4	15491	41.	41.	no	30.	17.	yes
P4	15491	17.	17.	no	41.	25.	yes
P4	15491	25.	25.	no	17.	and	yes
P4	15491	33.	33.	no	and	28.	yes
P4	15491	28.	28.	no	33.	35.	yes
P4	15491	35.	35.	no	28.	23.	yes
P4	15491	23.	23.	no	35.	40.	yes
P4	15491	40.	40.	no	23.	34.	yes
P4	15491	34.	34.	no	40.	35.	yes
P4	15491	35.	35.	no	34.	35.	yes
P4	15491	35.	35.	no	35.	7.	yes
P4	15491	7.	7.	no	35.	12.	yes
P4	15491	12.	12.	no	7.	3.	yes
P4	15491	3.	3.	no	12.	25.	yes
P4	15491	25.	25.	no	3.	19.	yes
