line	pos	sign	gloss	source	why
01	1	64	z	both	gloss is a z-shape with a crossbar, no long-s stem
01	5	26	e	both	two-part gloss (lower curve + detached top-right stroke), same form as agreed e over 16
01	15	58	tt	both	gloss two stems joined by a crossbar (H-like), crossed so tt not ll
01	17	62	e	both	two-part e-form gloss
01	18	S32	quel	both	gloss q + two minims + small letter + l; no a-bowl like the 'a' glosses; low confidence
01	20	|	a	H	small 'a' written above the divider stroke, right of 'so' gloss; same raised-a pattern after S35 in lines 03 and 07
01	22	S31	p	G	circle on a cross; cross seen at top of line02 crop
01	24	26	e	both	two-part e-form gloss
02	1	102		H	middle digit is a closed 0 with no ascender, not 6; stamp rim above, no gloss
02	4	26	e	both	two-part gloss (blob + detached top-right dot), e-form; neither pass
02	5	4	s	G	2 and 6 read as one 26 (gloss over the 2, as in line01 26); 4 separate with its own tall gloss; gloss is a tall long-s with no crossbar
02	6	9	s	H	gloss matches the agreed s over 9 in line01 pos6 (blob + up-right stroke)
02	8	60	z	G	gloss is the crossed-z form (as line01 pos1)
02	9	S40	r	H	gloss is the 2-shaped r, identical to the agreed r over S40 in line01
02	13	DEL		DEL	10 and 2 are one code 102 (spacing as in 104); gloss u over the 10
02	14	102	u	H	one code 102, spacing like 104; gloss u over 10
02	17	64	z	G	crossed-z gloss as line01 pos1
02	25	60	i	G	gloss is a single minim, no crossbar
02	26	26	e	H	two-part e-form gloss
02	27	4	s	G	26 + 4 as pos5; tall long-s gloss touches the 4 top, no crossbar of its own
02	34	S31	p	G	circle on cross, cross clear at top of line03 crop
03	1	4	ss	H	a clear 4 at line level; above it two tall long-s strokes joined by a top bar (gloss, like other tall glosses over 4), no crossbar; small c-like mark at top right unassigned
03	6	S34	r	H	gloss is the 2-shaped r; the crossing thin diagonal is the tail of line02's 9
03	7	26	c	new	2 and 6 one code as elsewhere; gloss a single curve with top-right flag attached (c-with-horn), not the two-part e; r possible
03	8	4	s	G	4 alone; tall long-s gloss without crossbar
03	10	82	o	H	gloss over the 8 is a small closed loop, o; low confidence
03	12	9	c	new	gloss is a c-curve with a top bar; the vertical through it is the faint divider line, so not q
03	13	S40	r	H	arch sign; gloss r sits above the S40/6 junction; S40 is r elsewhere
03	14	62		H	a separate small 6-loop with stem and a 2 inside the S40 flourish; S40 atlas has no inner loop
03	17	S16	d	H	thin short long-s with a hairline hooked top, no 5-flag or bottom hook (compare 5 in line04 pos21); d gloss as other S16
03	18	16	e	H	two-part e-form gloss
03	19	9	s	H	blob with rightward stroke, matches s-form over 9 in line01; partly merged with line02 descender; c possible
03	20	26	e	H	two-part e-form gloss
03	21	S32	que	G	gloss reads que; the tall stroke after it is the gloss of the 4 (pos23)
03	23	4	s	H	tall long-s gloss, no crossbar
03	25	60	i	G	short stroke with small top-left serif, minim height; not a tall l
03	26	S31	p	G	gloss stem with a bowl at top right and a crossbar, crossed p as in line01 pos22
03	27	64	l	H	gloss short upright with a foot curling right; not the crossed-z form; low confidence
03	28	DEL		DEL	the two 4s are one code 44: spacing as in 64, one gloss o over the first 4, second 4 unglossed
03	29	44	o	G	one code 44 with gloss o over the first digit
03	32	|	a	H	raised 'a' after the 'so' gloss, above the divider, as line01 pos20
03	34	S34	r	H	2-shaped r gloss
03	35	16	e	H	two-part e-form gloss
04	1	4	s	H	tall long-s joined to the 4 top, no crossbar
04	5	S16	d	H	thin short long-s stroke with hairline top, matches S16 not the flagged 5 (line04 pos21)
04	7	S16	d	H	same thin long-s form as pos5
04	12	S40	r	H	a small 2-shaped knot on a descender from line 03 above the S40; low confidence
04	13	5	l	H	loop at the foot of line03's S40 leg descending here reads as script l over the 5; 5 is l elsewhere
04	14	16	e	H	two-part e-form gloss
04	17	64	z	G	crossed-z gloss
04	22	16	e	H	two-part e-form gloss
04	23	S32	quel	H	u-stroke + y with long tail = S32's top-left hook; gloss quel as other S32
