value	plaintext	grade	source_line
1	Maryland	H	raw/WE028.txt:1
2	ashness	H	raw/WE028.txt:2
3	West Indies	H	raw/WE028.txt:3
4	however	H	raw/WE028.txt:4
5	London	H	raw/WE028.txt:5
6	Spect	H	raw/WE028.txt:6
7	Navigation	H	raw/WE028.txt:7
8	Parliament	H	raw/WE028.txt:8
9	character	H	raw/WE028.txt:9
10	Virginia	H	raw/WE028.txt:10
11	animous	H	raw/WE028.txt:11
12	Rho. Island	H	raw/WE028.txt:12
13	Observation	H	raw/WE028.txt:13
14	thither	H	raw/WE028.txt:14
15	ordinance	H	raw/WE028.txt:15
16	emperor	H	raw/WE028.txt:16
17	promise	H	raw/WE028.txt:17
18	eligible	H	raw/WE028.txt:18
19	trouble	H	raw/WE028.txt:19
20	seventeen	H	raw/WE028.txt:20
21	minister	H	raw/WE028.txt:21
22	station	H	raw/WE028.txt:22
23	agreeable	H	raw/WE028.txt:23
24	struct	H	raw/WE028.txt:24
25	deliberate	H	raw/WE028.txt:25
26	fication	H	raw/WE028.txt:26
27	love	H	raw/WE028.txt:27
28	opportunity	H	raw/WE028.txt:28
29	consequence	H	raw/WE028.txt:29
30	manufacture	H	raw/WE028.txt:30
31	such	H	raw/WE028.txt:31
32	Washington	H	raw/WE028.txt:32
33	So. Carolina	H	raw/WE028.txt:33
34	disaffect	H	raw/WE028.txt:34
35	Sunday	H	raw/WE028.txt:35
36	Hampshire	H	raw/WE028.txt:36
37	together	H	raw/WE028.txt:37
38	netherlands	H	raw/WE028.txt:38
39	Sweden	H	raw/WE028.txt:39
40	obligation	H	raw/WE028.txt:40
41	communica	H	raw/WE028.txt:41
42	multiplicity	H	raw/WE028.txt:42
43	hundred	H	raw/WE028.txt:43
44	negotiation	H	raw/WE028.txt:44
45	principal	H	raw/WE028.txt:45
46	circumstance	H	raw/WE028.txt:46
47	magistrate	H	raw/WE028.txt:47
48	assembly	H	raw/WE028.txt:48
49	United States	H	raw/WE028.txt:49
50	New Hampshire	H	raw/WE028.txt:50
51	january	H	raw/WE028.txt:51
52	massachusetts	H	raw/WE028.txt:52
53	Philadelphia	H	raw/WE028.txt:53
54	Great Britain	H	raw/WE028.txt:54
55	plenipotentiary	H	raw/WE028.txt:55
56	notwithstanding	H	raw/WE028.txt:56
57	Pennsylvania	H	raw/WE028.txt:57
58	Confederation	H	raw/WE028.txt:58
59	Mediterranean	H	raw/WE028.txt:59
60	Wednesday	H	raw/WE028.txt:60
61	September	H	raw/WE028.txt:61
62	Yesterday	H	raw/WE028.txt:62
63	quire	H	raw/WE028.txt:63
64	know	H	raw/WE028.txt:64
65	America	H	raw/WE028.txt:65
66	Connecticut	H	raw/WE028.txt:66
67	monarch	H	raw/WE028.txt:67
68	foreign	H	raw/WE028.txt:68
69	december	H	raw/WE028.txt:69
70	necessary	H	raw/WE028.txt:70
71	commerce	H	raw/WE028.txt:71
72	measure	H	raw/WE028.txt:72
73	bermuda	H	raw/WE028.txt:73
74	question	H	raw/WE028.txt:74
75	nova Scotia	H	raw/WE028.txt:75
76	fabruary	H	raw/WE028.txt:76
77	attempt	H	raw/WE028.txt:77
78	president	H	raw/WE028.txt:78
79	nevertheless	H	raw/WE028.txt:79
80		H	raw/WE028.txt:80
81	objection	H	raw/WE028.txt:81
82	mississippi	H	raw/WE028.txt:82
83	opposition	H	raw/WE028.txt:83
84	whence	H	raw/WE028.txt:84
85	behind	H	raw/WE028.txt:85
86	reciprocal	H	raw/WE028.txt:86
87	South	H	raw/WE028.txt:87
88	thursday	H	raw/WE028.txt:88
89	ireland	H	raw/WE028.txt:89
90	Should	H	raw/WE028.txt:90
91	merchant	H	raw/WE028.txt:91
92	Versailles	H	raw/WE028.txt:92
93	according	H	raw/WE028.txt:93
94	therefore	H	raw/WE028.txt:94
95	Saturday	H	raw/WE028.txt:95
96	denmark	H	raw/WE028.txt:96
97	resolution	H	raw/WE028.txt:97
98	lution	H	raw/WE028.txt:98
99	plection	H	raw/WE028.txt:99
100	correspond	H	raw/WE028.txt:100
101	bohemia	H	raw/WE028.txt:101
102	Canada	H	raw/WE028.txt:102
103	change	H	raw/WE028.txt:103
104	circum	H	raw/WE028.txt:104
105	commence	H	raw/WE028.txt:105
106	commit	H	raw/WE028.txt:106
107	ocmmon	H	raw/WE028.txt:107
108	comply	H	raw/WE028.txt:108
109	concern	H	raw/WE028.txt:109
110	Concili	H	raw/WE028.txt:110
111	conclude	H	raw/WE028.txt:111
112	condition	H	raw/WE028.txt:112
113	confer	H	raw/WE028.txt:113
114	confide	H	raw/WE028.txt:114
115	confirm	H	raw/WE028.txt:115
116	congress	H	raw/WE028.txt:116
117	connection	H	raw/WE028.txt:117
118	consider	H	raw/WE028.txt:118
119	constitu	H	raw/WE028.txt:119
120	consul	H	raw/WE028.txt:120
121	cont	H	raw/WE028.txt:121
122	contest	H	raw/WE028.txt:122
123	continent	H	raw/WE028.txt:123
124	contra	H	raw/WE028.txt:124
125	contrary	H	raw/WE028.txt:125
126	convey	H	raw/WE028.txt:126
127	curation	H	raw/WE028.txt:127
128	governor	H	raw/WE028.txt:128
129	man	H	raw/WE028.txt:129
130	mini	H	raw/WE028.txt:130
131	ministry	H	raw/WE028.txt:131
132	minority	H	raw/WE028.txt:132
133	mir	H	raw/WE028.txt:133
134	mis	H	raw/WE028.txt:134
135	mise	H	raw/WE028.txt:135
136	mission	H	raw/WE028.txt:136
137	mit	H	raw/WE028.txt:137
138	mity	H	raw/WE028.txt:138
139	mix	H	raw/WE028.txt:139
140	mn	H	raw/WE028.txt:140
141	mo	H	raw/WE028.txt:141
142	mod	H	raw/WE028.txt:142
143	moderate	H	raw/WE028.txt:143
144	mol	H	raw/WE028.txt:144
145	moment	H	raw/WE028.txt:145
146	mon	H	raw/WE028.txt:146
147	monday	H	raw/WE028.txt:147
148	money	H	raw/WE028.txt:148
149	month	H	raw/WE028.txt:149
150	mor	H	raw/WE028.txt:150
151	more	H	raw/WE028.txt:151
152	mos	H	raw/WE028.txt:152
153	most	H	raw/WE028.txt:153
154	mot	H	raw/WE028.txt:154
155	motion	H	raw/WE028.txt:155
156	motive	H	raw/WE028.txt:156
157	mou	H	raw/WE028.txt:157
158	move	H	raw/WE028.txt:158
159	mour	H	raw/WE028.txt:159
160	mp	H	raw/WE028.txt:160
161	mu	H	raw/WE028.txt:161
162	much	H	raw/WE028.txt:162
163	mul	H	raw/WE028.txt:163
164	multi	H	raw/WE028.txt:164
165	mur	H	raw/WE028.txt:165
166	mut	H	raw/WE028.txt:166
167	my	H	raw/WE028.txt:167
168	ey	H	raw/WE028.txt:168
169	he	H	raw/WE028.txt:169
170	hea	H	raw/WE028.txt:170
171	head	H	raw/WE028.txt:171
172	hear	H	raw/WE028.txt:172
173	hed	H	raw/WE028.txt:173
174	held	H	raw/WE028.txt:174
175	help	H	raw/WE028.txt:175
176	hence	H	raw/WE028.txt:176
177	her	H	raw/WE028.txt:177
178	here	H	raw/WE028.txt:178
179	hi	H	raw/WE028.txt:179
180	high	H	raw/WE028.txt:180
181	hil	H	raw/WE028.txt:181
182	him	H	raw/WE028.txt:182
183	hin	H	raw/WE028.txt:183
184	his	H	raw/WE028.txt:184
185	hither	H	raw/WE028.txt:185
186	ho	H	raw/WE028.txt:186
187	hol	H	raw/WE028.txt:187
188	hold	H	raw/WE028.txt:188
189	holland	H	raw/WE028.txt:189
190	home	H	raw/WE028.txt:190
191	hon	H	raw/WE028.txt:191
192	honest	H	raw/WE028.txt:192
193	honor	H	raw/WE028.txt:193
194	hood	H	raw/WE028.txt:194
195	hope	H	raw/WE028.txt:195
196	hor	H	raw/WE028.txt:196
197	horse	H	raw/WE028.txt:197
198	hos	H	raw/WE028.txt:198
199	how	H	raw/WE028.txt:199
200	hu	H	raw/WE028.txt:200
201	particular	H	raw/WE028.txt:201
202	peculiar	H	raw/WE028.txt:202
203	plication	H	raw/WE028.txt:203
204	portugal	H	raw/WE028.txt:204
205	power	H	raw/WE028.txt:205
206	pr	H	raw/WE028.txt:206
207	pract	H	raw/WE028.txt:207
208	pre	H	raw/WE028.txt:208
209	pres	H	raw/WE028.txt:209
210	present	H	raw/WE028.txt:210
211	pret	H	raw/WE028.txt:211
212	prevent	H	raw/WE028.txt:212
213	pri	H	raw/WE028.txt:213
214	prin	H	raw/WE028.txt:214
215	prince	H	raw/WE028.txt:215
216	principle	H	raw/WE028.txt:216
217	print	H	raw/WE028.txt:217
218	private	H	raw/WE028.txt:218
219	pro	H	raw/WE028.txt:219
220	probab	H	raw/WE028.txt:220
221	proceed	H	raw/WE028.txt:221
222	produce	H	raw/WE028.txt:222
223	profess	H	raw/WE028.txt:223
224	prom	H	raw/WE028.txt:224
225	prop	H	raw/WE028.txt:225
226	proper	H	raw/WE028.txt:226
227	propose	H	raw/WE028.txt:227
228	pros	H	raw/WE028.txt:228
229	pu	H	raw/WE028.txt:229
230	publi	H	raw/WE028.txt:230
231	put	H	raw/WE028.txt:231
232	py	H	raw/WE028.txt:232
233	sem	H	raw/WE028.txt:233
234	sen	H	raw/WE028.txt:234
235	since	H	raw/WE028.txt:235
236	sion	H	raw/WE028.txt:236
237	sist	H	raw/WE028.txt:237
238	site	H	raw/WE028.txt:238
239	sive	H	raw/WE028.txt:239
240	six	H	raw/WE028.txt:240
241	sixteen	H	raw/WE028.txt:241
242	sixth	H	raw/WE028.txt:242
243	sixty	H	raw/WE028.txt:243
244	sk	H	raw/WE028.txt:244
245	sl	H	raw/WE028.txt:245
246	am	H	raw/WE028.txt:246
247	smal	H	raw/WE028.txt:247
248	sn	H	raw/WE028.txt:248
249	so	H	raw/WE028.txt:249
250	some	H	raw/WE028.txt:250
251	son	H	raw/WE028.txt:251
252	sor	H	raw/WE028.txt:252
253	sort	H	raw/WE028.txt:253
254	sp	H	raw/WE028.txt:254
255	spa	H	raw/WE028.txt:255
256	Spain	H	raw/WE028.txt:256
257	speci	H	raw/WE028.txt:257
258	spi	H	raw/WE028.txt:258
259	spire	H	raw/WE028.txt:259
260	spr	H	raw/WE028.txt:260
261	squ	H	raw/WE028.txt:261
262	st	H	raw/WE028.txt:262
263	sta	H	raw/WE028.txt:263
264	State	H	raw/WE028.txt:264
265	erce	H	raw/WE028.txt:265
266	eri	H	raw/WE028.txt:266
267	erior	H	raw/WE028.txt:267
268	ern	H	raw/WE028.txt:268
269	ers	H	raw/WE028.txt:269
270	ery	H	raw/WE028.txt:270
271	es	H	raw/WE028.txt:271
272	est	H	raw/WE028.txt:272
273	establish	H	raw/WE028.txt:273
274	esteem	H	raw/WE028.txt:274
275	et	H	raw/WE028.txt:275
276	ete	H	raw/WE028.txt:276
277	eted	H	raw/WE028.txt:277
278	eth	H	raw/WE028.txt:278
279	ety	H	raw/WE028.txt:279
280	eu	H	raw/WE028.txt:280
281	eva	H	raw/WE028.txt:281
282	even	H	raw/WE028.txt:282
283	event	H	raw/WE028.txt:283
284	ever	H	raw/WE028.txt:284
285	evil	H	raw/WE028.txt:285
286	evit	H	raw/WE028.txt:286
287	europe	H	raw/WE028.txt:287
288	ew	H	raw/WE028.txt:288
289	ex	H	raw/WE028.txt:289
290	exam	H	raw/WE028.txt:290
291	exceed	H	raw/WE028.txt:291
292	except	H	raw/WE028.txt:292
293	execut	H	raw/WE028.txt:293
294	exemp	H	raw/WE028.txt:294
295	exp	H	raw/WE028.txt:295
296	expedi	H	raw/WE028.txt:296
297	express	H	raw/WE028.txt:297
298	ext	H	raw/WE028.txt:298
299	extra	H	raw/WE028.txt:299
300	extreme	H	raw/WE028.txt:300
301	F	H	raw/WE028.txt:301
302	fa	H	raw/WE028.txt:302
303	fab	H	raw/WE028.txt:303
304	fac	H	raw/WE028.txt:304
305	fact	H	raw/WE028.txt:305
306	faction	H	raw/WE028.txt:306
307	factory	H	raw/WE028.txt:307
308	fai	H	raw/WE028.txt:308
309	faith	H	raw/WE028.txt:309
310	fal	H	raw/WE028.txt:310
311	fam	H	raw/WE028.txt:311
312	fan	H	raw/WE028.txt:312
313	far	H	raw/WE028.txt:313
314	farther	H	raw/WE028.txt:314
315	fast	H	raw/WE028.txt:315
316	fat	H	raw/WE028.txt:316
317	fav	H	raw/WE028.txt:317
318	favor	H	raw/WE028.txt:318
319	fe	H	raw/WE028.txt:319
320	fear	H	raw/WE028.txt:320
321	feat	H	raw/WE028.txt:321
322	fect	H	raw/WE028.txt:322
323	fection	H	raw/WE028.txt:323
324	federal	H	raw/WE028.txt:324
325	fel	H	raw/WE028.txt:325
326	fem	H	raw/WE028.txt:326
327	fer	H	raw/WE028.txt:327
328	fes	H	raw/WE028.txt:328
329	few	H	raw/WE028.txt:329
330	fi	H	raw/WE028.txt:330
331	ficent	H	raw/WE028.txt:331
332	ficial	H	raw/WE028.txt:332
333	fict	H	raw/WE028.txt:333
334	fiction	H	raw/WE028.txt:334
335	fied	H	raw/WE028.txt:335
336	fifteen	H	raw/WE028.txt:336
337	fifth	H	raw/WE028.txt:337
338	fifty	H	raw/WE028.txt:338
339	fig	H	raw/WE028.txt:339
340	fil	H	raw/WE028.txt:340
341	fin	H	raw/WE028.txt:341
342	final	H	raw/WE028.txt:342
343	fine	H	raw/WE028.txt:343
344	fir	H	raw/WE028.txt:344
345	first	H	raw/WE028.txt:345
346	fish	H	raw/WE028.txt:346
347	fit	H	raw/WE028.txt:347
348	five	H	raw/WE028.txt:348
349	fix	H	raw/WE028.txt:349
350	fla	H	raw/WE028.txt:350
351	nkle	H	raw/WE028.txt:351
352	no	H	raw/WE028.txt:352
353	nob	H	raw/WE028.txt:353
354	nom	H	raw/WE028.txt:354
355	non	H	raw/WE028.txt:355
356	none	H	raw/WE028.txt:356
357	nor	H	raw/WE028.txt:357
358	north	H	raw/WE028.txt:358
359	. Carolina	H	raw/WE028.txt:359
360	not	H	raw/WE028.txt:360
361	noth	H	raw/WE028.txt:361
362	notify	H	raw/WE028.txt:362
363	nou	H	raw/WE028.txt:363
364	november	H	raw/WE028.txt:364
365	nour	H	raw/WE028.txt:365
366	now	H	raw/WE028.txt:366
367	ns	H	raw/WE028.txt:367
368	nst	H	raw/WE028.txt:368
369	nt	H	raw/WE028.txt:369
370	nty	H	raw/WE028.txt:370
371	nu	H	raw/WE028.txt:371
372	nul	H	raw/WE028.txt:372
373	num	H	raw/WE028.txt:373
374	number	H	raw/WE028.txt:374
375	nwi[nurでは？cf.WE027]	H	raw/WE028.txt:375
376	nxi	H	raw/WE028.txt:376
377	ny	H	raw/WE028.txt:377
378	ste	H	raw/WE028.txt:378
379	stead	H	raw/WE028.txt:379
380	sti	H	raw/WE028.txt:380
381	sto	H	raw/WE028.txt:381
382	str	H	raw/WE028.txt:382
383	su	H	raw/WE028.txt:383
384	sub	H	raw/WE028.txt:384
385	suc	H	raw/WE028.txt:385
386	sud	H	raw/WE028.txt:386
387	sue	H	raw/WE028.txt:387
388	suf	H	raw/WE028.txt:388
389	sug	H	raw/WE028.txt:389
390	sul	H	raw/WE028.txt:390
391	sum	H	raw/WE028.txt:391
392	sun	H	raw/WE028.txt:392
393	sup	H	raw/WE028.txt:393
394	super	H	raw/WE028.txt:394
395	sur	H	raw/WE028.txt:395
396	sure	H	raw/WE028.txt:396
397	sus	H	raw/WE028.txt:397
398	sw	H	raw/WE028.txt:398
399	sy	H	raw/WE028.txt:399
400	wy	H	raw/WE028.txt:400
401	N	H	raw/WE028.txt:401
402	na	H	raw/WE028.txt:402
403	nal	H	raw/WE028.txt:403
404	name	H	raw/WE028.txt:404
405	nance	H	raw/WE028.txt:405
406	nancy	H	raw/WE028.txt:406
407	nant	H	raw/WE028.txt:407
408	nar	H	raw/WE028.txt:408
409	narrow	H	raw/WE028.txt:409
410	nat	H	raw/WE028.txt:410
411	nation	H	raw/WE028.txt:411
412	native	H	raw/WE028.txt:412
413	natur	H	raw/WE028.txt:413
414	navy	H	raw/WE028.txt:414
415	nay	H	raw/WE028.txt:415
416	nd	H	raw/WE028.txt:416
417	ne	H	raw/WE028.txt:417
418	nea	H	raw/WE028.txt:418
419	near	H	raw/WE028.txt:419
420	nearly	H	raw/WE028.txt:420
421	necessit	H	raw/WE028.txt:421
422	ned	H	raw/WE028.txt:422
423	need	H	raw/WE028.txt:423
424	neg	H	raw/WE028.txt:424
425	negative	H	raw/WE028.txt:425
426	negotiat	H	raw/WE028.txt:426
427	neighbor	H	raw/WE028.txt:427
428	neither	H	raw/WE028.txt:428
429	ner	H	raw/WE028.txt:429
430	ness	H	raw/WE028.txt:430
431	nest	H	raw/WE028.txt:431
432	net	H	raw/WE028.txt:432
433	Never	H	raw/WE028.txt:433
434	Neuter	H	raw/WE028.txt:434
435	Neutral	H	raw/WE028.txt:435
436	New	H	raw/WE028.txt:436
437	next	H	raw/WE028.txt:437
438	ng	H	raw/WE028.txt:438
439	ni	H	raw/WE028.txt:439
440	nice	H	raw/WE028.txt:440
441	nigh	H	raw/WE028.txt:441
442	night	H	raw/WE028.txt:442
443	nine	H	raw/WE028.txt:443
444	nineteen	H	raw/WE028.txt:444
445	ninety	H	raw/WE028.txt:445
446	ning	H	raw/WE028.txt:446
447	ninth	H	raw/WE028.txt:447
448	nish	H	raw/WE028.txt:448
449	nity	H	raw/WE028.txt:449
450	nk	H	raw/WE028.txt:450
451	U.V.	H	raw/WE028.txt:451
452	va	H	raw/WE028.txt:452
453	vail	H	raw/WE028.txt:453
454	val	H	raw/WE028.txt:454
455	van	H	raw/WE028.txt:455
456	vap	H	raw/WE028.txt:456
457	uce	H	raw/WE028.txt:457
458	ve	H	raw/WE028.txt:458
459	ved	H	raw/WE028.txt:459
460	ven	H	raw/WE028.txt:460
461	vent	H	raw/WE028.txt:461
462	vention	H	raw/WE028.txt:462
463	ver	H	raw/WE028.txt:463
464	very	H	raw/WE028.txt:464
465	vest	H	raw/WE028.txt:465
466	uge	H	raw/WE028.txt:466
467	ui	H	raw/WE028.txt:467
468	vienna	H	raw/WE028.txt:468
469	view	H	raw/WE028.txt:469
470	vil	H	raw/WE028.txt:470
471	vin	H	raw/WE028.txt:471
472	ving	H	raw/WE028.txt:472
473	vir	H	raw/WE028.txt:473
474	virtu	H	raw/WE028.txt:474
475	virtue	H	raw/WE028.txt:475
476	vis	H	raw/WE028.txt:476
477	ult	H	raw/WE028.txt:477
478	ume	H	raw/WE028.txt:478
479	un	H	raw/WE028.txt:479
480	under	H	raw/WE028.txt:480
481	United	H	raw/WE028.txt:481
482	unless	H	raw/WE028.txt:482
483	until	H	raw/WE028.txt:483
484	vo	H	raw/WE028.txt:484
485	vol	H	raw/WE028.txt:485
486	vote	H	raw/WE028.txt:486
487	up	H	raw/WE028.txt:487
488	upon	H	raw/WE028.txt:488
489	upper	H	raw/WE028.txt:489
490	ur	H	raw/WE028.txt:490
491	us	H	raw/WE028.txt:491
492	use	H	raw/WE028.txt:492
493	ut	H	raw/WE028.txt:493
494	ute	H	raw/WE028.txt:494
495	uy	H	raw/WE028.txt:495
496	W	H	raw/WE028.txt:496
497	wa	H	raw/WE028.txt:497
498	war	H	raw/WE028.txt:498
499	ward	H	raw/WE028.txt:499
500	was	H	raw/WE028.txt:500
