source	item	reason
europeana	"14 base terms, qf=TYPE:IMAGE: cipher (1019), cypher (184), chiffre (682), chiffré (682, identical to chiffre -- accent-folded, same result set), cifra (6322), cifrado (20), ""in cifra"" (3), Geheimschrift (8), chiffriert (1), cijfer (915), ""en chiffres"" (130), crittografia (0), szyfr (3), šifra (20)"	10596 raw hits summed with heavy overlap; every full set of <=100 hits reviewed in full, every set >100 sampled at its top-100-by-relevance page
europeana	cipher, TYPE:IMAGE, ~92 of 100 sampled hits after excluding known noise regexes	dominant sense across the whole set is heraldic/royal "cipher" = a monogram or royal insignia (Swedish Army Museum "namnchiffer" on uniforms/punches/flags, V&A porcelain/silverware "crowned cipher", funerary "cippe"/"cipe" false match on the French word for a boundary stone); also WWII-era cryptographic hardware already documented as museum objects (Enigma, Siemens Geheimschreiber T52e, Hagelin CD-55) and modern encryption devices (Telekrypt Mini, file-encryption software) -- none is manuscript correspondence
europeana	cypher, TYPE:IMAGE, full 100 sampled	same royal/heraldic-monogram sense dominates in English specifically ("The Royal Cypher", "Coronation Mug with mistake in Cypher", V&A/Royal Museums Greenwich porcelain and jewellery with a monarch's cypher) plus Portable Antiquities Scheme trade-weight/token records (crown+cypher maker's marks) -- no correspondence
europeana	cifra, cijfer, "en chiffres" -- dominant senses, TYPE:IMAGE	"cifra" (Spanish/Italian/Romanian) is overwhelmingly the numeral/digit sense (coin legends "monede"/"poltură", scale figures, a "0"-as-letter pun) as already documented for round 1; "cijfer" (Dutch) is Dutch "digit/numeral" on coins, guild tokens, lead seals, Roman-numeral marks; "en chiffres" (French) is the clock-face/route-distance idiom ("cadran... en chiffres arabes/romains", "distances en chiffres") -- confirms and extends the existing noise-pattern list to the image domain in three more languages
europeana	"cifra AND (carta OR lettera OR letter OR Brief OR lettre OR correspondencia OR correspondence)" qf=TYPE:IMAGE, 487 raw, 100 sampled	AND does not appear to be honoured as strict boolean by this endpoint's simple query parser (results include Swedish Army Museum flag/pistol/uniform records with no textual match to "carta"/"letter" in the visible fields) -- treat "AND (...)" narrowing on this API as unreliable, not as a real boolean filter; every one of the 100 sampled is noise (trade weights, army-museum uniform parts, "Ferman" Ottoman documents unrelated to cipher)
europeana	"cipher AND (letter OR Brief OR lettre OR correspondence OR correspondencia OR lettera)" qf=TYPE:IMAGE, 31 raw, all read	all 31 opened; noise (trade weights, army-museum objects, a Postmuseum stamp-tax photo); 0 correspondence
europeana	"chiffre AND (lettre OR letter OR Brief OR correspondance OR correspondence OR carta)" qf=TYPE:IMAGE, 45 raw, all read	all 45 opened; decorative-arts "chiffre de Napoléon/Charles X" (Mobilier National tapestry/furniture cartoons), one 1792 French National Archives item where "chiffre" = the digit "7" pencilled on the document (not cipher), Europeana Fashion fan/costume sketches -- 0 correspondence with real cipher content
europeana	"cijfer AND (brief OR letter OR lettre OR correspondentie OR correspondence)" qf=TYPE:IMAGE, 44 raw, all read	all 44 opened; Rijksmuseum/Museum Rotterdam coin, guild-token, lead-seal and porcelain records where "cijfer" = a numeral or Roman numeral mark, one 1863 Rijksmuseum "wisselbrief" (bill of exchange, not cipher) -- 0 correspondence
europeana	"Geheimschrift gebruikt door Margaretha van Parma, 1567" (Rijksmuseum RP-P-OB-79-031)	genuine cipher-key subject (translation key for the secret writing/cipher script used by Margaret of Parma in her 1567 correspondence) but the object itself is a lithograph print made 1840-1842 (dcType "lithografie", dctermsCreated 1840/1842) -- a 19th-century printed reproduction/illustration, not a manuscript letter and self-evidently already published in whatever 1840s historical work the plate illustrates; out of this brief's "letters not books" scope and not pursued as a candidate. IIIF manifest confirmed present (https://iiif.europeana.eu/presentation/90402/RP_P_OB_79_031/manifest) for the record.
europeana	Sorolla Museum (CERES/Hispana) "Telegrama"/"Carta" records matching "cifrado" (CS1106, CS0791, CS7159 among others)	early-20th-century (c.1911) personal/social correspondence of the painter Sorolla's circle that mentions a "telegrama cifrado"/"cable cifrado" in passing (routine commercial-code telegram privacy, not a diplomatic/military cipher); descriptions read as the cataloguer's plain-language paraphrase of the letter's content, not ciphertext; out of this project's historical-diplomatic-cipher profile and not pursued
europeana	Wellcome Collection, "A comparison chart of various ciphers for encoding messages. Engraving by Suffield, 1807"	a printed reference/instruction chart, already a published print, not correspondence -- same drop class as round 1's Belaso/other cipher-manual prints
europeana	proxy_dc_type field probe (qf=proxy_dc_type.en:letter, and a facet=proxy_dc_type read on a cifra+TYPE:IMAGE query)	the field exists but its values are inconsistent free text or opaque concept URIs (money/coin vocabulary terms dominate for "cifra"), not a clean cross-language "letter" facet -- the brief's suggested proxy_dc_type narrowing does not work as a qf filter on this endpoint; combining the term in the free-text query (see rows above) was tried instead and also unreliable
