line	words	conf	note
f226r_C1	que ie communicasse	H	
f226r_C2	sa despesche a la Reyne	H	despesche (blind pass S; first reading depesche)
f226v_C01	et en suitte que ie luy fisse	H	
f226v_C02	sauoir ses Intentions	H	first word partly over the cipher: sauoir
f226v_C03	assez tost respondre	H	
f226v_C04	aux Ministres de Mr de	H	Mr with superscript r
f226v_C05	Mantoue quand ilz	M	Mantoue: the -oue is cramped (both earlier passes read Mantenue/Mantue)
f226v_C06	renouuelleroient leurs	H	
f226v_C07	instances	H	
f226v_C08	soublier de celle la	H	s'oublier
f226v_C09	et ainsy le titre	H	
f226v_C10	du gouuernement de Niuernois	H	
f226v_C11	le trouuera fortifie	H	fortifié
f226v_C12	dune possession	H	d'une
f226v_C13	maintenue depuis	H	
f226v_C14	son absence du Royaume	H	
f227r_C01	quant au droict	H	then clear "de Vre Mate" in the letter's hand
f227r_C02	en faueur des Ducs de	H	
f227r_C03	Niuernois quil seroit	M	second word written like "servit"; ro and v run together
f227r_C04	impossible de le mettre	H	
f227r_C05	en doubte ainsy en	H	
f227r_C06	la pensee de le vandre	H	
f227r_C07	vostre Mate trouueroit	H	Mate with superscript te
f227r_C08	de la difficulte mais	H	difficulté
f227r_C09	pour se le conseruer il y a	H	se from blind pass S, confirmed on the image
f227r_C10	vn exemple qui fait pour	H	
f227r_C11	elle en ce que le Roy y a[del:blot]yant	M	"y a" then a blotted letter, then "yant": read le Roy y ayant
f227r_C12	[del:n]autre fois pourueu	H	one or two letters struck before autre
f227r_C13	au Duc de Neuers	H	
f227r_C14	de luy promettre le regres	H	
