# tools/print_check.py, 24 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
auss Hispanien andere zeitung bekommen	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
seidhero auss Hispanien andere zeitung	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
Konnigin so heftig kranck worden	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
die adern zwei mahl schlagen	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
zwei mahl purgieren mussen	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
irer frucht erlediget worden	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
Königin so heftig krank geworden	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
zweimal purgieren müssen	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
ihrer Frucht erledigt worden	ia:correspondancede02will	no hits	downloaded djvu text; 	https://archive.org/details/correspondancede02will
auss Hispanien andere zeitung bekommen	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
seidhero auss Hispanien andere zeitung	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
Konnigin so heftig kranck worden	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
die adern zwei mahl schlagen	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
zwei mahl purgieren mussen	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
irer frucht erlediget worden	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
Königin so heftig krank geworden	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
zweimal purgieren müssen	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
ihrer Frucht erledigt worden	ia:correspondanced01willgoog	no hits	downloaded djvu text; 	https://archive.org/details/correspondanced01willgoog
auss Hispanien andere zeitung bekommen	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
seidhero auss Hispanien andere zeitung	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
Konnigin so heftig kranck worden	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
die adern zwei mahl schlagen	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
zwei mahl purgieren mussen	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
irer frucht erlediget worden	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
Königin so heftig krank geworden	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
zweimal purgieren müssen	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
ihrer Frucht erledigt worden	ia:bub_gb_3N1SAAAAcAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
auss Hispanien andere zeitung bekommen	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
seidhero auss Hispanien andere zeitung	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
Konnigin so heftig kranck worden	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
die adern zwei mahl schlagen	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
zwei mahl purgieren mussen	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
irer frucht erlediget worden	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
Königin so heftig krank geworden	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
zweimal purgieren müssen	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
ihrer Frucht erledigt worden	ia:wilhelmvonorani01rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani01rachgoog
auss Hispanien andere zeitung bekommen	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
seidhero auss Hispanien andere zeitung	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
Konnigin so heftig kranck worden	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
