page	line	idx	group	doubt	plain	note
3	1	RUN	RUN	0	ms: '...demeurez tousjours en la mesme peyne pour' [CIPHER] 'destinet a l'esgard que je [...] assiste' // print: 'pour ne trouver moyen de remboursser le Conte Palatin, désirant à ce regard que je vous y assiste' (Groen p.281)	word/phrase code: 5 groups vs ~41 letters/8 words - not letter-spelled, cannot subdivide; cf. p7 header 'Le conte Palatyn'
3	1	1	9	0	?	
3	1	2	117	0	?	
3	1	3	118	0	?	
3	1	4	133	0	?	
3	1	5	120	0	?	
4	1	RUN	RUN	0	ms: '...ainsi que je conserveray bien.' [CIPHER] 'Ce doibt estre bien raison que...' // print: 'Quant aux affaires de celle de Saxe' (Groen p.282, para 2)	letter-spelled, positional 1:1 guess: 40 groups vs 29 letters, 11 trailing groups unmatched
4	1	1	123	1	q	
4	1	2	129	1	u	
4	1	3	3	1	a	
4	1	4	7	1	n	
4	1	5	70	1	t	
4	1	6	86	1	a	
4	1	7	10	1	u	
4	1	8	59	1	x	
4	1	9	83	1	a	
4	1	10	4	1	f	
4	1	11	12	1	f	
4	1	12	88	1	a	
4	1	13	94	1	i	
4	1	14	125	1	r	
4	1	15	13	1	e	
4	1	16	31	1	s	
4	1	17	33	1	d	
4	1	18	11	1	e	
4	1	19	44	1	c	
4	1	20	77	1	e	
4	1	21	27	1	l	
4	1	22	80	1	l	
4	1	23	22	1	e	
4	1	24	28	1	d	
4	1	25	1	1	e	
4	1	26	20	1	s	
4	1	27	27	1	a	
4	1	28	51	1	x	
4	1	29	50	1	e	
4	1	30	29	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	31	23	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	32	26	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	33	2	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	34	81	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	35	13	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	36	96	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	37	28	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	38	3	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	39	121	1	?	trailing group beyond span letters (possible null/extra homophone)
4	1	40	9	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	RUN	RUN	0	ms: '...raison que' [CIPHER] 'ainsi qu'autrefois je vous ay escript.' // print: 'ses parens eussent pourveu à son entreténement' (Groen p.282); matches p7 item 3	letter-spelled, positional 1:1 guess: 47 groups vs 40 letters, 7 trailing groups unmatched
4	5	1	111	1	s	
4	5	2	81	1	e	
4	5	3	27	1	s	
4	5	4	79	1	p	
4	5	5	2	1	a	
4	5	6	67	1	r	
4	5	7	13	1	e	
4	5	8	77	1	n	
4	5	9	29	1	s	
4	5	10	59	1	e	
4	5	11	78	1	u	
4	5	12	126	1	s	
4	5	13	26	1	s	
4	5	14	88	1	e	
4	5	15	9	1	n	
4	5	16	78	1	t	
4	5	17	29	1	p	
4	5	18	60	1	o	
4	5	19	85	1	u	
4	5	20	4	1	r	
4	5	21	68	1	v	
4	5	22	60	1	e	
4	5	23	89	1	u	
4	5	24	76	1	a	
4	5	25	89	1	s	
4	5	26	29	1	o	
4	5	27	86	1	n	
4	5	28	1	1	e	
4	5	29	12	1	n	
4	5	30	3	1	t	
4	5	31	80	1	r	
4	5	32	62	1	e	
4	5	33	61	1	t	
4	5	34	29	1	e	
4	5	35	61	1	n	
4	5	36	83	1	e	
4	5	37	76	1	m	
4	5	38	26	1	e	
4	5	39	85	1	n	
4	5	40	29	1	t	
4	5	41	68	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	42	28	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	43	56	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	44	29	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	45	60	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	46	84	1	?	trailing group beyond span letters (possible null/extra homophone)
4	5	47	120	1	?	trailing group beyond span letters (possible null/extra homophone)
4	10	RUN	RUN	0	ms: '...et que ce pendant,' [CIPHER] 'pourroit estre...' (next clear resumes 'Et entre tant me semble...') // print: 'elle demeure à vostre charge, je vous envoyeray mille florins pour en cela vous subvenir' (Groen p.282)	letter-spelled, positional 1:1 guess: 63 groups vs 73 letters, span runs 63 letters in (through approx '...subv'), last 10 letters of span ('ussubvenir') have no group left, likely folded into final codes
4	10	1	119	1	e	
4	10	2	26	1	l	
4	10	3	53	1	l	
4	10	4	52	1	e	
4	10	5	27	1	d	
4	10	6	2	1	e	
4	10	7	24	1	m	
4	10	8	28	1	e	
4	10	9	55	1	u	
4	10	10	27	1	r	
4	10	11	88	1	e	
4	10	12	76	1	a	
4	10	13	29	1	v	
4	10	14	1	1	o	
4	10	15	12	1	s	
4	10	16	2	1	t	
4	10	17	89	1	r	
4	10	18	63	1	e	
4	10	19	80	1	c	
4	10	20	83	1	h	
4	10	21	75	1	a	
4	10	22	27	1	r	
4	10	23	3	1	g	
4	10	24	18	1	e	
4	10	25	39	1	j	
4	10	26	11	1	e	
4	10	27	75	1	v	
4	10	28	34	1	o	
4	10	29	28	1	u	
4	10	30	112	1	s	
4	10	31	4	1	e	
4	10	32	25	1	n	
4	10	33	42	1	v	
4	10	34	28	1	o	
4	10	35	89	1	y	
4	10	36	68	1	e	
4	10	37	86	1	r	
4	10	38	80	1	a	
4	10	39	5	1	y	
4	10	40	119	1	m	
4	10	41	28	1	i	
4	10	42	61	1	l	
4	10	43	87	1	l	
4	10	44	64	1	e	
4	10	45	45	1	f	
4	10	46	29	1	l	
4	10	47	77	1	o	
4	10	48	10	1	r	
4	10	49	100	1	i	
4	10	50	2	1	n	
4	10	51	57	1	s	
4	10	52	42	1	p	
4	10	53	53	1	o	
4	10	54	52	1	u	
4	10	55	26	1	r	
4	10	56	5	1	e	
4	10	57	30	1	n	
4	10	58	50	1	c	
4	10	59	63	1	e	
4	10	60	74	1	l	
4	10	61	42	1	a	
4	10	62	58	1	v	
4	10	63	9	1	o	
4	16	RUN	RUN	0	ms: '...faict poursuyte vers' [CIPHER] 'Je vous envoie maintenant par le present le double de' // print: 'les dictz parentz à ce qu'ilz pourvoyent à son dict traictement' (Groen p.282); matches p7 item 5	letter-spelled, positional 1:1 guess: 65 groups vs 52 letters, 13 trailing groups unmatched
4	16	1	122	1	l	
4	16	2	4	1	e	
4	16	3	53	1	s	
4	16	4	28	1	d	
4	16	5	90	1	i	
4	16	6	25	1	c	
4	16	7	45	1	t	
4	16	8	19	1	z	
4	16	9	85	1	p	
4	16	10	105	1	a	
4	16	11	113	1	r	
4	16	12	68	1	e	
4	16	13	11	1	n	
