rank	queue_row	keys	bourdeau_hits	aymeloglu_hits
1	[Intercepted royalist letters to Charles I and 'My Lord', 13 and 21 May 1646 (BL Add MS 72	Add MS 72438	harley7001[read in part;0.94;Add MS 72438] | rupert[offline only;?;Add MS 72438]	README.md:| `royalist-1646/` | Two intercepted royalist letters in cipher, 13 and 21 May 1646 (BL Ad | TARGETS.md:| 5 | Royalist intercepts, 13 and 21 May 1646 (BL Add MS 72438 ff.9–10) | 1646 | en | 715  | royalist-1646/README.md:# Intercepted royalist letters, May 1646 (BL Add MS 72438 ff. 9-10): 
2	Wellington to General Maitland, Villa Castin, 2 Sept 1812 (Peninsular War dictionary code 			
3	[Charles II to the Duke of Hamilton, 6 Aug - 27 Sept 1650 (four letters, passages in ciphe			
4	[Charles Whitworth (Moscow) to Harley, partly undeciphered despatches and an undeciphered 	SP 91/5		
5	Charles I to William Boswell, 1628 (TNA SP 106/5, DECODE R413)	R413;SP 106/5	boswell1628[already solved;0.99;R413,SP 106/5]	TARGETS.md:| 15 | Charles I and Nicholas → Boswell (TNA SP 84/157) | 2 Nov 1643 | en | 445 tokens | *
6	Cornwallis Papers, American campaign: Rawdon, Craig, Tarleton, Balfour and others to Cornw	PRO 30/11		
7	Other Add MS 4136 correspondents to Cecil, 1559-67: Henry Percy, Thomas Smith (7), Norreys	Add MS 4136;R9235;R9236;R9237;R9238;R9239;R9240;R9241;R9242;R9243;R9244;R9245;R9	bl32305[not read;0.09;Add MS 4136] | coligny1563[already solved;1.0;Add MS 4136,R9237,R9238] | foix1563[read in part;0.0;Add MS 4136,R9237,R9238] | lomer1563[already solved;unknown;Add MS 4136,R9235,R9255] | middelmore1563[already solved;1.0;Add MS 4136,R9246,R9247] | moray[not read;0;Add MS 4136] | norreys1567[read in part;0.33;Add MS 4136,R9250,R9251] | percy1559[not read;0;Add MS 4136,R9256] | 	moray-1568/README.md:of 6 September 1568 on the decipherer's specimen sheet BL Add MS 4136 f. 33 (DECODE R2989) | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 4136 f 172.", "Author": "Henry Percy", "Sender": "", " | catalogue/decode-records.jsonl:{"Holder": "British Library, Ad
8	Walsingham and Edward Wotton (ambassador to Scotland), seven letters 28 July - 10 Sept 158	Add MS 32657;R4838;R4839;R4840;R4841;R4842;R4843;R4844	walsingham1585[read in part;0.49;Add MS 32657,R4838,R4839] | wotton1585[read;unknown;Add MS 32657,R4838,R4840]	catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 32657, f 194-195.", "Author": "Sir Francis Walsingham, | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 32657, f 175-176.", "Author": "Edward Wotton, ambassad | catalogue/decode-records.jsonl:{"Holder": "British L
12	[Letter partly in cipher relating to Gen. Monck and his movements, 1659-1660 (BL Add MS 32	Add MS 32093		
13	[BL Harley MS 287 cipher letters 1587-88: Cobham to Walsingham (4), Needham, unsigned (7) 	Harley MS 287;R8477;R8478;R8479;R8480;R8481;R8482;R8483;R8484;R8485;R8486;R8487;	cobham1588[read in part;0.35;Harley MS 287,R8477,R8481] | harley287[read in part;unknown;Harley MS 287,R8477,R8482] | needham1587[read;0.978;Harley MS 287,R8479]	catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 287 f 96-97.", "Author": "Cobham", "Sender": "", "R | catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 287 f 92-93.", "Author": "Cobham", "Sender": "", "R | catalogue/decode-records.jsonl:{"Holder": "British L
14	[George Stepney to the Earl of Manchester, Vienna, 23 March 1702 (short ciphertext)](ciphe			
15	[Gelett Burgess, The Master of Mysteries (1912), third hidden message](ciphers/burgess-mys			
16	[Regent Moray to John Wood, Edinburgh, 13 July 1568 (cipher postscript, BL Add MS 32091 f.	Add MS 32091	moray[not read;0;Add MS 32091] | throck1569[already solved;?;Add MS 32091] | wod1568[read in part;0.3;Add MS 32091]	README.md:| [`moray-1568/`](moray-1568/) | Regent Moray to John Wood, Edinburgh, 13 July 1568, ciphe | TARGETS.md:| 7 | Regent Moray → John Wood (BL Add MS 32091 f.213) | 13 Jul 1568 | sco | 134 glyphs, 3 | SHORTLIST.md:- **What:** ~215 units, letters with numbered variants plus numbers 4-19. BL Add
17	[Robert Bowes to Walsingham, 7 April and 31 July 1583, and short Caligula B VIII ciphertex	Caligula B VIII;Caligula C VII		
18	[Catokwacopa advertisements, Evening Standard, 8 and 20 May 1875](ciphers/catokwacopa-1875			
