letter	line	pos	code	old	new	grade	class	source	context_new
4610	p1_L04	14	138	? U	NULL	C	NULL	names.tsv: empty in 5 of 5 aligned observations, 0 contradicting	p c z ? <NULL> NULL q u i
4610	p1_L04	15	127	? U	NULL	C	NULL	names.tsv: empty in 31 of 31 aligned observations, 0 contradicting	c z ? NULL <NULL> q u i l
4610	p1_L05	16	129	? U	NULL	C	NULL	names.tsv: empty in 21 of 21 aligned observations, 0 contradicting	b l e NULL <NULL> NULL d f
4610	p1_L07	14	134	? U	NULL	C	NULL	names.tsv: empty in 12 of 12 aligned observations, 0 contradicting	r i p t <NULL> ? q r i
4610	p1_L08	5	130	? U	NULL	C	NULL	names.tsv: empty in 8 of 8 aligned observations, 0 contradicting	n c e s <NULL> NULL ? ? s
4610	p1_L08	6	127	? U	NULL	C	NULL	names.tsv: empty in 31 of 31 aligned observations, 0 contradicting	c e s NULL <NULL> ? ? s o
4610	p1_L09	2	128	? U	NULL	M	NULL	names.tsv: NULL in 15 of 15 aligned observations (5810/5811/4503 vs Groen)	NULL <NULL> s e m p
4610	p1_L10	1	131	? U	NULL	C	NULL	names.tsv: empty in 22 of 22 aligned observations, 0 contradicting	<NULL> d u p e
4610	p1_L12	15	126	? U	NULL	C	NULL	names.tsv: empty in 8 of 8 aligned observations, 0 contradicting	e u r s <NULL> ?
4610	p1_L13	12	144	? U	NULL	C	NULL	names.tsv: empty in 4 of 4 aligned observations, 0 contradicting	c u n e <NULL> ? s c d
4610	p1_L14	3	135	? U	NULL	C	NULL	names.tsv: empty in 4 of 4 aligned observations, 0 contradicting	s ? <NULL> NULL c o n
4610	p1_L14	4	124	? U	NULL	C	NULL	names.tsv: empty in 18 of 18 aligned observations, 0 contradicting	s ? NULL <NULL> c o n d
4610	p1_L16	19	134	? U	NULL	C	NULL	names.tsv: empty in 12 of 12 aligned observations, 0 contradicting	t i o n <NULL> NULL
4610	p1_L19	1	135	? U	NULL	C	NULL	names.tsv: empty in 4 of 4 aligned observations, 0 contradicting	<NULL> ? s a n
4610	p1_L20	17	138	? U	NULL	C	NULL	names.tsv: empty in 5 of 5 aligned observations, 0 contradicting	o s e ? <NULL> u n e
4610	p1_L21	13	129	? U	NULL	C	NULL	names.tsv: empty in 21 of 21 aligned observations, 0 contradicting	i o n ? <NULL> ? c o n
4610	p1_L22	18	128	? U	NULL	M	NULL	names.tsv: NULL in 15 of 15 aligned observations (5810/5811/4503 vs Groen)	u r s ? <NULL>
4610	p1_L23	10	137	? U	NULL	C	NULL	names.tsv: empty in 8 of 8 aligned observations, 0 contradicting	c e r ? <NULL> q u e
