row	source_family	query	host	date	result
P2	primary print (Birch 1742, re-read from cached djvu)	heading/context scan above the window, collectionofstat02thur lines 46940-47070	local disk (sources/ia-fulltext/, no fetch)	2026-09-24	Window is NOT Fleetwood. It is the tail of "Stouppe to the prince of Tarante," a French letter with numeral cipher for names/places, dated "Londres, 25. Aug. 1654." (MS Vol. xvii pp.255/260; printed pp.565-566). Immediately after the cipher, Birch heads a paragraph "Decyphered thus:" and prints the full English plaintext (djvu lines 47028-47059), also dated "London, 25 Aug. 1654." Decipherment IS printed, in the primary source itself.
P3	primary print (Birch 1742, re-read from cached djvu)	heading/context scan above and below the window, collectionofstat02thur lines 47850-48120	local disk	2026-09-24	Window is NOT Bradshaw. It is the closing lines (sign-off + cipher postscript) of an anonymous "A letter of intelligence," signed "John Butler," MS Vol. xxiv p.208, printed pp.575-576 (running head "JOHN THURLOE ESQ. &c. 575" at line 47874). Cipher tokens are interspersed with clear prose (nomenclature style), not a separate cipher block; no "Decyphered thus" or "The same letter decypher'd" heading found near this letter (checked djvu lines 47926-48120; the only "decypher" hits in the whole vol.2 djvu, grepped, are at lines 12398, 39443, 48039 -- none is a heading over this passage, and 48039's "he is decypher'd" refers to a person's identity being uncovered, not a cipher block). No decipherment located in the primary print for this passage.
P3	cryptiana (Tomokiyo mirror, sources/cryptiana/web/thurloe.htm)	grep -i "butler"	local disk (no fetch, per rule 3 of Usage)	2026-09-24	Section "John Butler (1656)" (anchor #Butler): reconstructed cipher, "numbers 1-60...generally alphabetically assigned numbers 400-424...for single letters, in a letter of 22 September 1656," citing BHO compid 55550 ("deciphered text") and compid 55340 ("ciphertext," Page 575) in Thurloe State Papers; codes 62=Spain, 156=Charles; E=3/5/405; key image butler.jpg. Page 575 matches this row's printed page. Tomokiyo's own citation implies a decipherment is printed somewhere for this letter; this session (archive.org/be-api/github only, no britishhistory.ac.uk) could not fetch BHO compid 55550 to confirm independently, and did not locate a "decypher'd" heading in the cached djvu near this letter (see row above). Flagged, not resolved.
P4	primary print (Birch 1742, re-read from cached djvu)	heading/context scan above and through the window, collectionofstat03thur lines 15420-15580	local disk	2026-09-24	Window is NOT Prideaux (whose actual letter, entirely clear text, ends at line 15464 "Will. Prideaux."). It is "A letter of W.S. from Calais," anonymous, MS Vol. xxiv p.76, printed p.188 (running head "i88 STATE PAPERS OF" at line 15476, OCR i/1). The correspondent complains of an imperfect cipher sent by Thurloe and mentions serving contact "O" and "this plott." No "Decyphered thus" heading found through line 15580 (letter continues in cipher; not fully re-read past 15580, out of window/budget). No decipherment located in the primary print for the tokens in this window.
P4	cryptiana (Tomokiyo mirror)	grep -i "stamford"; phrase match "if this correfpondence continue betweene us"	local disk	2026-09-24	Section "William Stamford (1655)" (anchor #Stamford) quotes verbatim: "if this correspondence continue betweene us, I should desire you to sende me another cipher, this which you have sent mee already being very imperfect" -- this is the exact sentence at djvu lines 15513-15516 of P4's window. Confirms P4's true sender is William Stamford, in Calais, offering in spring 1655 (Old Style March 1654/1655) to expose a royalist plot; cipher key reconstructed by Tomokiyo (E=12/25, image stamford.jpg). No plaintext of this specific passage given by Tomokiyo (his page reconstructs the system from Stamford's letters generally, incl. the ones below).
P5+P6	primary print (Birch 1742, re-read from cached djvu)	heading/context scan and full letter read, collectionofstat03thur lines 22820-23110	local disk	2026-09-24	Window is NOT Major Creed. It is an anonymous "A letter of intelligence" (opening "THIS is the 5th letter I have written to you..."), MS Vol. xxiv pp.319/324, printed pp.273-276 (running heads "274" at line 22870, "275" at line 23013, "27^ STATE PAPERS OF" [276] at line 23096-23099). Signed "W. Stamford," Calais, "March 30, [1654. N.S.]" (line 23051-23054). Immediately after the cipher (line 23057-23064, a P.S. re Middelburg), Birch heads a paragraph "The fame letter decypherd." and prints the full English plaintext verbatim (djvu lines 23065-92+), an offer to come and surrender as the Protector's prisoner in exchange for intelligence payment. Decipherment IS printed, in the primary source itself, and covers both P5's and P6's windows.
P7	primary print (Birch 1742, re-read from cached djvu)	heading/context scan and full letter read, collectionofstat03thur lines 23180-23350	local disk	2026-09-24	Window is NOT a second Bradshaw letter (the real Rich. Bradshaw letter, dated 20 March 1654, ends in clear text at line 23222 "Rich. Bradshaw," no cipher at all). The cipher is a separate, anonymous "A letter of intelligence," dated [March 20, 1654] by Birch's placement, MS Vol. xxiv p.340, printed pp.277-279 (running heads "8 STATE PAPERS OF" [278] at line 23249, "JOHN THURLOE ESQ. &c. 279" at line 23326), signed simply "S." (line 23335), discusses hiring troops and cardinal Mazarin, uses code letter "O" for the same contact as P4. The letter ends "Pray sir be pleafed to decypher this letter yourfelfe," followed immediately by the heading "The fame letter decypher'd." (line 23349) and (per this session's window, the plaintext begins at line 23350 but was not fully transcribed here). Decipherment IS printed, in the primary source itself. "S." plus the shared code-letter "O" and adjacent MS pagination (xxiv 319-340) make this very likely the same correspondent as P5+P6, William Stamford, but this pass did not confirm the signature block reads "Stamford" (only "S." was legible in the window read).
P8	primary print (Birch 1742, re-read from cached djvu)	heading/context scan above the window, collectionofstat03thur lines 45160-45285	local disk	2026-09-24	Window is NOT Lord chief baron Steele (whose letter, dated 12 June 1655, is entirely clear text and ends at line 45222-45223 "William Steele."). The cipher is "General Blake to the protector" (heading at line 45229), printed p.541 (running head "JOHN THURLOE ESQ &c. 541" at line 45227), marginal "A.D. 1655." Birch prints the contemporary decipherment interlined letter-by-letter directly above every cipher number throughout (e.g. line 45233-45234: "f e ere t inftructions fentbyybu r" over "The 37. 24. 80. 36. 54. 38. 142. 6j. 82. 32. 68. 21. 42. 72. 33. 6y. 36." = "The secret instructions sent by your..."). Decipherment IS printed, interlinear, in the primary source itself.
P8	cryptiana (Tomokiyo mirror)	grep -i -A15 "General Blake"	local disk	2026-09-24	Section "General Blake (1655)" (anchor #Blake) names this exact letter: "reported his will execute it in a letter to Cromwell almost entirely in cipher (12 June 1655, Thurloe State Papers, p.541)" -- matches P8's printed page (541) exactly and confirms this is the letter Tomokiyo's own Blake cipher key (E=24/54/82, blake.jpg) was reconstructed from (via the interlined print), distinct from the OTHER Blake letter already catalogued in this folder's NOTES.md as P9 (4 July 1655, p.611, only the Plate Fleet reference enciphered).
all rows	CSPD Domestic, Commonwealth 1654 (archive.org sim_great-britain-public-record-papers-domestic-commonwealth_1654)	be-api fts: q=Stamford	be-api.us.archive.org	2026-09-24	1 hit (page_num field =767, which per this project's own CLAUDE.md caveat equals the item's total imagecount, not a real page locator -- confirms the term occurs somewhere, no snippet returned by this query form, not further pursued this pass). This is a calendar (abstracts), not a verbatim transcription; would not itself carry the numeral cipher or a decipherment even if the entry is found.
all rows	CSPD Domestic, Commonwealth 1654	be-api fts: q=Stouppe	be-api.us.archive.org	2026-09-24	0 hits.
