page	line	idx	group	chunk	run_span
3	1	1	9	?	pour ne trouver moyen de remboursser le Conte Palatin, désir
3	1	2	117	?	pour ne trouver moyen de remboursser le Conte Palatin, désir
3	1	3	118	?	pour ne trouver moyen de remboursser le Conte Palatin, désir
3	1	4	133	?	pour ne trouver moyen de remboursser le Conte Palatin, désir
3	1	5	120	?	pour ne trouver moyen de remboursser le Conte Palatin, désir
4	1	1	123	-	Quant aux affaires de celle de Saxe
4	1	2	129	-	Quant aux affaires de celle de Saxe
4	1	3	3	-	Quant aux affaires de celle de Saxe
4	1	4	7	-	Quant aux affaires de celle de Saxe
4	1	5	70	-	Quant aux affaires de celle de Saxe
4	1	6	86	-	Quant aux affaires de celle de Saxe
4	1	7	10	-	Quant aux affaires de celle de Saxe
4	1	8	59	-	Quant aux affaires de celle de Saxe
4	1	9	83	-	Quant aux affaires de celle de Saxe
4	1	10	4	-	Quant aux affaires de celle de Saxe
4	1	11	12	-	Quant aux affaires de celle de Saxe
4	1	12	88	q	Quant aux affaires de celle de Saxe
4	1	13	94	u	Quant aux affaires de celle de Saxe
4	1	14	125	a	Quant aux affaires de celle de Saxe
4	1	15	13	n	Quant aux affaires de celle de Saxe
4	1	16	31	t	Quant aux affaires de celle de Saxe
4	1	17	33	a	Quant aux affaires de celle de Saxe
4	1	18	11	u	Quant aux affaires de celle de Saxe
4	1	19	44	x	Quant aux affaires de celle de Saxe
4	1	20	77	a	Quant aux affaires de celle de Saxe
4	1	21	27	f	Quant aux affaires de celle de Saxe
4	1	22	80	f	Quant aux affaires de celle de Saxe
4	1	23	22	a	Quant aux affaires de celle de Saxe
4	1	24	28	i	Quant aux affaires de celle de Saxe
4	1	25	1	r	Quant aux affaires de celle de Saxe
4	1	26	20	e	Quant aux affaires de celle de Saxe
4	1	27	27	s	Quant aux affaires de celle de Saxe
4	1	28	51	d	Quant aux affaires de celle de Saxe
4	1	29	50	e	Quant aux affaires de celle de Saxe
4	1	30	29	c	Quant aux affaires de celle de Saxe
4	1	31	23	e	Quant aux affaires de celle de Saxe
4	1	32	26	l	Quant aux affaires de celle de Saxe
4	1	33	2	l	Quant aux affaires de celle de Saxe
4	1	34	81	e	Quant aux affaires de celle de Saxe
4	1	35	13	d	Quant aux affaires de celle de Saxe
4	1	36	96	e	Quant aux affaires de celle de Saxe
4	1	37	28	s	Quant aux affaires de celle de Saxe
4	1	38	3	a	Quant aux affaires de celle de Saxe
4	1	39	121	x	Quant aux affaires de celle de Saxe
4	1	40	9	e	Quant aux affaires de celle de Saxe
4	5	1	111	-	ses parens eussent pourveu à son entreténement
4	5	2	81	-	ses parens eussent pourveu à son entreténement
4	5	3	27	-	ses parens eussent pourveu à son entreténement
4	5	4	79	-	ses parens eussent pourveu à son entreténement
4	5	5	2	-	ses parens eussent pourveu à son entreténement
4	5	6	67	-	ses parens eussent pourveu à son entreténement
4	5	7	13	-	ses parens eussent pourveu à son entreténement
4	5	8	77	s	ses parens eussent pourveu à son entreténement
4	5	9	29	e	ses parens eussent pourveu à son entreténement
4	5	10	59	s	ses parens eussent pourveu à son entreténement
