line	position	sign	confidence	alt	why
hstam_4_h_1411_0003_L24_s1	1	79	H		agree
hstam_4_h_1411_0003_L24_s1	2	74	H		agree
hstam_4_h_1411_0003_L24_s1	3	36	H		agree
hstam_4_h_1411_0003_L24_s1	4	7	H		agree
hstam_4_h_1411_0003_L24_s1	5	22	H		agree
hstam_4_h_1411_0003_L24_s1	6	73	H		agree
hstam_4_h_1411_0003_L24_s1	7	N	H		agree
hstam_4_h_1411_0003_L24_s1	8	52	H		agree
hstam_4_h_1411_0003_L24_s1	9	Y	H		agree
hstam_4_h_1411_0003_L24_s1	10	94	H		agree
hstam_4_h_1411_0003_L24_s1	11	27	H		agree
hstam_4_h_1411_0003_L24_s1	12	39	H		agree
hstam_4_h_1411_0003_L24_s1	13	13	H		agree
hstam_4_h_1411_0003_L24_s1	14	57	H		agree
hstam_4_h_1411_0003_L24_s1	15	55	H		agree
hstam_4_h_1411_0003_L24_s1	16	83	H		agree
hstam_4_h_1411_0003_L24_s1	17	77	H		agree
hstam_4_h_1411_0003_L25_s1	1	95	H		agree
hstam_4_h_1411_0003_L25_s1	2	D	H		agree
hstam_4_h_1411_0003_L25_s1	3	10	H		agree
hstam_4_h_1411_0003_L25_s1	4	Y	H	B:Y	settled bMAL3: cursive y w/ descender, matches B not A(G)
hstam_4_h_1411_0003_L25_s1	5	42	H		agree
hstam_4_h_1411_0003_L25_s1	6	92	H		agree
hstam_4_h_1411_0003_L25_s1	7	35	H		agree
hstam_4_h_1411_0003_L25_s1	8	44	H		agree
hstam_4_h_1411_0003_L25_s1	9	11	H		agree
hstam_4_h_1411_0003_L25_s1	10	43	H		agree
hstam_4_h_1411_0003_L25_s1	11	58	H		agree
hstam_4_h_1411_0003_L25_s1	12	93	H		agree
hstam_4_h_1411_0003_L25_s1	13	63	H		agree
hstam_4_h_1411_0003_L25_s1	14	88	H		agree
hstam_4_h_1411_0003_L25_s1	15	63	H		agree
hstam_4_h_1411_0003_L25_s1	16	43	H		agree
hstam_4_h_1411_0003_L25_s1	17	79	H	B:49	settled bMAL3: 7 has open diagonal top not 9 loop, matches A not B(49)
hstam_4_h_1411_0003_L25_s1	18	65	H		agree
hstam_4_h_1411_0003_L25_s1	19	63	H		agree
hstam_4_h_1411_0003_L26_s1	1	55	H		agree
hstam_4_h_1411_0003_L26_s1	2	83	H		agree
hstam_4_h_1411_0003_L26_s1	3	29	H		agree
hstam_4_h_1411_0003_L26_s1	4	84	H		agree
hstam_4_h_1411_0003_L26_s1	5	91	H		agree
hstam_4_h_1411_0003_L26_s1	6	61	H		agree
hstam_4_h_1411_0003_L26_s1	7	18	H		agree
hstam_4_h_1411_0003_L26_s1	8	48	H		agree
hstam_4_h_1411_0003_L26_s1	9	27	H	B:27	settled bMAL3: same glyph shape as agreed col12=27 elsewhere in line, matches B not A(29)
hstam_4_h_1411_0003_L26_s1	10	16	H		agree
hstam_4_h_1411_0003_L26_s1	11	22	H		agree
hstam_4_h_1411_0003_L26_s1	12	27	H		agree
hstam_4_h_1411_0003_L26_s1	13	84	H		agree
hstam_4_h_1411_0003_L26_s1	14	97	H		agree
hstam_4_h_1411_0003_L26_s1	15	50	H		agree
hstam_4_h_1411_0003_L26_s1	16	97	H		agree
hstam_4_h_1411_0003_L26_s1	17	95	H		agree
hstam_4_h_1411_0003_L26_s1	18	27	H		agree
hstam_4_h_1411_0003_L26_s1	19	79	H		agree
hstam_4_h_1411_0003_L26_s1	20	44	H	B:11	settled bMAL3: two 4-triangle shapes, matches A not B(11)
hstam_4_h_1411_0003_L26_s1	21	58	H	B:58	settled bMAL3: clear 5-8 shapes, matches B not A(38)
