institution	image_portal	holding_catalogue	item_record_pattern	request_page	notes	source
Bodleian	digital.bodleian.ox.ac.uk (IIIF/search; "no items" on a search is a search result, not a digitisation verdict)	Bodleian Archives & Manuscripts, archives.bodleian.ox.ac.uk, records served at marco.ox.ac.uk/ark:/29072/... (carries the availability flag: "Not available online" or a viewer link)	the volume record's "Connections" list gives one record per folio or letter under it; e.g. ark:/29072/x0x920fw11hz ("Thurloe Papers, vol. xxiv") lists MS. Rawl. A. 24/1, fol. 4, 16, 17, 30/34/43, 61, 66, ... as separate item arks	not recorded (no reproduction-order page on file; ASKS row 30/68 are the standing requests, routed through the owner)	L19/L24 incident (26 Sept 2026): Digital Bodleian returned "no items" for Rawl. A. 24 and was first filed as "not digitised"; the marco.ox.ac.uk record lists it "Not available online" with item-level Connections underneath. Also MSS. Rawl. A. 24/1-2 (ASKS row 30, LOCAL-QUEUE L19)	CLAUDE.md Access playbook host table ("Bodleian Archives & Manuscripts catalogue" row); LOCAL-QUEUE.tsv rows L19, L24; tools/local_queue_runner_prompt.md
BnF / Gallica	gallica.bnf.fr (IIIF v2 manifest + native-res image API; SRU search; texteBrut OCR needs a real local browser)	archivesetmanuscrits.bnf.fr (finding-aid search only, no images)	a finding-aid notice per cote (shelfmark); page 1 of a search works via curl, pagination needs a real browser and varies run to run	manuscrits@bnf.fr, or the SINDBAD form (images from archivesetmanuscrits are not automatically public domain)	page 1 works via curl; later pages inconsistent across runs (run twice)	CLAUDE.md Access playbook host table ("Gallica", "BnF archivesetmanuscrits" rows)
British Library	iiif.bl.uk / bl.digirati.io -- dead since the 2023 cyberattack; access.bl.uk is DNS-dead	searcharchives.bl.uk?format=json (catalogue only, no images)	not recorded	not recorded	no image route currently works from the cloud for any BL manuscript	CLAUDE.md Access playbook host table ("British Library IIIF" row)
TNA (The National Archives, UK)	not recorded (TNA rarely serves free page images online; digital downloads are usually a paid order)	discovery.nationalarchives.gov.uk (Discovery API, /API/records/v1/details/<id>; the catalogue record itself, not a separate holding catalogue)	the piece- or item-level Discovery record; its description sometimes carries a `[In cypher.]`/`[Original written in cypher]` tag copied from the original finding aid, but no field seen so far states "digitised" directly	not recorded (TNA's own image-ordering service, not yet used from this repo)	Discovery's record detail is both the catalogue and (so far) the only route tried; no worker has yet found a field distinguishing "digitised, free" from "order a copy"	ciphers/pro3055-clinton-1779/NOTES.md; ciphers/pro3053-horesse-1717/NOTES.md; ciphers/pro30-shaftesbury-1682/NOTES.md; ciphers/ingham-diary/NOTES.md (discovery.nationalarchives.gov.uk API usage)
Nationaal Archief (NL)	service.archief.nl (real IIIF endpoint; full-res JPEG scans when digitised)	www.nationaalarchief.nl item page itself carries the availability flag, embedded in `drupal-settings-json` -> `viewer.response.availability`/`scans` -- the visible "Scan"/"Viewer" boilerplate text on the page is NOT a per-item signal (identical whether or not the item is digitised)	the item page's own URL is the item record; `service.archief.nl` info.json gives the IIIF manifest once an item is confirmed digitised	not recorded	`data.nationaalarchief.nl` does not resolve through the proxy at all; use `www.nationaalarchief.nl`/`service.archief.nl` instead	CLAUDE.md Access playbook host table ("Nationaal Archief" row)
KB (Koninklijke Bibliotheek, NL)	not recorded (no manuscript image API found; `collecties.kb.nl/zoeken` is Cloudflare-challenged)	jsru.kb.nl/sru/sru (SRU endpoint), GGC (printed-book catalogue) collection only -- no manuscripts collection found; manuscripts.kb.nl/search exists but ignores its own `?query=` parameter	not recorded	not recorded	GGC-only yields noise for cipher terms (e.g. "cijferschrift" = sheet-music notation, not cryptography)	CLAUDE.md Access playbook host table ("KB" row)
KHA (Koninklijk Huisarchief, Den Haag)	none -- not online at all	none -- the KHA has no public online catalogue reachable from this repository's routes	not recorded	a scan/copy request by letter or email to the Koninklijk Huisarchief, Den Haag, naming the shelfmark (e.g. A 11/XIV B/15-43)	items appear only by shelfmark in WVO's own Brongegevens field (see Huygens WVO row); the KHA's Collectie Japikse twentieth-century copies (per the WVO editor's 26 Sept 2026 reply) are a separate, also-unseen witness with no online route	ASKS.md rows 31, 37, 67; N4-READINGS.md (KHA shelfmarks quoted from WVO records)
Huygens WVO (Willem van Oranje database)	none (text database, no page images of its own)	resources.huygens.knaw.nl/wvo (advanced-search HTML + CSV export; the per-letter detail page, `wvo/app/brief?nr=<n>`, carries the Brongegevens field)	the detail page's Brongegevens line names the shelfmark (often KHA) and, when printed, the edition code (GPA/GPAS = Groen van Prinsterer's Archives/Supplément, JC = Japikse's Correspondentie) -- read the cited edition page before scoring a letter open, since Groen and Japikse print several cipher passages already deciphered	not recorded (the underlying manuscripts are at the KHA; see that row)	CSV export omits the useful `opmerkingen` field, present only on the detail page	CLAUDE.md Access playbook host table ("Huygens WVO" row); .claude/briefs/check-solved.md (Brongegevens paragraph)
RAH (Real Academia de la Historia)	bibliotecadigital.rah.es (image portal; every plain path is behind the site's Anubis JS bot-challenge for curl, works only intermittently via real headless Chromium)	bibliotecadigital.rah.es's own search (same host as the image portal; also confirmed as a real absence for some shelfmarks -- control queries for other, known items do return hits, so a zero-hit search here is a genuine "not catalogued online", not a bot block) -- the printed Índice de la Colección Salazar y Castro (49 vols, on archive.org as OCR text) is a second, offline holding-catalogue-equivalent for pre-digital-era items	the OAI-PMH endpoint (`/oai/oai.do`, `verb=GetRecord&metadataPrefix=didl`) gives a `didl:Resource` per page image with a direct `imagen_id.do` URL per item, when a record exists	not recorded (RAH copy orders, e.g. ASKS row 68, are batched and sent by the owner)	confirmed 26 Sept 2026 (NX2-GATE): RAH's own catalogue has no searchable record at all for some correspondents/shelfmarks even though the search engine itself works (proven with control queries) -- a real absence, not the usual Anubis block	CLAUDE.md Access playbook host table ("bibliotecadigital.rah.es" row); ROOM.md 2026-09-26 15:05 (NX2-GATE)
BNE (Biblioteca Nacional de España)	bdh.bne.es (Biblioteca Digital Hispánica) -- 403s outright to curl, confirmed a standing site-wide block, not one-off	catalogo.bne.es (discovery search; status for specific item numbers not yet confirmed independently)	not recorded	not recorded	not investigated further past the standing bdh.bne.es block; distinct from RAH (bibliotecadigital.rah.es) above, a different institution	ciphers/bne20211-ferdinand-1478/NOTES.md ("BNE catalogue / digitisation check")
