label	folder	prompt	added	status	pr	outcome
SO-GRAMONT-F29R	ciphers/fr2980-gramont	ciphers/fr2980-gramont/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	1	no prior print found; catalogue entry, chapter author, sign count, date bracket and prompt phrase corrected
SO-ECKERT-E4E5	ciphers/eckert-1864	ciphers/eckert-1864/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	2	no prior print; E4/E5 stay N4; prompt and summary rows corrected
SO-DANZAY-F35	ciphers/fr20140-danzay-1557	ciphers/fr20140-danzay-1557/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	3	no prior print found; class stays N4; Ryabov dissertation read (0 hits), stale f.36/N3 lines annotated
SO-GRAMONT-F30	ciphers/fr2980-gramont	ciphers/fr2980-gramont/second-opinions/PROMPT-chatgpt-f30.md	2026-09-24	checked	4	no prior print found; Capponi cite is the known April letter; counts and catalogue entry corrected; stays N4
SO-THURLOE-P4	ciphers/thurloe-printed	ciphers/thurloe-printed/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	5	no prior print; P4 stays N4; Peacock not Marshall, recipient and prompt corrected
SO-BLATHWAYT-1728	ciphers/huntington-blathwayt-madrid-1728	ciphers/huntington-blathwayt-madrid-1728/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	6	no prior print beyond Rose 1831; classes stay N4; prompt, NOTES novelty line and Keene gloss corrected
SO-SAXONY-126	ciphers/august-van-saksen-1561-64	ciphers/august-van-saksen-1561-64/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	7	no prior print found; prompt excerpt, Kluckhohn volume and queen citation corrected
SO-LODEWIJK-1573-74	ciphers/lodewijk-van-nassau-1573-74	ciphers/lodewijk-van-nassau-1573-74/second-opinions/PROMPT-chatgpt.md	2026-09-24	checked	8	no prior print found; Blok 1887 contents read from page photos, Kervyn volume ranges corrected | 26 Sept 2026: reading revised after this SO (key_full, AUDIT.md revision log); the answered prompt predates it | 26 Sept 2026 V8-NA5797: classes re-confirmed after key_full (4610/4611/4616 N4); 5797 two blanks N4, key period (5550 gloss) + table ours; note added to PROMPT-chatgpt.md | 26 Sept 2026: reading revised after this SO (key_full v3, AUDIT.md Revision log v3); the answered prompt predates it | 26 Sept 2026 V8-NA5797-2 (A2): 5797 blanks N4 held after second adversarial audit (AUDIT.md A2); safe sentence unchanged; prompt not edited | 26 Sept 2026 (V8-NA172): 5797 p6_spot4 [172 le Conte Jean] classed N4, key period (4614 decipherment) + ours table, token M; if re-queued quote AUDIT.md V8C.4 | 26 Sept 2026 (V8-NA172-2, A3): p6_spot4 lowered N4 -> N2 (Lossen 1882 p.212 prints Count Johann leaving 22 Oct 1573 for the Elector of Cologne); if re-queued quote AUDIT.md A3.3, not V8C.4 | 26 Sept 2026 (V9-NA172-3, A4): p6_spot4 withdrawn from classification (172 has three period values: 4614 le Conte Jean, 7206 Lumbres, 5801 le Conte Louis; none licensed for 5797); if re-queued quote AUDIT.md A4.3, not A3.3
SO-SAXONY-53-57	ciphers/august-van-saksen-1561-64	ciphers/august-van-saksen-1561-64/second-opinions/PROMPT-chatgpt-53-57.md	2026-09-24	checked	9	no prior print found; von Weber 1865 read (no 1561 item), prompt excerpt for 53 relabelled as normalised
SO-FR5160-F67	ciphers/fr5160-letellier-1653	ciphers/fr5160-letellier-1653/second-opinions/PROMPT-chatgpt-f67.md	2026-09-24	withdrawn (N0, f.68r, V5b)	
