row	codes
f30r_L01a	HASH ss2 H? x 2 Af g? BOX ss2 2 5 2 lam 9 III sl?
f30r_L01b	ss2 H? sl 2 lam h BOX ss2 g fh h 2 9 ss2 H? eh? x FL III Tb? 9? H?
f30r_L02a	eh? o n6? BOX III III n6? paren z 2 h D H z Mx?
f30r_L02b	H? x 2 fh m Tb? 2 ss2 lt lt g 2 D n6 BOX H? 5 D 5? A2? paren 9?
f30r_L03a	c? BOX c x 2 Rt? D 2 ss2 eh 9 n6 2 BOX FL? rho?
f30r_L03b	z3? 5 m 2 dl Af D 5? 9 2 ss2 lt A2? 9 2 5? paren lam? 2 H? xr? 9?
f30r_L04a	r3? III H? m lt zb? eh? A2? Rt? h D fh? Th m? A2? D?
f30r_L04b	9 J? 2 ss2 z n6? c m fh? h Af? HASH? 9 H A2? III D z D? eh S? h z? 9
f30r_L05a	E? bb? ss2 9 r? BOX D lam fh n6 x sl eh A2 lt g? J? Rt?
f30r_L05b	z fh? f? mx? h x FL? m 9 fh? III mx h Rt c? lam? Mx z bb?
f30r_L06a	E bb ss2 III? 9 r? x? c ss2 9 H? eh 2 h D lam A2? 5? sl?
f30r_L06b	h BOX c paren bb 2 fh z? Mx? n6 lam yt? 5 m ss2 eh? Tb? 2 2 5 ss2 H?
f30r_L07a	fh z3? 2 fh Rt h D 2 2 mx HASH yt n6 BOX D lt
f30r_L07b	ss2 g 2 dl? o h A2? lam h Rt r3? 2 9 g ss2 lt III 2 q z FL? lt 2 HASH 9 2
f30r_L08a	fh z3? 2 fh Rt g D h BOX 2 paren lt fh III 2 fh x sl? paren 2 sl?
f30r_L08b	A o Tb? Af BOX 2 paren n6 J? z HASH 2 lt Mx lam r? m yt A2 z?
f30r_L09a	E bb 2 9 BOX ss2 9 r? 2 BOX fh eh c 9 lam HASH h fh ss2 Rt Af z r?
f30r_L09b	m A2 D? 2 J? lam n6 fh 9 z Mx m 9 o m xr lt r? h bb?
f30r_L10a	z lam g rho A2 xr Mx eh q9? 9 xr HASH c b Rt? 9
f30r_L10b	5 c 2 ss2 xr BOX D z A2 g lt 2 c h xr z xr Mx bb D fh 9
f30r_L11a	ss2 lt g Mx eh lam xr fh 9 D c fh m lt h z sl
f30r_L11b	m Tb? 9 c z D lt xr rho ss2 rho? xr 2 h 9 ss2 bb g BOX
f30r_L12a	Mx lam D g 2 9 xr n6 xr c lt 2 A2 ss2 m?
f30r_L12b	m u? 2 III fh Mx c z 2 m lam h g fh Tb g T xr 9 Mx
f30r_L13a	p z xr J? 9 lam h fh D J? z z3? D fh HASH? J? 9
f30r_L13b	x fh? A2 J? III sl m z xr eh 5 c lam ss2 g xr h lt g 2 xr bb Mx
f30r_L14a	Mx xr c fh 2 m D z3? 2 lt xr A2 lt HASH c 9 n6 m
f30r_L14b	ss2 z J? III xr z n6 eh fh BOX 2 lt D m 9 xr 2 h xr c
f30r_L15a	dl Mx 9 n6 H III 5 g fh 2 fh h xr g
f30r_L15b	fh Rt 9 2 m III 2 dl lt g D xr z J? 9 5 fh xr 2 z3? c
f30r_L16a	g lt n fh fh Af D z Mx n6 xr h c m J?
f30r_L16b	g fh 9 2 m III 2 dl lt g fh? 5? A2 lt h 2 BOX xr lam D m z 5 fh xr Mx o ss2 xr z9?
f30r_L17a	h xr g fh 2 h paren c ss2 xr 9 eh J? BOX 2 lt
f30r_L17b	g fh r3? eh c 9 rho ss2 r m rho? 2 z3? J? 9 xr 2 xr c h lt g 2
f30r_L18a	dl r3? c lam A2 9 g h Tb? 2 c lt xr D q
f30r_L18b	BOX D 2 ss2 J? 5 h g fh Mx z3? ss2 h lt g 2 Tb fh Tb? D 2 m J? xr
f30r_L19a	g lt z3? c xr r3? xr Af g lam? 5 h D 9 fh ss2 D m
f30r_L19b	lam A2 z3? Tb? 9 J? lam g fh xr 5 m c Mx h xr g z
f30r_L20a	c ss2 A2 9 J? Tb? ss2 xr 9 D m xr 9 D ss2 fh
f30r_L20b	9 r m fh xr z3? h lt g H? ss2 z3? A2 xr TRI D g h 9 xr z
f30r_L21a	9 lam A2 J? c ss2 D 2 9 c xr D CROSS 9 5 h
f30r_L21b	z xr c fh BOX 2 z3? J? 9 fh Af A2 lam xr D m ss2 xr z3? D ss2
f30r_L22a	z3? 9 h ss2 rho xr 2 sl h D n6 2 fh ss2
f30r_L22b	fh E BOX D lam 2 lt g 2 A2 ss2 h g 9 r m paren lam xr J? 9
f30r_L23a	c? BOX D h xr 5 ss2 ss2 z3? HASH? xr 9 2 ss2 v? eh
f30r_L23b	eh c 9 5? h xr c D z3? lam xr r bb h 9 r III dl m
f30r_L24a	dl h xr 2 xr n6 g h D fh? ss2 z3? 5? lam?
f30r_L24b	lam 2 HASH h r h lt g fh lam 2 ss2 J? h z3? HASH h 2 xr r 2 9 2
f30r_L25a	ss2 xr lam A2 J? 9 2 ss2 r m Tb 9 z3? fh?
f30r_L25b	ss2 fh eh c lam III fh 9 2 BOX z3? bb m J? 9 v? ss2 z3? m c fh?
f30r_L26a	z3? c 9 2 m? ss2 h J? lam A2 xr h 9 bb fh ss2?
f30r_L26b	J? c 9 2 III eh 9 2 BOX z3? m D A2 fh lam h fh eh c 9 2 h eh xr? Mx?
f30r_L27a	2 ss2 lt xr m 9 h D z3? o rho n g z3? ss2
f30r_L27b	Mx g lt h 2 fh g xr 2 z3? 9 g Tb rho 2 ss2 fh z3?
f30r_L28a	z3? Tb sl xr eh 2 fh z3? J? 9 rho n ss2 xr 9 h
f30r_L28b	h lt g 2 fh Tb z3? III 2 Tb z3? J? 9 rho h 9 ss2 2 lt eh D c lam
f30r_L29a	paren lt Rt? 5 n A2 xr 9 h lt n 2 fh Rt z3? eh
f30r_L29b	2 xr ss2 9 9 Tb Rt c ss2 A2 lam Mx 9 D z3? ss2 2 D
f30r_L30a	m Rt g eh ss2 2 5 lt g 2 fh rho xr n
f30r_L30b	h lt HASH 2 m lt g 5 lam g r m fh ss2 2 xr eh lt D A2 xr 9 fh
f30r_L31a	rho H z3? c 9 fh m z3? fh dl lt T xr eh
f30r_L31b	c 9 fh ss2 v z3? BOX ss2 g eh rho h lt Rt J? 9 xr 2 rho 2 9 2
f30r_L32a	lam 2 ss2 fh m D 9 xr lam fh 9 5 c z J? 9
f30r_L32b	rho H xr c h 9 n c m lam Mx ss2 h eh 9 D lam xr Mx dl xr?
f30r_L33a	A2 ss2 z3? D g D J? 9 5 lt g D ss2 J? CROSS
f30r_L33b	Tb 9 rho h A2 2 ss2 fh A2 J? 9 fh ss2 5 9 T A2 h D 2
f30r_L34a	z3? Mx ss2 Rt lt D m A2 BOX fh h z3? g D
f30r_L34b	d ss2 Mx 5 A2 lam 2 HASH g r rho n z3? ss2 fh D eh ss2 rho fh
