crop_file	line_no	token_no	token	note
f28r_L01_s1.jpg	1	1	"[PLAIN: ""28 (folio number, pencil, archival, plus an unresolved pilcrow-like paragraph mark)""]"	single line recorded for this band (opening/margin material)
f28r_L02_s1.jpg	1	1	"[PLAIN: ""Madame, pource que par Les Depeschos de monseigneur""]"	single line recorded for this band (opening/margin material)
f28r_L03_s1.jpg	1	1	"[PLAIN: ""Le conte(?) vous entendez de tous""]"	single line recorded for this band (opening/margin material)
f28r_L04_s1.jpg	1	1	"[PLAIN: ""Les affeors de par deca ordinairement, je ne me suis""]"	single line recorded for this band (opening/margin material)
f28r_L05_s1.jpg	1	1	"[PLAIN: ""de quelque temps enca, vous en escript / pour aussi que""]"	single line recorded for this band (opening/margin material)
f28r_L06_s1.jpg	1	1	"[PLAIN: ""menne, je ne me suis jusques a fry(?) autrement figure""]"	single line recorded for this band (opening/margin material)
f28r_L07_s1.jpg	1	1	"[PLAIN: ""escript / pour aussi que par Las Depeschos""]"	single line recorded for this band (opening/margin material)
f28r_L08_s1.jpg	1	1	"[PLAIN: ""entendre, joustriz(?) comment a monseigneur Le tresor(ier)""]"	single line recorded for this band (opening/margin material)
f28r_L09_s1.jpg	1	1	"[PLAIN: ""selon mon petit pouoir, je puis entendre, et congno-""]"	single line recorded for this band (opening/margin material)
f28r_L10_s1.jpg	1	1	"[PLAIN: ""monseigneur Le tresorier Robertet, de tout ce que""]"	single line recorded for this band (opening/margin material)
f28r_L11_s1.jpg	1	1	"[PLAIN: ""entendre, et congnoistre, aster(?) Le bien du [royaulme?]""]"	single line recorded for this band (opening/margin material)
f28r_L12_s1.jpg	1	1	"[PLAIN: ""du Roy et bru-(it?), et quant en p[ar]my pour madame ce q""]"	single line recorded for this band (opening/margin material)
f28r_L13_s1.jpg	1	1	"[PLAIN: ""cont bous escript du xxxi[?] vous entendrez de ce que""]"	single line recorded for this band (opening/margin material)
f28r_L14_s1.jpg	1	1	"[PLAIN: ""p[ar] my pour madame ce que par ce que mons[eigneur] le [tresorier?]""]"	single line recorded for this band (opening/margin material)
f28r_L15_s1.jpg	1	1	"[PLAIN: ""ns entendrez de ce que suffize(?) suivant depuis la disposit[ion]""]"	single line recorded for this band (opening/margin material)
f28r_L16_s1.jpg	1	1	"[PLAIN: ""premierement envoyer par le chemin de venise, je ne me""]"	single line recorded for this band (opening/margin material)
