# Sign inventory of the reconciled Raince cipher (ciphertext.txt). Generated by glyphs/build.py.
# row = row of glyphs/contact_sheet.jpg (1 = top). passA_codes / passB_codes: the pass codes aligned
# to signs of this type, with counts (codes with at least 2 hits or a tenth of the type's readings).
code	count	uncertain	sheet_row	shape	passA_codes	passB_codes
psi	544	12	1	trident on a stem (psi)	phi 353	C13 323, ψ 215
l	510	32	2	cursive l-loop, crossed tail (figure-of-eight / ribbon)	lam 311	C04 467
v	413	4	3	v / check stroke	v 284	v 415
arr	383	30	4	arrowhead on a stem (upward wedge with foot)	phi 234	A 148, C01 136, C06 54
lam	359	10	5	caret, open (Lambda)	lam 172, v 56	C10 331
f	340	8	6	long f with crossbar	f 228	f 349
db	332	7	7	dagger (short cross high on a stem) standing on a small o	dag 230	C11 337
o	323	8	8	small plain o	o 197	o 318
I	271	6	9	I with serifs	I 197	I 296
rho	227	13	10	rho: loop with a long tail curling left under the previous sign	rho 134	ρ 115, C01 83
q	223	33	11	ball on a plain stem (reversed q / lollipop)	rho 127	ρ 100, C01 91
z	221	0	12	z	z 164	z 243
box	183	4	13	small rectangle with a dot inside	box 116	C09 188
T	152	6	14	T	T 95	T 153
X	144	3	15	double x / starred X	box 38, x 37, star 22	x 137
n	136	4	16	n	n 88	n 136
7	131	4	17	7	7 70, z 15	7 126
E	104	4	18	E / epsilon	eps 44, oe 8	E 101
S	98	1	19	S	S 59, s 9	s 82, S 22
ankh	77	53	20	ball on a stem with a crossbar (ankh / female sign)	rho 30, phi 10	ρ 24, C01 16, C06 10, C13 9
sq	63	26	21	a-like loop with a diagonal stroke (slashed q)	a 30, lam 6	C10 14, a 10, A 8
th	61	4	22	theta, o with a horizontal bar	theta 32, o 5	C19 53
R	61	6	23	R	Rk 30	R 54
Del	48	1	24	closed triangle (Delta)	Delta 27	C07 48
dbar	42	1	25	o under a long horizontal bar with a short stem	dag 32	C11 41
H	41	8	26	H (left stem sometimes faint)	H 23	H 29, C10 10
w	33	1	27	omega / w	omg 21	C14 33
six	30	5	28	6 (reversed 6 / G-like loop)	Co 7, C6 6, o 3	6 12, G 8, C19 4
lamL	21	18	29	large lambda with a tail	lam 12, dag 2	C10 21
m	16	1	30	m	m 5, I 2	m 18
A	13	4	31	A	A 10	A 14
pi	13	3	32	omega with a bar above (varpi)	omg 6	C14 9
yogh	12	8	33	tall 3 with a descender (yogh)	y(?) 1, y 1, o 1, j(loop) 1	3 2, C25 2
L	11	8	34	script L loop	x 3, box 2	x 9, ? 2, C18 2
cross4	10	8	35	cross with a loop at three ends	o 3, -o(loop) 2	o 10
K	9	1	36	K	Rk 5	K 8
zslash	9	1	37	z with a long diagonal (lightning)	Z(curl) 1, lam 1	C18 8
x	9	7	38	single curly x (kappa-like)	x 2	x 9
plus	9	0	39	plus sign	dag 4, hash 3	C22 9
dash_o	9	4	40	short dash joined to an o (-o)	-o 3, o 2	o 5
three	7	0	41	3	3 2	3 6
U	6	1	42	U with a loop on each arm	U(loop2) 2	C24 5
Tbox	4	2	43	tall T over an o (boxed T)	-	C11 2, C23 2
oplus	4	1	44	circle with a cross inside	phi 1	C19 2, C21 2
hash	3	0	45	triple bar crossed by a stem	star 2	C08 3
heart	2	0	46	heart	heart 1	C17 2
bz	2	2	47	b joined to z	Rk 1	z 1, l 1
?	2	2	48	unresolved shape (settled as a sign, type unknown)	o 1	o 1
diamond	2	0	49	diamond with a dot	o 2	A 1, o 1
box3	1	0	50	three boxes in a row	-	C20 2
y	1	0	51	y	psi 1	y 2
