line	section	plain	sign_code	note
1	header	Chiffres desquelz l'on a usé durant [le] voiage d'Allemaigne, faict pour l'empire, [à] départir aussi qu'on consent[e].		title/ownership flourish, above the 14 line crops' y-range; see full note on the row below (applies to both header rows)
1	header	A monsieur Cordier et Sr de la Motheaugroing		title/ownership flourish and ownership line both sit above y=775 on the full page, outside the y-range of all 14 line crops (crop 1 begins at y=775, the alphabet cipher-sign row); read from images/canvas104_folio50v.jpg directly. Line 1 text is hard secretary hand; words in [] are uncertain best guesses (durant a usé / le voiage / à départir / consente); the second header line matches the correspondent names given in the task brief.
1	alphabet	a	UNLISTED	asymmetric cross: vertical stroke crossed by a short horizontal near its foot, with the stem rising taller above the crossbar on the left side than the right
1	alphabet	b	UNLISTED	two close-set vertical strokes crossed by one diagonal stroke, like an H overlaid with a slash
1	alphabet	c	K1	plain double vertical bar with no cross-slash; K1 is by far the most frequent atlas code (26 instances), consistent with a simple recurring mark, but confidence is only medium given how generic the shape is
1	alphabet	d	UNLISTED	two short horizontal strokes stacked vertically, like an equals sign
1	alphabet	e	K24	simple thin plus/cross, matches the plain "+" exemplars for K24 well
1	alphabet	f	K5	curled hook resembling a numeral 2 or 6, matches the curled-2 exemplars for K5 well
1	alphabet	g	K34	cross with a loop attached on the right side; tentative, K34 is a large varied bucket (18 instances)
1	alphabet	h	UNLISTED	short horizontal approach stroke leading into a small P-like loop
1	alphabet	i	UNLISTED	figure-eight or S-shaped double loop
1	alphabet	k	UNLISTED	tall plain double vertical bar, similar in kind to the sign given for c but narrower/taller
1	alphabet	l	K16	double vertical bar with a curling tail/loop at the bottom right; tentative match to the T/loop family in K16
1	alphabet	m	UNLISTED	small circle/loop sitting atop a vertical stem, phi-like
1	alphabet	n	UNLISTED	vertical stroke with a small serif foot, like a capital I
1	alphabet	o	UNLISTED	cross with an extra short bar partway up the stem, F-like
1	alphabet	p	K19	zigzag resembling a backward 3 or Z; matches the K19 "Z4"-style exemplar well
1	alphabet	q	UNLISTED	small loop atop a short vertical stroke, E/P-like
1	alphabet	r	UNLISTED	small cross with a circle/loop sitting at the top
1	alphabet	s	UNLISTED	open trapezoid / number-4-like shape with no crossbar
1	alphabet	t	UNLISTED	small comma-like hook stroke
1	alphabet	v	UNLISTED	T/pi-shaped cross with a small dot above it
1	alphabet	x	K23	small 4-armed cross/x shape, simpler than the fuller star exemplars shown for K23; tentative
1	alphabet	y	UNLISTED	cursive curled loop with a long descending swash tail; sits at the very end of the line near the page's deckle edge. No distinct sign for z was found on this row -- the row may only run a-y (22 signs), or z may not be separately marked; see also note on plain-letter row itself (images/f104_L02.jpg), which likewise shows only 22 letter-glyphs (a...y, no separate z) after omitting j, u, w.
5	nulls	NULLE	K26	triangle/tent shape with a vertical stem below it; resembles the lambda-like first exemplar for K26; tentative
5	nulls	NULLE	K13	three converging diagonal strokes forming a W/M shape; matches the first "W" exemplar given for K13
5	nulls	NULLE	UNLISTED	small circle joined by a short horizontal stroke to a double-stemmed cross with a looping flourish at the top right (looks like "o" + "H" with a tail)
5	nulls	NULLE	K31	wide open angle/chevron shape like an inverted V; resembles the "^" exemplar given for K31; tentative
3	name	Le conte palatin	K27	clean 2x2 grid/hashtag shape (two verticals crossed by two horizontals); matches the "##"-style exemplar given for K27 well
4	name	Treues	UNLISTED	sign is a vertical stem with a small loop at the top and a second small loop at the bottom, like a stretched figure-8 or barbell; no atlas code shows this two-loop pattern as a single cluster. Plain reading uncertain in secretary hand (looks like "Tveues"/"Tvenus"); intended place is very likely Trèves (Trier), an ecclesiastical electorate, consistent with the list's other electors
5	name	Mugance.	K34	box/rectangle shape attached to a vertical stem with a curling foot; tentative match to the K34 bucket (which includes a similar boxy "丹"-style exemplar). Intended place is Mugance = Mayence/Mainz, an ecclesiastical electorate
6	name	Brandebourg	K19	stylised Z/3 shape with an extra vertical stroke; matches the K19 "Z4" exemplar closely. Plain spelling uncertain letter-by-letter in secretary hand (visually closer to "Branulibonug") but the intended elector Brandenburg is unambiguous given the list context
7	name	Saxe	K15	curled loop ("9"-shape) joined to a plus/cross; matches the K15 "9t" exemplar closely. Initial letter of the name is written as an unusual loop (secretary "S"); intended is the elector of Saxony
8	name	Poulougne	K14	long single horizontal top bar with two vertical descenders (flat-topped pi/TT shape); tentative match to the K14 "pi"-style exemplar, though ours lacks the small loop seen on that exemplar's leg
9	name	Hongrie	K17	small loop connected by a short horizontal stroke to a vertical crossbar (o + t shape); tentative match to the K17 "t with o" exemplar. Plain reading's ending is ambiguous, could be read "Hongrou"
10	name	L'archiduc	UNLISTED|K34	sign appears to be in two parts: (1) a horizontal top stroke ending in a loop at the right, with a short approach serif on the left -- no good atlas match, UNLISTED; (2) below it, a vertical stem crossed by a horizontal bar with a loop on the right and a curling foot -- tentative match to K34. Plain reading of the name itself is uncertain in secretary hand (letters read roughly as "l'archidue" with a final flourish); given the list's context (electors, neighbouring kingdoms, then this entry, then "Catholicque"), the Archduke (Ferdinand of Austria) is the most likely intended referent
11	name	France Lempereur	UNLISTED	sign is a vertical stem crossed by two stacked horizontal bars with a small diagonal tick above, like a two-barred (patriarchal/Lorraine) cross; no atlas code shows this double-crossbar pattern. Plain reading is two words, "France" clear, second word uncertain -- a tall ascender-descender ligature followed by "pr" with a suspension mark, read tentatively as an abbreviation for "l'Empereur"; in the context of the 1519 imperial election this most plausibly denotes the King of France (Francis I) as a rival candidate for Emperor
12	name	Catholicque	UNLISTED	no clear cipher sign follows the name; instead there are three small comma-like hook marks in a row, repeated identically. These may be an abbreviation for "&c." (et cetera) rather than an assigned invented sign, or an unfinished/placeholder entry; flagged here rather than guessing an atlas code. Intended referent is very likely "le Roy catholicque", i.e. the King of Spain (Charles), the other candidate/eventual winner of the 1519 imperial election
