# letters_trial2.tsv -- regenerated by letters_trial.py --key2 (24 Sept 2026); French 5-gram bits/char, lower = more French
token_classes_mapped	19
dc8_tokens	137
dc8_letters_mapped	79
real_bpc	5.412
shuffle_draws	1000
shuffle_median_bpc	5.412
shuffle_best_bpc	4.492
real_share_of_shuffles_as_good_or_better	0.500
positive_control_letters	79
positive_control_bpc	3.754
positive_shuffle_median_bpc	5.054
positive_share_of_shuffles_as_good_or_better	0.000
real_vowel_share_AEIOVY	0.316
synthetic_vowel_share_AEIOVY	0.430
real_words_ge4_in_decode	(none)
real_decode_runs	MEPIDS B I FA O M F IIBA ERV IMFO S P I LSI M LL S DH BV M F SOI M SL LP I MLE L IIBM F RLSF LM IH M M FVBQIM O H F F F
verdict	does not read (negative, matched)
