leaf	order	codeA	glossA	noteA	codeB	glossB	noteB
191	20	1128	ennemi		1128	ennemie	
191	48	526	affréter	corrected, uncertain (heavily overwritten/struck cell)	526	après	corrected
191	51	689	corvette	crossed-out (whole word struck, no replacement written)	689	le	corrected
191	56	882	tente	uncertain (syllable fragment)	882	tent	uncertain
191	65	1122		crossed-out, illegible	1122	Le	
191	98	511	le		511	lé	
199	35	60		illegible, crossed-out	60	tou	uncertain
199	51	168	;		168	j	
200	15	472	e	uncertain, single letter	472	L	uncertain
200	18	144	était		144	étoit	
200	19	338	dans		338	dan	
200	21	566	Détroit		566	D'étroit	uncertain
200	28	13	aise	uncertain	13	aux	
200	46	535	fer	uncertain	535	ter	
200	80	848	pe	uncertain, possibly truncated 'peu'	848	ne	
200	86	168	;		168	j	
200	91	1116	si	uncertain (cursive ambiguous)	1116	st	
200	102	1128	ennemi		1128	ennemie	
200	112	1190	e	uncertain	1190	a	
200	113	190	on	uncertain	190	en	
