line	position	sign	confidence
07205_p1_L01_a	1	w:Duplicata	H
07205_p1_L01_a	2	16	H
07205_p1_L01_a	3	w:janvier	H
07205_p1_L01_a	4	1574	H
07205_p1_L01_b	1	w:affaires	L
07205_p1_L01_b	2	w:de	L
07205_p1_L01_b	3	w:mes	L
07205_p1_L01_b	4	w:freres	L
07205_p1_L01_c	1	w:dernieres	L
07205_p1_L01_c	2	w:sont	L
07205_p1_L01_c	3	w:expedie	L
07205_p1_L01_c	4	w:du	L
07205_p1_L01_c	5	w:Roy	L
07205_p1_L01_c	6	w:pour	L
07205_p1_L01_c	7	w:du	L
07205_p1_L01_c	8	w:mois	L
07205_p1_L02_a	1	w:quelques	L
07205_p1_L02_a	2	w:jours	L
07205_p1_L02_a	3	w:ou	L
07205_p1_L02_a	4	w:quatre	L
07205_p1_L02_a	5	w:jours	L
07205_p1_L02_a	6	w:apres	L
07205_p1_L02_a	7	w:ma	L
07205_p1_L02_a	8	w:lettre	L
07205_p1_L02_a	9	w:sont	L
07205_p1_L02_a	10	w:parvenues	L
07205_p1_L02_a	11	w:les	L
07205_p1_L02_a	12	w:trois	L
07205_p1_L02_a	13	w:escript	L
07205_p1_L02_a	14	w:a	L
07205_p1_L02_a	15	w:Harlem	L
07205_p1_L02_b	1	w:le	L
07205_p1_L02_b	2	w:du	L
07205_p1_L02_b	3	w:passe	L
07205_p1_L02_b	4	w:lesquelles	L
07205_p1_L02_b	5	w:m'ont	L
07205_p1_L02_b	6	w:merveilleusement	L
07205_p1_L02_b	7	w:contente	L
07205_p1_L02_b	8	w:par	L
07205_p1_L02_b	9	w:le	L
07205_p1_L02_b	10	w:discours	L
07205_p1_L02_b	11	w:de	L
07205_p1_L02_b	12	w:faict	L
07205_p1_L02_c	1	w:peu	L
07205_p1_L02_c	2	w:partir	L
07205_p1_L02_c	3	w:lieu	L
07205_p1_L02_c	4	w:par	L
07205_p1_L02_c	5	w:mes	L
07205_p1_L02_c	6	w:affaires	L
07205_p1_L02_c	7	w:de	L
07205_p1_L02_c	8	w:ce	L
07205_p1_L02_c	9	w:qui	L
07205_p1_L02_c	10	w:reste	L
07205_p1_L02_c	11	w:par	L
07205_p1_L02_c	12	w:ses	L
07205_p1_L02_c	13	w:tres	L
07205_p1_L02_c	14	w:humbles	L
07205_p1_L02_c	15	w:priant	L
07205_p1_L02_d	1	w:les	L
07205_p1_L02_d	2	w:fist	L
07205_p1_L02_d	3	w:mon	L
07205_p1_L02_d	4	w:travail	L
07205_p1_L02_d	5	w:s'il	L
07205_p1_L02_d	6	w:leur	L
07205_p1_L02_d	7	w:plaisir	L
07205_p1_L02_d	8	w:faire	L
07205_p1_L02_d	9	w:revenir	L
07205_p1_L02_d	10	w:le	L
07205_p1_L02_d	11	w:tout	L
07205_p1_L02_d	12	w:a	L
07205_p1_L02_d	13	w:la	L
07205_p1_L02_d	14	w:premiere	L
07205_p1_L02_d	15	w:semaine	L
07205_p1_L02_d	16	w:de	L
07205_p1_L02_d	17	w:la	L
07205_p1_L02_d	18	w:fin	L
07205_p1_L03_a	1	w:et	L
07205_p1_L03_a	2	w:quoy	L
