folio_line	pos_start	pos_end	status	source
f110-1	1	62	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-2	1	57	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-3	1	62	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-4	1	45	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-5	1	58	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-6	1	74	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-7	1	47	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-8	1	47	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-9	1	48	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-10	1	47	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-11	1	44	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-12	1	49	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
