# Key read from the note's own interlinear plaintext (grade C: known plaintext on the leaf, LANE W audit 24 Sept 2026); generated by build_align.py
code	value	grade	source	note
[plus]	e	C	interlinear plaintext	99 aligned
[loopn]	a	C	interlinear plaintext	93 aligned
[g01]	s	C	interlinear plaintext	50 aligned
9	o	C	interlinear plaintext	48 aligned
3	n	C	interlinear plaintext	45 aligned
[dot]	r	C	interlinear plaintext	43 aligned
[circledot]	l	C	interlinear plaintext	35 aligned
7	i	C	interlinear plaintext	34 aligned
[bigloop]	d	C	interlinear plaintext	33 aligned
6	t	C	interlinear plaintext	32 aligned
[cross]	u	C	interlinear plaintext	31 aligned
0	m	C	interlinear plaintext	26 aligned
[dash]	c	C	interlinear plaintext	14 aligned
[g02]	g	C	interlinear plaintext	13 aligned
[g05]	p	C	interlinear plaintext	13 aligned
5	v	C	interlinear plaintext	10 aligned
[equals]	f	C	interlinear plaintext	7 aligned
[g03]	q	C	interlinear plaintext	7 aligned
[g07]	y	C	interlinear plaintext	7 aligned
4	ñ	C	interlinear plaintext	5 aligned
[g06]	b	C	interlinear plaintext	4 aligned; also aligned to v x1
[g04]	h	C	interlinear plaintext	4 aligned
[loopm]	z	C	interlinear plaintext	4 aligned
2	j	C	interlinear plaintext	3 aligned
[g09]	e	C	interlinear plaintext	2 aligned
[g08]	s	C	interlinear plaintext	1 aligned
[g10]	1	C	interlinear plaintext	1 aligned
[g11]	5	C	interlinear plaintext	1 aligned
