line	pos	code_a	marks_a	code_b	marks_b	note
1	1	L	dot|~	L	dot|~	base+marks match
1	2	S7		S7		base+marks match
1	3	y	dot|1|dot	y	dot|1|dot	base+marks match
1	4	bh		bh		base+marks match
1	5	S7	#	S7	#	base+marks match
1	6	e		e		base+marks match
1	7	tee	dot	tee	dot	base+marks match
1	8	g		g		base+marks match
1	9	bh	dot|dot|dot	bh	dot|dot|dot	base+marks match
1	10	psi		psi		base+marks match
1	11	lam		lam		base+marks match
1	12	lam	5|1	lam	5|1	base+marks match
1	13	H	5	H	5	base+marks match
1	14	y		y		base+marks match
1	17	w		w		base+marks match
1	18	bh		bh		base+marks match
1	19	a	~	a	~	base+marks match
1	20	nt		nt		base+marks match
1	21	w		w		base+marks match
1	22	m	~	m	~	base+marks match
1	23	w		w		base+marks match
1	25	tee		tee		base+marks match
1	26	e	dot	e	#	base match
1	27	eps	dot|1	eps	dot|1	base+marks match
2	1	g	dot|dot	g	dot|dot	base+marks match
2	2	S7		S7		base+marks match
2	3	lam		lam		base+marks match
2	4	S4	~	S4	~	base+marks match
2	5	dl		dl		base+marks match
2	6	K		K		base+marks match
2	8	rz		rz		base+marks match
2	9	S7	+	S7	+	base+marks match
2	10	g		g		base+marks match
2	11	a	1	a	1	base+marks match
2	13	e		e		base+marks match
2	14	g	1	g	1	base+marks match
2	15	U		U		base+marks match
2	16	w		w		base+marks match
2	17	rz		rz		base+marks match
2	18	psi		psi		base+marks match
2	19	lam	5	lam	5	base+marks match
2	20	phi		phi		base+marks match
2	21	[		[		base+marks match
2	22	tee		tee		base+marks match
2	23	Z	#	Z	#	base+marks match
2	24	eps	~	eps	~	base+marks match
2	25	g		g		base+marks match
2	26	y	~	y	~	base+marks match
2	27	y		y		base+marks match
2	28	g	7	g	7	base+marks match
3	2	eps	5	eps	5	base+marks match
3	3	w		w		base+marks match
3	4	e		e	+	base match
3	5	lam	5	lam	5	base+marks match
3	7	L		L		base+marks match
3	8	g	~	g	~	base+marks match
3	9	Z		Z		base+marks match
3	10	S7		S7		base+marks match
3	12	psi		psi		base+marks match
3	13	lam		lam		base+marks match
3	14	lam	5	lam	5	base+marks match
3	15	e	+	e	+	base+marks match
3	16	H	#	H	#	base+marks match
3	18	w		w		base+marks match
3	19	lam	?	lam	?	base+marks match
3	20	eps	7	eps	7	base+marks match
3	21	m	7	m	7	base+marks match
3	22	S7		S7		base+marks match
3	23	w	dot|#	w	dot|#	base+marks match
3	24	S7		S7		base+marks match
3	26	]	dot|o	]	dot|o	base+marks match
3	27	phi		phi		base+marks match
4	1	o.		o.		base+marks match
4	2	tee		tee		base+marks match
4	5	]	ot	]	ot	base+marks match
4	6	phi		phi		base+marks match
4	7	lam		lam		base+marks match
4	8	S		S		base+marks match
4	9	bh		bh		base+marks match
4	10	lam		lam		base+marks match
4	11	rz		rz		base+marks match
4	12	a	5	a	5	base+marks match
4	13	S7		S7		base+marks match
4	14	lam	7	lam	7	base+marks match
4	15	phi		phi		base+marks match
4	16	H	1|o	H	1|o	base+marks match
4	17	m	~	m	~	base+marks match
4	18	w		w		base+marks match
4	19	]	o	]	o	base+marks match
4	20	psi		psi		base+marks match
4	23	]	o|dot	]	o|dot	base+marks match
4	24	lam	1	lam	1	base+marks match
