host	query	http_status	raw	kept	note
quod.lib.umich.edu	(reachability only)	403	-	0	blocked before any query form loaded; one retry with browser UA also 403 (bot block, not egress: curl -o /dev/null gave 403 not 000)
clements.umich.edu	(reachability only)	403	-	0	blocked before any query form loaded; one retry with browser UA also 403; matches QUEUE.md's 19 Sept 2026 note for this host (same 403)
search.amphilsoc.org	(reachability only)	403	-	0	blocked before any query form loaded; one retry with browser UA also 403
diglib.amphilsoc.org	(reachability only)	302->turnstile-challenge	-	0	redirects to /turnstile-challenge (Cloudflare Turnstile); not retried further (challenge page, not a transient code)
api.repo.nypl.org	/api/v2/items/search?q=cipher	200 body="HTTP Token: Access denied."	-	0	needs an OAuth token this session does not hold; not a candidate route without one
digitalcollections.nypl.org	/search/index?keywords=cipher	200 (Incapsula challenge page, 959 bytes)	-	0	Incapsula bot-detection iframe returned instead of results; not retried (challenge page)
digitalcollections.nyhistory.org	(reachability only)	403	-	0	blocked before any query form loaded; one retry with browser UA also 403
curiosity.lib.harvard.edu	(reachability only)	429	-	0	rate-limited on first test and two retries after pauses (3s, 8s); never resolved this session
hollisarchives.lib.harvard.edu	(reachability only)	429	-	0	rate-limited on first test and one retry after a pause; never resolved this session
findingaids.princeton.edu	q=cipher (+collection facet), q="C0063" cipher	200 (Cloudflare Turnstile "Verifying connection")	-	0	not a brief-named host but the natural companion catalogue to dpul.princeton.edu for the same item found there; Cloudflare Turnstile challenge page returned instead of results, not retried
dpul.princeton.edu	catalog.json?q=cipher	200	34	0	CONTROL: query form verified -- surfaces a genuine cipher item, ark:/88435/dcr781wv919 (Arthur Lee to Continental Congress Committee of Correspondence, 31 Aug 1778, "encoded his letter using a sophisticated cipher... which this letter's recipient subsequently interlined") -- but that item is already deciphered on the document itself (interlinear, contemporary), so it scores unread=0 (edition, dropped per README "What counts as a result"), not nominated. Remaining 33 hits are printed books/pamphlets/reports where "cipher" appears in ordinary text (arithmetic, watermark description, figurative "cipher of a man"), none a candidate; checked open by title/creator against QUEUE.md/CATALOG.md/LANDSCAPE.md/ciphers/ and fresh solver-repo clones (dbourdeau/cyphersolver, aaymeloglu/unsolved-ciphers): no match for "Princeton" or "Arthur Lee" in either
dpul.princeton.edu	catalog.json?q=cypher	200	115	0	same host, "cypher" spelling: dominated by 18th-c. federal-arithmetic/"ready reckoner" books ("cypher" = digit/numeral) and printed political pamphlets/histories of the American Revolution that use "cypher" in ordinary prose; sampled first page plus a manuscript-format facet attempt (5 hits, still all printed books -- facet did not isolate manuscripts cleanly); no manuscript cipher letter found beyond the dcr781wv919 item already logged above
dpul.princeton.edu	catalog.json?q="in cypher"	200	15	0	phrase search, all printed books/pamphlets (Cornwallis, Tarleton, Burgoyne, Monroe narratives etc. using "in cypher" in ordinary historical prose), no manuscript hit
dpul.princeton.edu	catalog.json?q="in cipher"	200	5	0	phrase search, all printed items, no manuscript hit
