family	unit	selector	offset	direction	best_window_score	best_window	cover_run	cover_text
C book-wide words	sentence	first word	6	fwd	0.629	he see you see how have	2835	
C book-wide words	sentence	first word	6	fwd	0.615	as it that was then could	10155	
C book-wide words	sentence	first word	6	fwd	0.532	now and when i and so	8543	
C book-wide words	sentence	first word	6	fwd	0.514	astro and it it so that	1382	
C book-wide words	sentence	first word	6	fwd	0.500	good now then he does he	5363	
C book-wide words	sentence	first word	6	fwd	0.486	astro which he it it to	8953	
C book-wide words	sentence	first word	6	fwd	0.465	it be they here here here	7152	
C book-wide words	sentence	first word	6	fwd	0.463	i suppose now you this the	130	
C book-wide words	sentence	first word	6	fwd	0.450	no i come as with the	4325	
C book-wide words	sentence	first word	6	fwd	0.446	no it but when last i	484	
C book-wide words	sentence	first word	6	fwd	0.440	as she then what it was	10104	
C book-wide words	sentence	first word	6	fwd	0.439	thursday and friday the fine a	1147	
C book-wide words	sentence	first word	6	fwd	0.424	where that if but i will	1977	
C book-wide words	sentence	first word	6	fwd	0.416	but that but in in his	6649	
C book-wide words	sentence	first word	6	fwd	0.402	the gods help the man you	5498	
C book-wide words	sentence	first word	8	fwd	0.364	what it where that if but i will	1975	
C book-wide words	sentence	first word	8	fwd	0.292	hungry yet she as it that was then	10152	
C book-wide words	sentence	first word	8	fwd	0.274	a quick while she in a quick run	1590	
C book-wide words	sentence	first word	8	fwd	0.273	astro and it it so that i we	1382	
C book-wide words	sentence	first word	8	fwd	0.225	if only but if he yes men women	9642	
C book-wide words	sentence	first word	8	fwd	0.210	thursday and friday the fine a well he	1147	
C book-wide words	sentence	first word	8	fwd	0.207	in his so then oh who not perhaps	6653	
C book-wide words	sentence	first word	8	fwd	0.196	you you you not then there you so	375	
C book-wide words	sentence	first word	8	fwd	0.192	ah you he he i was perfectly of	5297	
C book-wide words	sentence	first word	8	fwd	0.185	he at the two meanwhile in at its	7315	
C book-wide words	sentence	first word	8	fwd	0.165	selwyn do well ha you think but he	4979	
C book-wide words	sentence	first word	8	fwd	0.160	it but when last i we it had	485	
C book-wide words	sentence	first word	8	fwd	0.152	no i did oh i you not was	8397	
C book-wide words	sentence	first word	8	fwd	0.143	beimer he the gods help the man you	5496	
C book-wide words	sentence	first word	8	fwd	0.133	yes it it but this i and i	5305	
C book-wide words	sentence	first word	12	fwd	0.197	but that but in in his so then oh who not perhaps	6649	
C book-wide words	sentence	first word	12	fwd	0.173	you you you you not then there you so you is the	374	
C book-wide words	sentence	first word	12	fwd	0.072	i was perfectly of yes it it but this i and i	5301	
C book-wide words	sentence	first word	12	fwd	0.060	but must should hungry yet she as it that was then could	10149	
C book-wide words	sentence	first word	12	fwd	-0.015	it oh how he the in with those it as in the	7164	
C book-wide words	sentence	first word	12	fwd	-0.025	he now if it i i but what i of it from	3246	
C book-wide words	sentence	first word	12	fwd	-0.029	what it where that if but i will i'll as in a	1975	
C book-wide words	sentence	first word	12	fwd	-0.073	you you nothing for what he i where you you at the	748	
C book-wide words	sentence	first word	12	fwd	-0.090	but it she could could as she then what it was she	10099	
C book-wide words	sentence	first word	12	fwd	-0.149	do but it it it i but if once up on but	1573	
C book-wide words	sentence	first word	12	fwd	-0.152	miss he yes he at the two meanwhile in at its she	7312	
C book-wide words	sentence	first word	12	fwd	-0.158	telephone and next then but as here what does oh then as	3915	
C book-wide words	sentence	first word	12	fwd	-0.161	but has yes but as i i you he here it shall	4397	
C book-wide words	sentence	first word	12	fwd	-0.176	let's yes this she and of but unfortunately i was you yes	3060	
C book-wide words	sentence	first word	12	fwd	-0.181	ah then they the a quick while she in a quick run	1586	
C book-wide words	sentence	first word	6	rev	0.634	herr in the one all three	4849	
C book-wide words	sentence	first word	6	rev	0.629	her when he at once at	6622	
C book-wide words	sentence	first word	6	rev	0.572	valeska think you you put the	7939	
C book-wide words	sentence	first word	6	rev	0.546	goodby here as any you see	1302	
C book-wide words	sentence	first word	6	rev	0.513	little in ten now but our	3242	
C book-wide words	sentence	first word	6	rev	0.508	astro the smoking at once at	5702	
C book-wide words	sentence	first word	6	rev	0.497	but you do how on every	8755	
C book-wide words	sentence	first word	6	rev	0.464	it's and simple easily can of	3962	
C book-wide words	sentence	first word	6	rev	0.454	but if then oh yes have	3153	
