line	pos	code	marks	source	reason
1	1	]	o|dot	BC	A=y B=] C=]; C note: loop above + open-box-left shape matches ']' atlas; A's 'y' would need forked-hook strokes not present
1	3	_		BC	A=eps B=_ C=_; C note: cursive E-t ligature opening plain 'et', not eps (atlas eps is a tighter pinched curl)
1	4	_		BC	A=+ B=_ C=_; C note: continues the same plain 'et' ligature as pos3, joined cross-stroke is a plain t not an isolated + sign
1	5	_		BC	A=p B=_ C=_; C note: cursive 'Pr' opening 'Prometto', clear looped P with r flourish, plain
1	7	_		BC	A=# B=_ C=_; C note: plain cursive 'etto' (double-o loop with crossbar), completing 'Prometto'
1	13	+		AC	A=+ B=# C=+; C note: single crossing stroke (vertical x horizontal) with a small flourish tick above; matches '+' atlas single-cross rather than '#'s grid of multiple crossing strokes
1	15	w	1|5	BC	A=_ B=w C=w; C note: numeral-like '1''5' flourish over a forked hook/tail shape matches 'w' atlas; sits between two agreed cipher signs (Lx@14, y@16)
1	19	a		BC	A=_ B=a C=a; C note: clean cursive 'a', atlas 'a' match; flanked by cipher signs on both sides (g@18, S read at 20) so kept as the cipher-code 'a' (visually = plain a), not a plain letter
1	20	S		AC	A=S B=_ C=S; C note: clean single S-squiggle stroke matches 'S' atlas; sits between two cipher 'a' calls (19,21), kept as sign against B's plain read
1	21	a	1	BC	A=_ B=a C=a; C note: same 'a' shape and context as pos19, numeral-1 flourish mark matches both passes' shared mark call
2	3	Z		BC	A=_ B=Z C=Z; C note: two-tier construction (small hook above, curled Z/2-like body below) matches 'Z' atlas exemplars with an 'n+'-style mark over a curled main body
2	8	lam	~	BC	A=_ B=lam C=lam; C note: single diagonal stroke matches 'lam' atlas (plain diagonal/upright stroke) better than a plain letter here
2	11	#	o	BC	A=_ B=# C=#; C note: busy crossing strokes match '#' atlas grid shape
2	13	phi		BC	A=_ B=phi C=phi; C note: circle-loop with a diagonal stroke crossing the top matches 'phi' atlas (circle+slash) closely
2	23	_		BC	A=w B=_ C=_; C note: flat single wavy connecting stroke, no forked vertical structure of the 'w' atlas; reads as a plain ligature/flourish
3	2	dl		BC	A=_ B=dl C=dl; C note: loop-with-descender-tail shape matches 'dl' atlas
3	4	e		BC	A=ch B=e C=e; C note: clean 'E'-with-crossbar shape matches 'e' atlas (several e exemplars show hash-like crossbars) better than 'ch's single hook-loop shape
3	26	w		AC	A=w B=_ C=w; C note: clear forked-hook double-stroke shape matches 'w' atlas
4	2	Z		BC	A=_ B=Z C=Z; C note: prominent curled Z/2-shaped main stroke with a small mark above matches 'Z' atlas
4	4	eps	5	BC	A=_ B=eps C=eps; C note: two small stacked curl marks, genuinely weak/ambiguous read; kept to B's eps+5 as the closer guess
4	8	w	1	BC	A=_ B=w C=w; C note: clean double-loop 'w' shape, close match to atlas 'w' cursive double-hook
4	11	L		BC	A=_ B=L C=L; C note: simple angular hook stroke matches 'L' atlas (numeral marks below are separate)
5	4	e	#	BC	A=_ B=e C=e; C note: hash mark above a rounded loop matches 'e' atlas cross+circle exemplars
5	9	Z		BC	A=_ B=Z C=Z; C note: n+-style mark above a curled Z-shaped body, same pattern as pos2/3 and 4/2
5	10	S7	1	BC	A=_ B=S7 C=S7; C note: clean numeral-7-shaped stroke, close match to atlas 'S7'
5	22	e	dot	BC	A=Z B=e C=e; C note: rounded 'c'-loop with a dot above matches 'e' atlas better than Z's jagged n+/2 shape
6	25	g	~	BC	A=_ B=g C=g; C note: clean loop-plus-descending-tail ('9'-like) shape, close match to 'g' atlas
7	18	_		BC	A=S7 B=_ C=_; C note: smooth double-hump cursive stroke (like plain m/n), not S7's angular numeral-7 shape
7	22	L		BC	A=y B=L C=L; C note: simple single diagonal stroke with a small hook at the base matches 'L' atlas better than y's forked complexity
8	1	_		BC	A=] B=_ C=_; C note: stray flat stroke crossed by a diagonal, consistent with archival-stamp bleed-through ink in this region (line8 pos3-5 already independently read as stamp text 'octobre' per L5's notes), not a clean ']' glyph
9	7	_		AC	A=_ B=bh C=_; C note: large sweeping curved loops match the round archival stamp border ink bleeding into this line (L5's notes: stamp overlaps lines 8-9), not the compact 'bh' hook shape
9	8	_	1	AC	A=_ B=y C=_; C note: crossing diagonal strokes in the same stamp/bleed region as pos7 and the leaf's noted pos4/8/16 stamp interference; kept plain per L5's independent stamp identification
11	14	o.	dot	split-M	A=_ B=H C=o.; C note: clean circle with a centered dot, exact match to the 'o.' atlas plate -- neither A's plain nor B's 'H' read matches this shape; settled on crop: L5c arbitration (3-way->C), carried over
12	1	phi		BC	A=bh B=phi C=phi; C note: clean circle crossed by a long diagonal stroke, exact 'phi' atlas match
12	16	e	dot|3	BC	A=_ B=e C=e; C note: cursive loop matches 'e' atlas; marks below (dot, numeral-3-like stroke) read tentatively, consistent with A's own flagged mark uncertainty
13	20	y		AC	A=y B=_ C=y; C note: loop-plus-tail shape with a '3'-like flourish on top matches 'y' atlas numeral-marked hook exemplars
14	16	e	dot|+	BC	A=_ B=e C=e; C note: clean cursive loop matches 'e' atlas; dot and + marks below both passes already agree on
15	7	e		BC	A=eps B=e C=e; C note: rounded loop with a smooth curling tail matches 'e' atlas's rounder style better than eps's tighter pinched curl (this leaf's known eps/e confusable pair)
15	8	#		BC	A=_ B=# C=#; C note: clear crossing hash strokes at top, genuine '#' glyph
16	1	_		BC	A=eps B=_ C=_; C note: loop+cross ligature, same 'Et'-opening shape as line1 pos3/4, plain
16	2	_		BC	A=+ B=_ C=_; C note: continues the same plain ligature as pos1
16	3	_		BC	A=S7 B=_ C=_; C note: clear cursive 'no' fragment, plain
16	5	_		BC	A=lam B=_ C=_; C note: two plain diagonal connecting strokes, no hook/loop features of a sign; weak read but consistent with the plain run
16	8	_	dot	BC	A=y B=_ C=_; C note: clear cursive word fragment ('sog'), plain
16	11	_		BC	A=N B=_ C=_; C note: joined cursive strokes (plain m/n-like), part of the plain run
16	12	_		BC	A=ch B=_ C=_; C note: scripted loop resembling cursive 'ch' but part of an ordinary plain word here, not an isolated sign
16	13	_		BC	A=N B=_ C=_; C note: simple plain cursive stroke, part of the plain run
16	14	_		BC	A=S B=_ C=_; C note: small dotted 's.' abbreviation-like shape, plain
16	17	_		BC	A=g B=_ C=_; C note: plain cursive 'cy' fragment
16	18	_		BC	A=p B=_ C=_; C note: clear cursive 'Pa', opens the word 'Pagare' named in L5's notes
16	27	_		BC	A=p B=_ C=_; C note: plain cursive fragment resuming after the pos23-25 cipher insertion
16	28	_	dot	BC	A=w B=_ C=_; C note: plain cursive fragment, same resumed-plain-text stretch as pos27
17	10	_		BC	A=e B=_ C=_; C note: clear cursive 'qui', part of 'Contentato qui'
17	13	_		BC	A=Lx B=_ C=_; C note: clear cursive 'Ma'
17	14	_		BC	A=N B=_ C=_; C note: joined cursive stroke, part of 'faccendo'
17	19	_		BC	A=y B=_ C=_; C note: plain cursive fragment, part of 'gra[n]'
17	20	_		BC	A=g B=_ C=_; C note: plain cursive fragment, continues same word
17	21	_		BC	A=a B=_ C=_; C note: plain cursive fragment, continues same word
17	22	_		BC	A=lam B=_ C=_; C note: single short plain connecting stroke
17	24	_		BC	A=bh B=_ C=_; C note: clear cursive 'lilig', part of 'diligentia'
17	25	_		BC	A=g B=_ C=_; C note: plain cursive fragment continuing 'diligentia'
17	26	_		BC	A=tee B=_ C=_; C note: plain cursive fragment continuing 'diligentia'
17	27	_		BC	A=lam B=_ C=_; C note: plain cursive fragment, tail of 'diligentia'
17	30	_		BC	A=v B=_ C=_; C note: simple 'v' stroke, part of the 'V.S.' abbreviation closing the sentence
17	31	_		BC	A=S B=_ C=_; C note: small dotted 's' shape, part of 'V.S.'
17	32	_		BC	A=y B=_ C=_; C note: 's' with tail, continues 'V.S.'
18	2	_		BC	A=w B=_ C=_; C note: flat wavy connecting stroke, same shape as line2 pos23's plain ligature
18	5	_		BC	A=N B=_ C=_; C note: bold N-like flourish but within the plain 'el Beveraggio' stretch named in L5's notes, kept plain
18	6	_		BC	A=eps B=_ C=_; C note: loop shape within the same plain stretch, likely a cursive letter of 'Beveraggio'
18	8	_		BC	A=bh B=_ C=_; C note: clear cursive capital 'B' opening 'Beveraggio'
18	11	_		BC	A=p B=_ C=_; C note: clear cursive 'rag', matches '...veraggio'
18	18	a		BC	A=_ B=a C=a; C note: clean cursive 'a' shape; sits after the plain 'el Beveraggio' stretch ends (L5's notes: cipher resumes after pos13), kept as the cipher-code 'a'
18	22	a	1	BC	A=lam B=a C=a; C note: same 'a' shape and context as pos18, within the resumed-cipher stretch; numeral-1 mark shared by both passes
20	1	_		BC	A=L B=_ C=_; C note: straight vertical-plus-foot stroke identical to the 'L' atlas shape, but reads as the capital L opening 'La' given the whole-line closing-formula context
20	3	_		BC	A=eps B=_ C=_; C note: small looped flourish, part of the abbreviation/diacritic on 'p[rese]nte'
20	10	_		BC	A=tee B=_ C=_; C note: plain letter fragment, part of 'stata'
20	14	_		BC	A=m B=_ C=_; C note: arc-plus-stroke shape, plain letter fragment within 'suggellata'
20	17	_		BC	A=p B=_ C=_; C note: clear cursive 'Vo', part of 'volte'
