line	col	A	B	score_A	score_B	decision	note
p1_L01	1	=du	=Du			B	case-only, no content difference
p1_L01	3	=jour	=Jour			A	case-only, no content difference
p1_L01	5	=iung	=Juing	-2.976	-3.067	M	margin 0.35
p1_L01	7	=duplicata	=Duplicata			A	case-only, no content difference
p1_L02	1	=il	=Il			B	case-only, no content difference
p1_L02	4	=on	=me	-2.651	-2.527	M	margin 0.35
p1_L02	5	=pardonne	=pardonnez	-2.583	-2.777	M	margin 0.35
p1_L02	10	=col	60	-3.198	-3.157	M	margin 0.35
p1_L02	11	=qui	=ay	-3.271	-3.253	M	margin 0.35
p1_L02	12	=depesche	=depesché	-3.218	-3.281	M	margin 0.35
p1_L02	15	-	=ce			M	gap: passes disagree on segmentation, needs image
p1_L02	16	-	=lundy			M	gap: passes disagree on segmentation, needs image
p1_L02	17	-	=mais			M	gap: passes disagree on segmentation, needs image
p1_L02	18	=scelon	=selon	-2.962	-2.919	M	margin 0.35
p1_L02	19	=lespoulx	=l'esperance	-2.874	-2.717	M	margin 0.35
p1_L02	21	=col	=vous	-2.991	-2.651	M	margin 0.35
p1_L02	22	=auoit	=m'auiez	-2.943	-2.949	M	margin 0.35
p1_L02	24	=parme	=pense	-2.840	-2.700	M	margin 0.35
p1_L03	14	123	133	-3.157	-3.529	A	settled
p1_L04	1	-	145			M	gap: passes disagree on segmentation, needs image
p1_L04	2	=auoit	=auoué	-3.073	-3.156	M	margin 0.35
p1_L04	3	=fut	=este	-3.026	-2.967	M	margin 0.35
p1_L04	11	75	55	-3.357	-3.362	M	margin 0.35
p1_L04	18	101	108	-3.366	-3.347	M	margin 0.35
p1_L05	5	-	=a			M	gap: passes disagree on segmentation, needs image
p1_L05	6	=apparoistre	=paravec	-3.059	-3.135	M	margin 0.35
p1_L06	1	=leu	-			M	gap: passes disagree on segmentation, needs image
p1_L06	2	=la	=le	-2.551	-2.517	M	margin 0.35
p1_L06	3	=main	=mal	-2.694	-3.031	M	margin 0.35
p1_L06	10	=descripre	=escripre	-3.061	-3.004	M	margin 0.35
p1_L06	12	=fauet	=fault	-2.852	-2.845	M	margin 0.35
p1_L06	13	=auroit	=aucun	-3.041	-3.055	M	margin 0.35
p1_L06	15	=paine	=peine	-2.742	-2.652	M	margin 0.35
p1_L06	17	=n'a	-			M	gap: passes disagree on segmentation, needs image
p1_L06	18	=re	=apres	-2.602	-2.565	M	margin 0.35
p1_L06	20	=lettre	=fortune	-2.664	-2.668	M	margin 0.35
p1_L07	1	=de	-			M	gap: passes disagree on segmentation, needs image
p1_L07	2	=la	-			M	gap: passes disagree on segmentation, needs image
p1_L07	3	=rechute	-			M	gap: passes disagree on segmentation, needs image
p1_L08	8	=lisguisez	=lesquelz	-3.216	-3.012	M	margin 0.35
p1_L08	9	=lauoient	=l'auoient	-3.187	-3.116	M	margin 0.35
p1_L08	18	82	32	-2.816	-3.367	A	settled
p1_L09	15	65	68	-3.213	-3.231	M	margin 0.35
p1_L10	2	=la	=lu	-3.182	-3.274	M	margin 0.35
p1_L10	3	=forgue	=foge	-3.250	-3.195	M	margin 0.35
p1_L10	15	=guet	=quil	-3.329	-3.239	M	margin 0.35
p1_L11	6	=a	=le	-3.067	-2.916	M	margin 0.35
p1_L11	7	=moytie	=moyen	-2.999	-3.203	M	margin 0.35
p1_L11	9	=a	=affaire	-2.884	-2.789	M	margin 0.35
p1_L11	10	=nuy	=ny	-3.303	-3.306	M	margin 0.35
p1_L12	1	29	19	-3.339	-3.339	M	margin 0.35
p1_L12	5	=de	=du	-2.863	-3.263	A	settled
p1_L12	17	=guanimschez	=souuiendra	-3.305	-3.183	M	margin 0.35
p1_L12	18	=de	=aluy	-3.305	-3.271	M	margin 0.35
p1_L13	1	=g	=a	-3.366	-3.385	M	margin 0.35
p1_L13	16	=r	=a	-3.540	-3.279	M	margin 0.35
p1_L13	17	3	=la	-3.544	-2.722	B	settled
p1_L14	5	=paroingy	=pareansy	-3.312	-3.386	M	margin 0.35
p1_L14	6	=siua	=sura	-3.224	-3.210	M	margin 0.35
