code	letter	surtees_page	printed_as	context_surtees	context_csp	other_occurrences_surtees	identification	grade	reasoning
189	CLXXXVII (7 Apr 1583)	405	Montrosse (print); 189 (MS f.196, Tomokiyo)	 His service must needs be presented to these confederates, and chiefly to Manningvile, Huntley, Glencarne, and Mont- rosse, with especial commendations from 870. And his attendance in close manner must be diligent about them. He 	token count only: Montrose on p371, no 189 token on pp369-371	CCXL.x2	John Graham, 3rd Earl of Montrose	C	Tomokiyo 24 Sept 2026: MS f.196 has 189 where the Surtees print has 'Montrosse' (CLXXXVII); CSP vi p.371 token bag has Montrose and no 189. CCXL use (suit to 189 for Drumquhassell's relief) consistent with a council lord
870	CLXXXVII (7 Apr 1583)	404	870	 inclosed therein, I do perceive the doings and pro- gress of" Sir Henry Cobham with 870 and Smallet, finding therewith, as well her Majesty's resolution to entertain the matt	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
000	CLXXXVII (7 Apr 1583)	404	000	 be warily guided; as also your desire to know the humour of the man to come into 000, and what course were fit to be holden with him. First, 1 do subscribe to your opi	token count only (running text unreadable): p369:0;p370:0;p371:1	CCLXVIII.x2 CCXXV.x1 CLXIII.x1 CLXXVI.x1 CXLVII.x1 CXVIII.x2	England	M	'the man to come into 000' (Smallet to Walsingham, CLXXXVII); 'friends in 000', 'seek a wife in 000' (CXVIII); 'an ambassador into 000 to intreat her Majesty' (CCLXVIII). CSP p.371 has token 000. Settle: key
870	CLXXXVII (7 Apr 1583)	404	870	 hath had chief countenance and credit by and with Glen- carne, who commended him to 870, whose course and fortune he followeth. If he shall come hither, 1)1 shall readily c	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
870	CLXXXVII (7 Apr 1583)	405	8/0	 travail for his prey and deserve the same. His credit is to be preserved both with 8/0, and also with the con- federates here ; and therefore he shall do well to return h	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
91	CLXXXVII (7 Apr 1583)	405	91	. He may not acquaint any nobleman of his inwardness with you, for they will inform 91 immediately thereof. His service must needs be presented to these confederates, and c	token count only (running text unreadable): p369:0;p370:0;p371:3	CCLXII.x1 CCLXIV.x1 CCLXVII.x2 CCLXVIII.x1 CCXVII.x1 CCXXXI.x1 CCXXXII.x3 CCXXXVI.x7 CLXIII.x6 CLXXXIX.x3 CXLVI.x1 CXLVII.x1 CXXIx2	James VI, King of Scots	M	'223 shall be on his knees before 91 and council' (CCXXXVI, Gowrie's submission); 'offers to 91 and the lords' (CLXXXIX); 'advance 91 greatness' (CLXIII). CSP vi p.371 keeps 91 (x3, as Surtees). Settle: key
870	CLXXXVII (7 Apr 1583)	405	870	y to Manningvile, Huntley, Glencarne, and Mont- rosse, with especial commendations from 870. And his attendance in close manner must be diligent about them. He may not forget 	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
870	CLXXXVII (7 Apr 1583)	405	870	to offer himself to Mauvisier, and to bring his letters. Whiles he travaileth to win 870 to 32 devotion, he either dissembleth or is abused, knowing 870 to be so entangled 	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
32	CLXXXVII (7 Apr 1583)	405	32	 himself to Mauvisier, and to bring his letters. Whiles he travaileth to win 870 to 32 devotion, he either dissembleth or is abused, knowing 870 to be so entangled as he 	token count only (running text unreadable): p369:0;p370:0;p371:1	CCXL.x2 CCXXILx1 CCXXXVI.x6 CLXIII.x2 CLXXXIX.x1 CXCIVx1 CXVIII.x1	Queen Elizabeth / England	M	'win 870 to 32 devotion', 'the minister of 32' (CLXXXVII); 'betwixt 32 and him for the delivery of 0100 to 32' (CCXL); '32 hath shaken him off ... run headlong the course of France' (CCXXXVI). CSP p.371 keeps 32. Settle: key
870	CLXXXVII (7 Apr 1583)	405	870	he travaileth to win 870 to 32 devotion, he either dissembleth or is abused, knowing 870 to be so entangled as he cannot abandon 149, 19, 29, and 85. Therefore it is mete 	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
