line	pos	group	conf	note
f129_L01	1	[en diburez parler a leurs Achrs.s.r Royallex;]	C	"word before ""Royallex"" is abbreviated with superscript letters, tentatively ""Altesses"" (Royal Highnesses); exact letterforms uncertain"
f129_L01	2	7	H	
f129_L01	3	24	H	
f129_L01	4	7	H	
f129_L01	5	,	H	comma ends this short cipher run
f129_L01	6	3	H	
f129_L01	7	21	H	
f129_L02	1	2	H	
f129_L02	2	10	H	
f129_L02	3	_76	M	overline over both digits; 7 vs 9 ambiguous in this hand
f129_L02	4	_6	H	single digit with overline
f129_L02	5	56	H	
f129_L02	6	_28	H	
f129_L02	7	7	H	
f129_L02	8	20	H	
f129_L02	9	37	M	"could be ""27""; 2/3 ambiguous"
f129_L02	10	2	H	
f129_L02	11	_8	H	
f129_L02	12	18	H	
f129_L02	13	_4	H	
f129_L02	14	5	H	
f129_L02	15	62	H	
f129_L02	16	2	H	
f129_L02	17	36	H	
f129_L02	18	20	H	
f129_L02	19	73	H	
f129_L02	20	7	H	
f129_L03	1	_26	H	
f129_L03	2	16	H	
f129_L03	3	61	H	
f129_L03	4	20	H	
f129_L03	5	96	H	
f129_L03	6	_24	H	
f129_L03	7	_12	H	
f129_L03	8	18	H	
f129_L03	9	96	H	
f129_L03	10	60	H	
f129_L03	11	_26	H	
f129_L03	12	_12	H	
f129_L03	13	_21	H	
f129_L03	14	96	H	
f129_L03	15	.	M	small dot/point between groups, unclear if intentional mark or ink spot, not a digit
f129_L03	16	20	H	
f129_L03	17	_6	H	
f129_L03	18	16	H	
f129_L03	19	61	H	
f129_L03	20	20	H	
f129_L03	21	—	H	dash at end of line
f129_L04	1	15	H	
f129_L04	2	16	H	
f129_L04	3	15	H	
f129_L04	4	17	H	
f129_L04	5	_7	H	
f129_L04	6	21	H	
f129_L04	7	_21	H	
f129_L04	8	_13	H	
f129_L04	9	15	H	
f129_L04	10	19	H	
f129_L04	11	43	H	
f129_L04	12	21	H	
f129_L04	13	19	H	
f129_L04	14	96	H	
f129_L04	15	20	H	
f129_L04	16	19	H	
f129_L04	17	_11	H	
f129_L04	18	2	H	
f129_L04	19	20	H	
f129_L04	20	4	H	
f129_L04	21	60	M	followed by a period/dot, possibly line-end punctuation
f129_L05	1	15	H	
f129_L05	2	20	H	
f129_L05	3	4	H	
f129_L05	4	9	H	
f129_L05	5	20	H	
f129_L05	6	70	H	
f129_L05	7	_28	H	
f129_L05	8	15	H	
f129_L05	9	21	H	
f129_L05	10	_6	H	
f129_L05	11	60	H	
f129_L05	12	1	H	
f129_L05	13	41	H	
f129_L05	14	4	H	
f129_L05	15	_22	H	
f129_L05	16	24	H	
f129_L05	17	18	H	
f129_L05	18	39	H	
f129_L05	19	42	H	
f129_L05	20	16	H	
f129_L05	21	10	H	
f129_L06	1	6	H	
f129_L06	2	61	H	
f129_L06	3	18	H	
f129_L06	4	3	H	
f129_L06	5	_17	M	"digit pair under overline uncertain, could be ""_13"""
f129_L06	6	15	H	
f129_L06	7	19	H	
f129_L06	8	96	H	
f129_L06	9	60	H	
f129_L06	10	66	H	
f129_L06	11	_11	H	
f129_L06	12	18	H	
f129_L06	13	2	H	
f129_L06	14	20	H	
f129_L06	15	19	H	
f129_L06	16	23	H	
f129_L06	17	64	H	
f129_L06	18	20	H	
f129_L06	19	_17	M	"same ambiguity, could be ""_13"""
f129_L06	20	13	H	
f129_L06	21	_10	H	
f129_L07	1	18	H	
f129_L07	2	96	M	"could be ""26"", 9/2 ambiguous"
f129_L07	3	_6	M	"could be ""_5"""
f129_L07	4	7	H	
f129_L07	5	_0	M	"single digit ""0"" with overline, unusual code"
f129_L07	6	20	H	
f129_L07	7	_16	H	
f129_L07	8	,	H	
f129_L07	9	2	H	
f129_L07	10	19	H	
f129_L07	11	6	H	
f129_L07	12	115	M	unusual 3-digit cipher group
f129_L07	13	_6	M	the two segment crops disagreed on whether this is barred
f129_L07	14	_13	H	
f129_L07	15	15	H	
f129_L07	16	19	H	
f129_L07	17	2	H	
f129_L07	18	18	H	
f129_L07	19	154	M	unusual 3-digit cipher group
f129_L07	20	_1	H	
f129_L07	21	18	H	
f129_L07	22	_6	H	
f129_L07	23	2	H	
f129_L07	24	—	H	
f129_L08	1	96	H	
f129_L08	2	_6	M	"could be a two-digit ""_16"""
f129_L08	3	_11	H	
f129_L08	4	_22	H	
f129_L08	5	_11	H	
f129_L08	6	21	H	
f129_L08	7	99	H	
f129_L08	8	65	H	
f129_L08	9	72	H	
f129_L08	10	2	H	
f129_L08	11	66	H	
f129_L08	12	18	H	
f129_L08	13	19	H	
f129_L08	14	96	H	
f129_L08	15	20	H	
f129_L08	16	61	M	"could be two single-digit tokens ""6"" ""1"""
f129_L08	17	40	H	
f129_L08	18	15	H	
f129_L08	19	_11	H	
f129_L08	20	20	H	
f129_L08	21	—	H	
f129_L09	1	[parceque Sil pouvoit estre]	C	
f129_L09	2	4	H	
f129_L09	3	_10	H	
f129_L09	4	15	M	"followed by a small raised dot before next group ""18"""
f129_L09	5	18	H	
f129_L09	6	19	H	
f129_L09	7	_7	H	
f129_L09	8	16	H	
f129_L09	9	6	H	
f129_L09	10	21	H	
f129_L09	11	_12	H	
f129_L09	12	25	H	
f129_L09	13	20	H	
f129_L09	14	19	H	
f129_L10	1	7	H	
f129_L10	2	18	H	
f129_L10	3	16	H	
f129_L10	4	17	H	
f129_L10	5	5	H	
f129_L10	6	60	H	
f129_L10	7	5	H	
f129_L10	8	61	H	
f129_L10	9	4	M	"written tight against following comma+""50"", ""4,50"""
