row title	field	was	now	evidence
Eckert 1864: two telegrams, Fox to Butler and Meigs to Butler	grade	N3, two audits; N4 pending	ok	ciphers/eckert-1864/AUDIT.md:369 (second audit N3); :683 (N4 decision: stays N3)
Eckert 1864: two telegrams, Fox to Butler and Meigs to Butler	kind	solve	ok (N3 after two audits)	ciphers/eckert-1864/AUDIT.md:363
Eckert 1864: two telegrams, Fox to Butler and Meigs to Butler	line	...and 33 Google Books queries print neither telegram	...and Google Books phrase searches print neither telegram (count 33 not found in AUDIT.md; second audit logs 15 phrase queries); 96 percent and 13 volumes verified	ciphers/eckert-1864/NOTES.md:229-230; ciphers/eckert-1864/AUDIT.md:373
Eckert 1864: two telegrams, Fox to Butler and Meigs to Butler	gap	HathiTrust full text and the JSTOR rows; the Meigs letterbooks ... nobody has read	Zooniverse Talk subject comments (ASKS row 27) is the one N4 gap; HathiTrust/JSTOR/Meigs ruled not principal for N4	ciphers/eckert-1864/AUDIT.md:683-688 and family table
Eckert 1864: twenty ledger entries read from cipher book mssEC 41	grade	H 20 of 20; 17 N1, 1 N1 (Lincoln), 2 N3	ok	ciphers/eckert-1864/AUDIT.md:11-24; NOTES.md:106
Montagu to Thurloe, 20 Apr-29 May 1656	grade/line	N0; 248 group values; consistent with Tomokiyo	ok (dataset kind, N0, safe sentence followed)	ciphers/thurloe-printed/AUDIT.md:22,29-32
Robert Bowes to Walsingham, 1583, eleven cipher fragments	grade	N1, F2	ok	ciphers/bowes-walsingham-1583/AUDIT.md:19
Robert Bowes to Walsingham, 1583, eleven cipher fragments	line	No key or mapping of this cipher had been published.	No earlier sign-level key was found in the sources listed in AUDIT.md; the plaintext has been in print since 1842.	ciphers/bowes-walsingham-1583/AUDIT.md:16 (key: search-level only),23-27 (safe sentence)
Bowes 1583 sign table sent to S. Tomokiyo	grade	F2, sent	ok	CONTRIBUTIONS.md:8
Eckert keys, 23 checked readings ... offered to the Huntington Library	grade/line	offered, reply pending; 1862 readings N1	ok (ten 1862 readings N1 confirmed; '23 checked readings' is the title as offered, not re-derived)	ciphers/eckert-1862/AUDIT.md:1-21
Whitworth to Harley 1707-08	line	four of five in print (Sbornik 39, 50) or same volume; one clause of f.108 unread	ok	ciphers/whitworth-1707/NOTES.md:3-6,46-60
Seven queue rows shown solved or printed years ago	line	Diffed against fresh clones of both solver repositories (tools/solver_repo_diff.py).	Four by the solver-repo diff; Randolph by decrypted sibling f.278; Charles I to Rupert and Pallotto by check-solved	QUEUE.md:1063,1072,1119-1122; QUEUE.md:167
Seven queue rows shown solved or printed years ago	catch citations	Randolph, Rupert, Boswell, Goring, Sadler/Croft 1559, Anne 1711, Pallotto	ok (each row names its print/solve source; Sadler is Cecil to Sadler and Croft 1559, printed Clifford 1809)	QUEUE.md:1063,1072,1119,1120,1121,1122; ciphers/pallotto-1628/NOTES.md:1
Colbert 369, Dupuy 111, 1722 intercepts (SP 35), Erving 1807 (English items only)	catch citations	found-solved	ok: 1722 Reports from Committees vol.1 App. H pp.329-330; Erving: Founders Online Madison 99-01-02-1993 (Erving caught 21 Sept, row dated 23 Sept)	ciphers/sp35-intercepts-1722/NOTES.md:1; ciphers/erving-1807/NOTES.md:3; QUEUE.md:1064,1071
Thurloe State Papers: 23 letters printed with their cipher groups	title	none in any list, five with reconstructed keys	distinct from the catalogued pieces, five in ciphers Tomokiyo reconstructed (Thurloe cipher is Cryptiana item #9 and cyphersolver thurloe/)	sources/ia-fulltext/NOTES.md:76-77; status.json log 'Second batch reported'
Thurloe State Papers: 23 letters printed with their cipher groups	grade	lane opened	22 N0, P4 N3 (AUDIT.md)	ciphers/thurloe-printed/AUDIT.md:22,130-143,257-260,339
Thurloe State Papers: 23 letters printed with their cipher groups	line	Found by the printed-ciphertext detector over 274 editions (controls 2 of 2).	+ verifier found Birch's printed decipherment for 22 of 23 (N0); P3 postscript, 14 groups of P10 unglossed; P4 N3 one audit	ciphers/thurloe-printed/NOTES.md:1-17; AUDIT.md:339,362
Thurloe State Papers (Birch 1742): 14 cipher letters	grade	N0	N0 (P3 body only; its postscript is open)	ciphers/thurloe-printed/AUDIT.md:131
Cotton MS Tudor cluster (N40)	title	5 of 14 volumes already read	4 of 14 volumes with a cipher item already read	ciphers/cotton-tudor-cluster/NOTES.md:113-115 ('4 show at least one cipher item already read'); :35 (Galba B VII cipher content not confirmed)
Cotton MS Tudor cluster (N40)	line	Check-solved batch B; 9 volumes unchecked; ...	adds: Galba B VII calendared, cipher content not confirmed	ciphers/cotton-tudor-cluster/NOTES.md:35
Cotton Galba B IV (N40 cluster)	title	six cipher items	at least six cipher items	ciphers/cotton-tudor-cluster/NOTES.md:88,121
Cotton Galba B IV (N40 cluster)	line	6 of 14 Cotton volumes now closed; 4 unresolved.	5 of 14 with a cipher item already read (Galba B VII calendared only); B II, F VI negative; B XIII a lead; 5 unresolved; item 2673 unread	ciphers/cotton-tudor-cluster/NOTES.md:113-115,120-129
Palavicino to Burghley 1590 with key	catch citation	described in Stone 1956	ok (Stone 1956 names SP 81/6/125 and describes the key; F1-leaning)	ciphers/sp81-palavicino-1590/NOTES.md:17-18,40-50,96-98
Catalogue sweeps outside DECODE: Kalliope, Huntington and Lambeth	line	U1 has deciphered siblings in the same Huntington collection	ok	QUEUE.md:781
Check-solved on 14 non-Gallica rows	line	U2 Blathwayt has French decipherments beside six sibling cipher items	ok (6 of 10 per OAC finding aid); '10 open of 14' not re-derived	ROOM.md:382 (batch D done)
