code	occurrence	cipher_context	decoded_context (key_full 1-120)	groen_words_at_place	value	grade	evidence
172	05801_p5_L01/L02 (ciphertext_5801 p5_L02 pos 4; image: bottom line of p5_L01)	Touschant ce q[ue] 84.37.28.172.132.129.62.37.82.80 ...73.157	vous [172] [nul][nul] a u e ... a u e c [157]	"Touschant ce que vous, Monsieur le Conte Louys de Nassau, avés traité avec Colognie"	le Conte Louis de Nassau	H	contemporary interlinear gloss "le conte Louis de nassau" written over 172 (ax2_5801/crops/05801_p5_L01L02_172_join.jpg); print C agrees
172	05801_p1_L03 pos 21	...78.89.=4.172.1?.110	(unglossed; paragraph 1 of Groen has no name at this place)	"...qu'avez à ceste cause commune qui touche la Chrestienneté" (no name)	undecided (middle digit 7 or 5; no gloss)	M	ax2_5801/crops/05801_p1_L03_172.jpg
172	05801_p1_L04 pos 53	82.29.124.79.37.27.172.190.109	e t [nul] e m p l o i e s? d u s [172]	"employer tous moyens possibles" (no name)	not checked on image (box); no name in print here	M	transcription only
172	05801_p3_L01 pos 79	=que 59.132.191.126.129.[132]	--	"que s'il ne vueillent [se] contenter" (no name)	transcription error: image reads 132 (NULL), not 172	I	images_wv2/crops_comp/05801_p3_L01.jpg, line "Que s'il 59.132.191.126.129.132."
172	05801_p3_L04 pos 81	140.121.75.26.30.172.82.27.103.30	c ha s [172] que s i x a i n e	"à chasque sixaine" (no name)	NULL here (no gloss; sits inside 'chas|que', gloss 'que' is over 82)	M	ax2_5801/crops/05801_p3_L04_172.jpg
172	05801_p3_L07 pos 22	...102.114.67.[132] / 9.91.2.6	-- re c o g n o i s t r e	"il recognoistre la place" (no name)	transcription error: image reads 132 at line end	I	ax2_5801/crops/05801_p3_L07_top132.jpg
172	05801_p3_L07 pos 98	87.103.3.62.41.2.81.172 / 27.7.37...	f i n que l un e [172] s o u s...	"affin que l'une soustienne l'aultre" (no name)	NULL here (no gloss; 81 glossed 'e')	M	ax2_5801/crops/05801_p3_L07_172.jpg
172	05801_p5_L08 pos 21	102.29.42.7.113.62.172.140 / 27.62.34.64.25.12	...s fo is ... [172][140] r e t a r de	"sans toutesfois que cela retarde le secours de Harlem" (no name)	NULL here (no gloss)	M	ax2_5801/crops/05801_p5_L08_172.jpg
172	05801_p5_L08 pos 79	(duplicate segment in the reconciled draft: same "toutesfois ... 172" run re-emitted)	--	--	same sign as pos 21, not a second occurrence	I	images_wv2/crops_comp/05801_p5_L08.jpg shows one 172 on the line
192	05801_p5_L03 pos 90	63.37.83.72.192.27.[..]	a u e c [192] s u r a u l c u n s	"traicter avec le Roy de France sur aulcuns points contenant la paix"	le Roy de France	H	contemporary gloss "le Roi de France" over 192 (ax2_5801/crops/05801_p5_L03_192b.jpg); print C
192	05801_p5_L05 last line	...29.77.37.192.12...	...d o u c i r ... du [192]	"adoucir le coeur du Roy de France"	le Roy de France	H	contemporary gloss "Roi de France" over 192 (images_wv2/crops_comp/05801_p5_L05.jpg, bottom line); print C
192	05801_p5_L03 pos 17	=faire 192.121 / 114.81.132.190...22.12.223	faire [192][nul] le ve r le sie ge de Harlem	"pour faire lever le siège de Harlem" (no name)	NULL here (no gloss; digit may be 142)	M	ax2_5801/crops/05801_p5_L03_192a.jpg
192	05801_p1_L06 pos 13; 05801_p2_L02 pos 82	(p1/p2 below the transcription gate; not checked on image)	--	no Roy de France / Roi d'Espagne named in Groen pp.129-130	undecided	M	transcription only
202	05801_p5_L03 pos 68	=France 202.13.7.39.25	[202] p o u r	"J'ay envoyé Monsr de Lumbres en France pour traicter"	France	H	contemporary gloss "France" over 202 (images_wv2/crops_comp/05801_p5_L03.jpg); print C
202	05801_p5_L05 line 2 start	202.82.27.72.88.32.83.63.36.200	[202] e s c r i t a u [200]	"résidant en France, escrit au Duc d'Alba"	France	H	contemporary gloss "France" over 202 (images_wv2/crops_comp/05801_p5_L05.jpg); print C
200	05801_p5_L05 pos 32	63.36.200.142.150 Dont	a u [200] [nul][nul] Dont	"escrit au Duc d'Alba, dont je vous ay envoyé"	le Duc d'Alba	H	contemporary gloss "Duc d'Alba" over 200; print C
203	05801_p5_L05 line 1	...12.203.132.190.67.73...	d' [203] ... r e s i d...	"l'ambassadeur d'Espagne résidant en France"	Espagne	C	print only; gloss above 203 is cut off at the crop's top edge
223	05801_p1_L02 pos 57; p5_L03 pos 36; p5_L08 pos 47	...22.12.223 pour...; 80.81.223 A tant	sie ge de [223]; de [223]	"siège de Harlem"; "le secours de Harlem. A tant"	Harlem	H	contemporary gloss "Harlem" over 223 (p5_L03, p5_L08, p1_L02); print C
312	05801_p1_L02 pos 55	=Ville =de =Harlem 84.312.12.223	[84][312] de [223]	"la povre ville de Harlem"	ville	C	gloss "Ville de Harlem" over 312.12.223 (12 = de in key_full); p2 occurrences not checked
331	05801_p5_L04 pos 53	...82.29.32.82 331 prenant fondement	e n c e s t e [331]	"assister en ceste guerre, prenant foundement"	guerre	H	contemporary gloss "guerre" over 331 (images_wv2/crops_comp/05801_p5_L04.jpg); print C
157	05801_p5_L02 pos 21	63.38.83.73.157.132.129	a u e c [157]	"avés traité avec Colognie"	Colognie	H	contemporary gloss "Colognie" over 157; print C
199	05801_p5_L01 pos 25	47.27.132.47.12.199.125.132	me s me de [199]	"mesme de la Royne d'Angleterre"	la Royne d'Angleterre	C	print; gloss over 47.12.199 reads "me de ... d'angleterre" (not zoomed); 199 at p5_L03 pos 75 unglossed (NULL-like)
