line	position	token	kind	gloss	grade	note
01	1	6	digit		H	"stamp (BnF ownership seal) and archival numbers ""2429""/""fol.1""/""3"" in upper margin skipped per instructions; faint pencil marks near x~850-950 also skipped as non-cipher"
01	2	S13	sign	?	H	plus/cross mark; tiny gloss mark above illegible
01	3	12	digit		H	"written as ""1"" + z-curl (digit 2)"
01	4	S79	sign		H	y-shape
01	5	73	digit		H
01	6	S34	sign	?	H	Ao ligature; tiny gloss mark above illegible
01	7	|	divider		M	drawn as short horizontal double-dash (not vertical/slanted); recurring separator, distinct from the true vertical/slanted bar strokes also seen in this line
01	8	6	digit		H
01	9	9	digit		H
01	10	16	digit		H
01	11	10	digit		H
01	12	4	digit		H
01	13	S27	sign	?	H	tall doubled long-s with crossbar (ff); tiny gloss dash above illegible
01	14	6	digit	?	H	small double-dot mark above, illegible as a letter
01	15	|	divider		M	same horizontal double-dash mark as position 7
01	16	5	digit		H
01	17	|	divider		H	true bold vertical/slanted divider stroke
01	18	5	digit		H
01	19	16	digit	?	H	small mark above, illegible
01	20	S40	sign	?	M	ornate hooked entry-stroke rising into n-shape whose right leg closes into a loop, small dot after; tentative match, low confidence
01	21	6	digit	?	H	double-dot mark above, illegible
01	22	|	divider		M	same horizontal double-dash mark as position 7
01	23	X?	X?		M	"bold capital V joined by continuous stroke to a swirling closed loop (beta/long-s-like); no confident atlas match, closest candidates S51/S39; a small cursive marginal annotation reading roughly ""qual s[?]a"" sits above this area in a larger, more fluent hand than the digit-glosses -- not transcribed as a token, possibly a later reader's note"
01	24	|	divider		H	true bold vertical divider stroke
01	25	12	digit		H
01	26	X?	X?		M	"small cursive lowercase ""a"" with a trailing comma-like flourish, at main baseline size; no exact atlas match"
01	27	S44	sign		H	p-like loop with crossed stem
01	28	S21	sign		M	hooked ascender with tail; tentative match
01	29	05	digit		H	"0 and ""5"" written joined"
01	30	|	divider		M	same horizontal double-dash mark as position 7
01	31	6	digit		H	last token before right edge of leaf
02	1	|	divider	m	H	true bold vertical divider; top of crop shows bottom sliver of line01's stamp curve, not transcribed
02	2	S29	sign	?	M	three minims (uu)
02	3	|	divider		M	horizontal double-dash style divider (as line01)
02	4	6	digit	c	H
02	5	S13	sign		H	plus/cross mark
02	6	9	digit	?	H
02	7	S69	sign		H	capital A with hooked v (Av)
02	8	X?	X?		M	hooked ascender ('b'/'6'-like) + o + large hooked n/omega-loop with trailing dot, continuous ligature; no confident atlas match, cf. S47/S40
02	9	|	divider		M	horizontal double-dash style divider
02	10	6	digit		H
02	11	|	divider	?	H	true bold vertical divider; small mark above resembling a numeral, uncertain as a gloss letter
02	12	10	digit	u	H
02	13	|	divider		M	horizontal double-dash style divider
02	14	|	divider	u	H	true bold vertical divider
02	15	S79	sign		M	y-shape
02	16	64	digit	?	H	small mark above, illegible
02	17	S30	sign		M	c-hook joined to na
02	18	6	digit		H
02	19	S19	sign		M	small plain circle, distinct in size/shape from the numeral 0 seen elsewhere
02	20	|	divider	?	M	horizontal double-dash style divider; tiny double-dot mark above
02	21	6	digit	?	H
02	22	S28	sign		M	c-hook joined to m, with extra trailing loops (uio-like) beyond the core atlas shape
02	23	104	digit	u	H
02	24	|	divider		H	true bold vertical divider
02	25	S44	sign		H	p-like loop with crossed stem
02	26	12	digit		H	last token before right edge of leaf
03	1	X?	X?		M	tall looped ascender crossed by a diagonal stroke resembling numeral 4; possibly a sign+digit pair, ambiguous; top of crop shows sliver of line02, not transcribed
03	2	22	digit		H	"written as ""2"" + z-curl"
03	3	|	divider		H	true bold vertical divider
03	4	S34	sign	z	H	Ao ligature
03	5	|	divider		M	horizontal double-dash style divider
03	6	64	digit		H
03	7	S63	sign		M	vertical stroke with crossed tick near top and closed loop at bottom; tentative q-like match
03	8	X?	X?		M	loop with hooked descender resembling a stylised 9; no confident atlas match
03	9	|	divider		M	horizontal double-dash style divider
03	10	11	digit	n	H
03	11	61	digit		M	"digit boundary uncertain, may be ""6"" ""1"" separate"
03	12	|	divider		H	true bold vertical divider
03	13	9	digit		M	read as separate single-digit tokens with small gaps; boundary uncertain
03	14	5	digit		M	see note above
03	15	1	digit		M	see note above
03	16	6	digit		M	see note above
03	17	9	digit		M	see note above
03	18	X?	X?		M	bold V/loop ligature similar to line01 pos.23/line02 pos.8, tail curling into an S-shape; no confident atlas match
03	19	|	divider		H	true bold vertical divider
03	20	S13	sign		M	plus/cross mark, low confidence at this resolution
03	21	9	digit	o	M
03	22	X?	X?		M	small n-shape, low confidence
03	23	X?	X?		M	swirl ('S') closing into 'o' then a small loop ('9'); ligature, no confident atlas match
03	24	|	divider		M
03	25	5	digit		M
03	26	|	divider		H	true bold vertical divider
03	27	1	digit		M
03	28	4	digit		H
03	29	S44	sign		H	p-like loop with crossed stem
03	30	12	digit	z	H
03	31	S34	sign		H	Ao ligature
03	32	16	digit		H	last token before right edge of leaf
04	1	X?	X?		M	bold X/cross joined to a vertical p-loop-over-8 ligature; no confident atlas match, low confidence overall for this line's dense mid-section
04	2	|	divider		M	horizontal double-dash style divider
04	3	S30	sign	d	M	c-hook joined to na
04	4	104	digit	u	H
04	5	|	divider	z	M	horizontal double-dash style divider
04	6	6	digit		H
04	7	S13	sign		M	plus/cross mark
04	8	|	divider		H	true bold vertical divider
04	9	S40	sign		M	ornate hooked n/omega-loop shape (cf. line01 pos.20); tentative
04	10	5	digit		H
04	11	16	digit		H
04	12	S54	sign		M	f with a closed loop
04	13	0	digit		M	round shape, could be sign S19 instead of digit 0
