line	pos	code	marks	source	reason
1	7	S7		split	A=_ B=S7 C=+; C note: 
1	8	w		BC	A=_ B=w C=w; C note: lead-in stroke + w body + tail, matches w atlas
1	9	y		BC	A=_ B=y C=y; C note: cursive y with looped tail
1	10	lam		BC	A=_ B=lam C=lam; C note: two strokes meeting at top, lambda-like; adjacent stroke is context
1	11	wd	~	BC	A=_ B=wd C=wd; C note: w-body with tall right stroke, matches wd; squiggle above likely neighbor context
1	20	psi		split	A=_ B=psi C=y; C note: cursive y with looped tail
1	21	e	+	BC	A=_ B=e C=e; C note: looped e bowl with single-cross mark above
2	11	e	#	BC	A=_ B=e C=e; C note: looped e bowl with double-cross mark above
2	12	g	7	BC	A=bh B=g C=g; C note: 9/g loop+tail shape; curled stroke above resembles s/5 hook mark
2	22	w		BC	A=_ B=w C=w; C note: lead-in stroke + w body, tail at right edge
3	23	o.		BC	A=_ B=o. C=o.; C note: ring with dot inside, unmistakable
3	24	g	3	split	A=_ B=g C=eps; C note: two stacked open bowls, epsilon-like; curled mark above resembles s/5 hook
3	27	e		split	A=g B=e C=p; C note: loop at top with crossed stem, matches p; e bowl at left is neighbor context
4	4	p		BC	A=y B=p C=p; C note: loop top, crossed stem descending; dots to left are context, not marks
4	5	_		BC	A=w B=_ C=_; C note: plain script "ques", legible Latin letters
4	11	p		BC	A=y B=p C=p; C note: loop top, crossed stem, matches p closely, same shape as line4 pos4
4	12	g		BC	A=_ B=g C=g; C note: loop with long looping descender tail, classic g shape
4	20	N		BC	A=_ B=N C=N; C note: cursive N with fancy loops, matches N atlas
5	6	_	dot	AC	A=_ B=S C=_; C note: plain script "nsc", legible Latin letters
5	10	_		BC	A=lam B=_ C=_; C note: isolated short diagonal stroke with dot at top, no clear sign body, ambiguous/blank
5	12	S	dot	BC	A=_ B=S C=S; C note: S-shaped stroke at bottom of crop; ligature above is context bleed from adjacent line
5	18	e	dot|+	BC	A=_ B=e C=e; C note: open looped bowl, e-like; dots below are context, not marks
5	19	L		split	A=_ B=L C=U; C note: square cup open at top, clean U shape
6	1	sq		BC	A=Z B=sq C=sq; C note: closed square box, clear
6	28	_		BC	A=y B=_ C=_; C note: plain script capital "Av", legible Latin letters
