letter	code	kind	grade	crop	note
A	12	digit	H	atlas/key_cells/alpha_A.jpg	row 1
A	14	digit	H	atlas/key_cells/alpha_A.jpg	row 2
A	16	void	H	atlas/key_cells/alpha_A.jpg	row 3, struck through in ink on p57 and p69: cancelled, not a live homophone
A	28	digit	H	atlas/key_cells/alpha_A.jpg	row 4
B	S01	sign	H	atlas/key_cells/alpha_B.jpg	row 1, ornate N-like sign; same on p69
B	3	digit	H	atlas/key_cells/alpha_B.jpg	row 2
C	9	digit	H	atlas/key_cells/alpha_C.jpg	single homophone
D	5	digit	M	atlas/key_cells/alpha_D.jpg	an s-form 5, same shape as L's row-2 '5' (the blind cross-read saw only a hook squiggle); one digit for two letters is a conflict in the key as drawn, not resolved; p69 cell blotted
E	26	digit	H	atlas/key_cells/alpha_E.jpg	row 1
E	16	digit	H	atlas/key_cells/alpha_E.jpg	row 2 (not A's struck 16)
E	62	digit	H	atlas/key_cells/alpha_E.jpg	row 3
F	S02	sign	H	atlas/key_cells/alpha_F.jpg	crossed x joined to t ('xt'); S02 re-cropped this session, the ZX-349 crop showed G's header instead
G	S03	sign	H	atlas/key_cells/alpha_G.jpg	e-like loop with long tail
H	17	digit	H	atlas/key_cells/alpha_H.jpg	single homophone, directly under the H header; p69 same
I	60	digit	H	atlas/key_cells/alpha_I.jpg	row 1
I	64	digit	H	atlas/key_cells/alpha_I.jpg	row 2
I	24	digit	H	atlas/key_cells/alpha_I.jpg	row 3
L	S27	sign	H	atlas/key_cells/alpha_L.jpg	row 1, tall doubled long-s with crossbar
L	5	digit	H	atlas/key_cells/alpha_L.jpg	row 2, clear s-form 5 between the S27 descenders; see D
M	S28	sign	H	atlas/key_cells/alpha_M.jpg	row 1, c-hook + m
M	S29	sign	M	atlas/key_cells/alpha_M.jpg	row 2, three-minim 'uu' sign; p69 reads 'uu' too
N	S30	sign	H	atlas/key_cells/alpha_N.jpg	row 1, c-hook + 'ma'/'na'
N	15	digit	H	atlas/key_cells/alpha_N.jpg	row 2
O	82	digit	H	atlas/key_cells/alpha_O.jpg	row 1
O	44	digit	H	atlas/key_cells/alpha_O.jpg	row 2; p69 has a struck number (18?) between 82 and 44
P	S31	sign	H	atlas/key_cells/alpha_P.jpg	circle over a cross
Q	S32	sign	H	atlas/key_cells/alpha_Q.jpg	y-like sign with left hook
R	S33	sign	H	atlas/key_cells/alpha_R.jpg	row 1, R-like loop with two legs; the header's flourish runs into it
R	S34	sign	H	atlas/key_cells/alpha_R.jpg	row 2, capital A joined to small o ('Ao'); YX-TR349/ZX-349B read this cell as part of a 'to' cluster
S	S35	sign	M	atlas/key_cells/alpha_S.jpg	row 1, long s + small s
S	S36	sign	M	atlas/key_cells/alpha_S.jpg	row 2, x drawn across the long descender of S35; p69 shows the same x; the blind cross-read saw S35+S36 as ONE tall crossed sign -- one or two homophones is open
T	S37	sign	H	atlas/key_cells/alpha_T.jpg	row 1, crossed t + o ('to')
T	S38	sign	M	atlas/key_cells/alpha_T.jpg	row 2, crossed t + c with a tick ('tc')
V	102	digit	H	atlas/key_cells/alpha_V.jpg	row 1
V	7	digit	H	atlas/key_cells/alpha_V.jpg	row 2; a second small 7 written above it (correction or confirmation); p69 has a struck number here and 7 below
V	104	digit	H	atlas/key_cells/alpha_V.jpg	row 3
X	S39	sign	H	atlas/key_cells/alpha_X.jpg	d-loop joined to long s
Y	73	digit	H	atlas/key_cells/alpha_Y.jpg	single homophone
Z	S40	sign	H	atlas/key_cells/alpha_Z.jpg	n with a closing loop (reversed-omega)
&	S04	sign	H	atlas/key_cells/alpha_amp.jpg	row 1, hash of two by two strokes
&	S05	sign	M	atlas/key_cells/alpha_amp.jpg	row 2, a-like squiggle with tail
DOUBLES:sc?	22	digit	M	atlas/key_cells/dbl_sc.jpg	digit H; the pair is a long-s/p-like letter + c, read sc or pc; 22 is also the code of 'pour' (Monosillabes)
DOUBLES:cc	18	digit	H	atlas/key_cells/dbl_cc.jpg	
DOUBLES:ff	66	digit	H	atlas/key_cells/dbl_ff.jpg	tall doubled f
DOUBLES:ll	69	digit	H	atlas/key_cells/dbl_ll.jpg	
DOUBLES:mm	76	digit	H	atlas/key_cells/dbl_mm.jpg	
DOUBLES:nn	106	digit	H	atlas/key_cells/dbl_nn.jpg	
DOUBLES:pp	52	digit	H	atlas/key_cells/dbl_pp.jpg	
DOUBLES:rr	56	digit	M	atlas/key_cells/dbl_rr.jpg	digit H; pair read rr (round r twice); YX-TR349 had qq
DOUBLES:ss(long)	54	digit	M	atlas/key_cells/dbl_ss_long.jpg	digit H; tall doubled long s, the second 'ff'-like column of YX-TR349
DOUBLES:tt	58	digit	H	atlas/key_cells/dbl_tt.jpg	YX-TR349 had st
DOUBLES:ss(round)	9	digit	M	atlas/key_cells/dbl_ss_round.jpg	digit read 9 (H on p57 and p69); pair drawn as two round/sigma s; 9 is also C's code
NULLES:1	S06	sign	H	atlas/key_cells/nulles_1.jpg	row 1; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:2	S07	sign	H	atlas/key_cells/nulles_2.jpg	row 1; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:3	S08	sign	H	atlas/key_cells/nulles_3.jpg	row 1; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:4	S09	sign	H	atlas/key_cells/nulles_4.jpg	row 1; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:5	S10	sign	H	atlas/key_cells/nulles_5.jpg	row 1; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:6	S41	sign	H	atlas/key_cells/nulles_6.jpg	row 2, capital A + minims, 'Auore'-like word shape; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:7	S42	sign	H	atlas/key_cells/nulles_7.jpg	row 2, doubled looped S; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:8	S43	sign	H	atlas/key_cells/nulles_8.jpg	row 2, 'or'/'cr'-like; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
NULLES:9	S44	sign	H	atlas/key_cells/nulles_9.jpg	row 2, p-like loop crossed on its stem; heading p57 'Pour ... suivante sont ca pa[r]de[ssus?] nulle'; p69 'Pour lire suivante: sont la precedente nulle.' (M on the wording) -- value null either way
