cipher_line	anchor	plain_found	dist
05801_p1_L02	villedeharlem	villedeharlem	0
05801_p1_L06	singularisment	singulirement	3
05801_p1_L08	longtemps	longtemps	0
05801_p2_L02	quedieuquilsayentraisonsiaultrequilsneconsiderentpointquoy	quoyoresquilzayentraisonsiestcequeneconsidrentpointqu	16
05801_p2_L04	alemaigne	llemagne	2
05801_p2_L05	etparamypourrons	etparainsypolrons	5
05801_p2_L06	lafinaloriepar	lacavaleriepar	4
05801_p3_L02	contracter	contracter	0
05801_p3_L07	cavalerie	cavallerie	1
05801_p4_L06	seroitunechosefortnecessaireetcauser	seroitunechosefortncessairecause	4
05801_p4_L09	principallementprincipalemt	principalementmaintenant	9
05801_p5_L02	jesuisendemandeestoitetestatoudequoyilplusparticulierementquelleseranostreresolution	jesuisengrandattenteetdsirdesavoirplusparticulirementquelleenauraestlarsolution	29
05801_p5_L04	contenantselapaix	contenantlapaix	2
05801_p5_L04	prenantfondementsur	prenantfoundementsur	1
