nr	line	col	sign	confidence	why
4611	p2_L36	1	[blank]	H	image: crop images/04611_p2_L36.jpg is the archive footer/URL stamp (A 11/XIV D/13a, resources.huygens.knaw.nl/.../brief/4611), not manuscript text; A correctly saw nothing, B's 19 numerals + word are fabricated (R20, 24 Sept 2026)
4611	p2_L36	2	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	3	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	4	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	5	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	6	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	7	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	8	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	9	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	10	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	11	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	12	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	13	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	14	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	15	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	16	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	17	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	18	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	19	[blank]	H	image: archive footer stamp, not manuscript text (R20)
4611	p2_L36	20	[blank]	H	image: archive footer stamp, not manuscript text; both passes already agreed here (R20)
