line	pos	group	conf	alt	note
p2L6	1	7	H		
p2L6	2	8	H		
p2L6	3	2^	M	B:2	digit majority 2, mark disputed
p2L6	4	11	H		
p2L6	5	10	M	B:10^	digit majority 10, mark disputed
p2L6	6	19	H		
p2L6	7	14	H		
p2L6	8	12	H		
p2L6	9	9~	M	B:9	digit majority 9, mark disputed
p2L7	1	3	H		
p2L7	2	07	H		
p2L7	3	4	H		
p2L7	4	14~	H		
p2L7	5	4^	H		
p2L7	6	8	H		
p2L7	7	11	H		
p2L7	8	2^	M	B:2	digit majority 2, mark disputed
p2L7	9	4	H		
p2L7	10	07	H		
p2L7	11	11	H		
p2L7	12	24	H		WC-LAGARDE 26 Sept 2026: settled 24 (crop clearly shows two-digit 24, not a bare 4) -- agrees with OX-LAG's independent GSME print-edition cross-check (25 Sept 2026) -- images/crops_wc/6467p2_run1_overview.png
p2L7	13	3	H		
p2L7	14	9~	M	B:9	digit majority 9, mark disputed
p2L8	1	2^	M	B:2	digit majority 2, mark disputed
p2L8	2	17^	H		
p2L8	3	5	H		
p2L8	4	11	H		
p2L10	1	10	H		
p2L10	2	8^	M	B:8	digit majority 8, mark disputed
p2L10	3	2	H		
p2L10	4	10	H		
p2L10	5	5	H		
p2L10	6	7^	M	B:7	digit majority 7, mark disputed
p2L11	1	9	H		
p2L11	2	07	H		
p2L11	3	4	H		
p2L11	4	10^	H		
p2L11	5	8^	H		
p2L11	6	9	H		
p2L11	7	07	M		only A read this line
p2L11	8	[mark]	M	B:07~~	confirmed on images/06467_p2.png (L4): a separate mark follows the second 07, matching A's split over L1's merged 07~~
p2L11	9	4	H		
p2L11	10	7	H		
p2L11	11	1	H		
p2L11	12	3^	H		WC-LAGARDE 26 Sept 2026: settled 3^ (crop clearly shows an overlined 3, the loop opens downward-right unlike 5's upper hook) -- agrees with OX-LAG's independent GSME print-edition cross-check (25 Sept 2026) -- images/crops_wc/6467p2_L11_pos12_final.png
p2L11	13	12	H		
