line	position	sign	confidence	alt	why
p1_L01	1	=Du	H	=du	settled-case-only
p1_L01	2	=m	M		agree-flagged
p1_L01	3	=jour	H	=Jour	settled-case-only
p1_L01	4	=de	H		agree
p1_L01	5	=iung	M	B:=Juing	differ
p1_L01	6	1573	H		agree
p1_L01	7	=duplicata	H	=Duplicata	settled-case-only
p1_L02	1	=Il	H	=il	settled-case-only
p1_L02	2	=fault	H		agree
p1_L02	3	=que	H		agree
p1_L02	4	=on	M	B:=me	differ
p1_L02	5	=pardonne	M	B:=pardonnez	differ
p1_L02	6	=de	H		agree
p1_L02	7	=ce	H		agree
p1_L02	8	6	H		agree
p1_L02	9	=au	H		agree
p1_L02	10	=col	M	B:60	differ
p1_L02	11	=qui	M	B:=ay	differ
p1_L02	12	=depesche	M	B:=depesché	differ
p1_L02	13	=a	H		agree
p1_L02	14	=messagier	H		agree
p1_L02	15	=ce	M	A:-	gap
p1_L02	16	=lundy	M	A:-	gap
p1_L02	17	=mais	M	A:-	gap
p1_L02	18	=scelon	M	B:=selon	differ
p1_L02	19	=lespoulx	M	B:=l'esperance	differ
p1_L02	20	=que	H		agree
p1_L02	21	=col	M	B:=vous	differ
p1_L02	22	=auoit	M	B:=m'auiez	differ
p1_L02	23	=donne	M		agree-flagged
p1_L02	24	=parme	M	B:=pense	differ
p1_L02	25	=de	M		agree-flagged
p1_L03	1	=cau	M		agree-flagged
p1_L03	2	140	H		agree
p1_L03	3	125	H		agree
p1_L03	4	115	H		agree
p1_L03	5	81	H		agree
p1_L03	6	20	H		agree
p1_L03	7	86	H		agree
p1_L03	8	21	H		agree
p1_L03	9	82	H		agree
p1_L03	10	22	H		agree
p1_L03	11	83	H		agree
p1_L03	12	27	H		agree
p1_L03	13	150	H		agree
p1_L03	14	123	S	133	settled-a nc=2 margin=0.35
p1_L03	15	84	H		agree
p1_L03	16	31	H		agree
p1_L03	17	117	H		agree
p1_L03	18	6	H		agree
p1_L03	19	81	M		agree-flagged
p1_L04	1	145	M	A:-	gap
p1_L04	2	=auoit	M	B:=auoué	differ
p1_L04	3	=fut	M	B:=este	differ
p1_L04	4	=tout	H		agree
p1_L04	5	7	H		agree
p1_L04	6	71	H		agree
p1_L04	7	73	H		agree
p1_L04	8	36	H		agree
p1_L04	9	11	H		agree
p1_L04	10	13	H		agree
p1_L04	11	75	M	B:55	differ
p1_L04	12	56	H		agree
p1_L04	13	149	H		agree
p1_L04	14	138	H		agree
p1_L04	15	127	H		agree
p1_L04	16	16	H		agree
p1_L04	17	38	H		agree
p1_L04	18	101	M	B:108	differ
p1_L04	19	111	H		agree
p1_L04	20	2	H		agree
p1_L05	1	1	H		agree
p1_L05	2	8	H		agree
p1_L05	3	80	H		agree
p1_L05	4	28	H		agree
p1_L05	5	=a	M	A:-	gap
p1_L05	6	=apparoistre	M	B:=paravec	differ
