line	col	A	B	flagged	crop
p1_L01	1	=Monsieur	=pourriez	B	
p1_L01	2	140	110		
p1_L01	4	62	61		
p1_L01	16	-	=la	B	
p1_L01	20	2	8		
p1_L01	21	78	71		
p1_L01	25		=demeurant	AB	
p1_L02	10		=deugues	AB	
p1_L03	2	=at	=et	AB	
p1_L03	15	31	81		
p1_L03	22	21	26		
p1_L04	3	=sceu	=deça	AB	
p1_L04	6	=curgar	=songer	AB	
p1_L04	7	=Jay	=jay		
p1_L04	10	=Long	=long		
p1_L04	13	=pourse	=porté	AB	
p1_L04	14	=actendant	=attendant		
p1_L04	19	=seg	80	AB	
p1_L05	1	7	-	A	
p1_L05	15	=a	=et		
p1_L06	8	=tout	=soubz	AB	
p1_L06	9	=effroya	=affeya	AB	
p1_L06	11	=quils	=guils	AB	
p1_L06	21	72	71		
p1_L06	23	1	8		
p1_L07	3	=at	=et	AB	
p1_L07	4	=guaury	=guarny	AB	
p1_L07	5	=bidy	=bien	AB	
p1_L07	15	150	130		
p1_L08	1	=Des	=car	B	
p1_L08	22	21	22		
p1_L09	2	3	5		
p1_L09	13	150	130		
p1_L09	14	=Sont	=vous		
p1_L09	15	=tres	=ira		
p1_L09	18	=trouves	=trouver	B	
p1_L09	19	=de	=sy	B	
p1_L10	17	29	24		
p1_L10	20	-	=de	B	
p1_L10	21	=Devant	=cela	B	
p1_L10	24	=vostre	=mettray	B	
p1_L11	1	=aultres	=autres	B	
p1_L11	6	=sinuoge	=remets	AB	
p1_L11	7	=Dauttant	=dautant		
p1_L11	10	=feray	=seray		
p1_L11	15	=pouiez	=pouant	B	
p1_L11	21	30	10		
p1_L12	6	53	83		
p1_L12	22	125	121		
p1_L12	23	135	138		
p1_L13	1	31	37	B	
p1_L13	17	=est	=et		
p1_L13	20	=repandant	=repondant		
p1_L13	22	=L	=l	AB	
p1_L17	7	38	78		
p1_L17	13	248	148		
p1_L17	15	-	=d	B	
p1_L17	17	=fait	=faict		
p1_L18	14	=baillent	=veulent		
p1_L18	17	=ny	=ou	B	
p1_L18	18	=que	=guerre	B	
p1_L19	14	41	=vi	AB	
p1_L19	20	=sur	=de	AB	
p1_L20	1	=a	=au	B	
p1_L20	18	=vaincre	=remectre	AB	
p1_L20	19	=Ce	=le		
p1_L20	24	83	73		
p1_L21	8	=august	=auguel	AB	
p1_L21	9	=mettre	=mectre	B	
p1_L22	5	=grandes	=grandeur	B	
p1_L23	2	=Il	=il		
p1_L23	3	=beult	=veult		
p1_L23	6	=pourboiz	=prouvez	AB	
p1_L23	7	=dirniers	=dermener	AB	
p1_L24	1	6	=c	B	
p1_L24	4	35	55		
p1_L24	9	=ainsy	=aussy	B	
p1_L24	11	214	114		
p1_L24	20	54	34		
p1_L25	9	64	60		
p1_L26	5	85	75		
p1_L26	12	=Vous	-		
p1_L26	13	=pourez	=vous		
p1_L26	14	=peust	=pouez		
p1_L26	15	=estre	=penser	A	
p1_L26	17	=ya	=y	A	
p1_L27	19	-	=telle		
p1_L27	20	=tellafosa	=sorte	AB	
p1_L29	14	-	=voyant	B	
p1_L29	15	-	=que		
p1_L29	16	-	11		
p1_L29	17	-	51		
p1_L29	18	-	21		
p1_L29	19	74	140		
p1_L29	20	10	5		
p1_L29	21	39	6		
p1_L29	22	75	26		
p1_L29	23	100	31		
p1_L29	24	85	22		
p1_L29	25	60	82		
p1_L29	26	150	127		
p1_L29	27	52	108		
p1_L29	28	40	4		
p1_L30	7	127	-		
p1_L30	8	=Voyans	-		
p1_L30	9	=que	-		
p1_L30	10	12	-		
p1_L30	11	51	-		
p1_L30	12	21	-		
p1_L30	13	140	-		
p1_L30	14	5	-		
p1_L30	15	6	-		
p1_L30	16	26	-		
p1_L30	17	31	-		
p1_L30	18	22	-		
p1_L30	19	82	-		
p1_L30	21	101	-		
p1_L30	22	4	-		
p1_L31	4	32	34		
p1_L31	12	-	=qu	B	
p1_L31	13	=quesque	=egu	AB	
p1_L31	19	85	88		
p1_L32	1	15	18		
p1_L33	7	=aussi	=devez	B	
p1_L33	19	71	75		
p1_L34	4	53	55		
p1_L34	8	=by	=aussy	AB	
p1_L34	9	=sy	=si	A	
p1_L34	11	=bien	-		
p1_L34	12	=assouvir	=scavoir		
p1_L34	13	=scauoir	=dheure		
p1_L34	15	=autre	=aultre	A	
p1_L35	6	31	71		
p1_L35	8	=dou	=dnt	AB	
p1_L36	14	=qu	=quil	A	
p1_L36	19	3	5		
p1_L36	22	-	=dira	B	
