line	segment	group_index	tokens
f277r_L1	1	1	[PLAIN:"180 ?????-????? no ?"]
f277r_L1	2	1	~ [PLAIN:"m' ?ffe?te ?b ?g?b"] ~
f277r_L1	3	1	[yogh] F o+[bar-above] [eps]
f277r_L1	3	2	[boxbar] [theta] x [rho]
f277r_L1	3	3	N x o [dash] o [dash] [omega] ~
f277r_L1	4	1	~ [omega] u v D
f277r_L1	4	2	x [chibar] x [chibar] [eps] x
f277r_L1	4	3	[dash] [theta] [theta] [dash]
f277r_L1	4	4	[gamma] [yogh] x [tilde2] [tilde2] [loopdesc] ~
f277r_L2	1	1	[theta] [theta] [dash] N
f277r_L2	1	2	m [yogh] L 3 [eqbar]
f277r_L2	1	3	G u c [rho] o [loopdesc] ~
f277r_L2	2	1	~ o [loopdesc] 5 8
f277r_L2	2	2	[eqbar] [chibar] x 3 [hash]
f277r_L2	2	3	4 x [cross] [tilde2] [tilde2]
f277r_L2	2	4	I T I ~
f277r_L2	3	1	~ m [rho] L 2 [omega]
f277r_L2	3	2	N [chibar]
f277r_L2	3	3	Q 3 [loopdesc] [yogh]
f277r_L2	3	4	o u 3 [eps] ~
f277r_L2	4	1	~ 3 [eps] T T x u v
f277r_L2	4	2	[eqbar] [chibar] C D
f277r_L2	4	3	? [rho] x ~
f277r_L3	1	1	[theta] [theta] [dash] N
f277r_L3	1	2	m [yogh] L2 ~
f277r_L3	1	3	~ [loopdesc] D
f277r_L3	1	4	[eps] [chibar] [theta] x 5 N I V
f277r_L3	1	5	[rho] g [yogh] ~
f277r_L3	2	1	~ g 3+[dot-above]
f277r_L3	2	2	[chibar] [eps] G g [yogh] N x
f277r_L3	2	3	[loopdesc] D u [chibar] x ~
f277r_L3	3	1	~ x g D
f277r_L3	3	2	4 [hook] [omega]
f277r_L3	3	3	g N o [loopdesc] o [gamma] [loopdesc] ~
f277r_L3	4	1	~ g [loopdesc][loopdesc]
f277r_L3	4	2	[chibar] [eps] T T [chibar] u
f277r_L3	4	3	[loopdesc] [yogh] u [chibar] x 3 ~
f277r_L4	1	1	D g T T [eps] m
f277r_L4	1	2	4 x [loopdesc] L I [eqbar] x
f277r_L4	1	3	[hash] ~
f277r_L4	2	1	~ [hash] m
f277r_L4	2	2	[PLAIN:"full fort agaynst"]
f277r_L4	3	1	[PLAIN:"th? y??? no?ll??"]
f277r_L4	3	2	G d [chibar] [eps]
f277r_L4	3	3	u ~
f277r_L4	4	1	~ u [theta] [tilde2]
f277r_L4	4	2	[eqbar] [chibar] 3
f277r_L4	4	3	m g o [omega]
f277r_L4	4	4	g D ~
f277r_L5	1	1	o [chibar] [omega] 3 Q u [loopdesc] m
f277r_L5	1	2	[theta]+[bar-above] o [chibar] [rho] ? ~
f277r_L5	2	1	~ g 3 [eps] q
f277r_L5	2	2	[tilde2] u m x
f277r_L5	2	3	Z x
f277r_L5	2	4	3 [chibar] D [eqbar] ~
f277r_L5	3	1	~ [eqbar] v [omega]
f277r_L5	3	2	[loopdesc] Q
f277r_L5	3	3	x g 5 q
f277r_L5	3	4	g [eps] x u [loopdesc] ~
f277r_L5	4	1	~ [loopdesc] [dash] x N H
f277r_L5	4	2	3 [eps] u
f277r_L5	4	3	[eqbar] [chibar] x [rho]
f277r_L5	4	4	[chibar] [eps] [eqbar] g u ~
f277r_L6	1	1	[gamma] C N
f277r_L6	1	2	4 g D [chibar] D [tilde2]
f277r_L6	1	3	1 [eps] o o
f277r_L6	1	4	[dash] [omega] ~
f277r_L6	2	1	~ [omega] N 3 g h [chibar] [yogh] [chibar] u p
f277r_L6	2	2	[tilde2] x m u x [chibar] ~
f277r_L6	3	1	~ x [chibar] g
f277r_L6	3	2	o [dash] o [eqbar] [chibar] N x
f277r_L6	3	3	3 [eps] u
f277r_L6	3	4	D g I I ~
f277r_L6	4	1	~ I I x [chibar] [dash] [omega]
f277r_L6	4	2	g [chibar]
f277r_L6	4	3	[theta] Z 4 [rho] [eqbar]
f277r_L6	4	4	[gamma] g N ~
f277r_L7	1	1	x u [chibar] [loopdesc] u x
f277r_L7	1	2	[eps] x [dash] [omega] [dash] r g u
f277r_L7	1	3	m ~
f277r_L7	2	1	~ m [yogh] [loopdesc] u x x
f277r_L7	2	2	4
f277r_L7	2	3	u x m o [dash]
