line	col	A	B	flagged	crop
sept_L01	2	de	-		
sept_L01	3	la	cela		
sept_L01	4	difficulte	difficulté		
sept_L01	6	56	7̄o		
sept_L01	8	p̄dxd	-		
sept_L01	9	ayc	-		
sept_L01	10	no	-		
sept_L01	11	q	-		
sept_L01	12	b	ppdxd		
sept_L01	13	qqr	ayonoqt		
sept_L01	14	II	ppr		
sept_L01	15	q̄i	[mark:pi-like]		
sept_L01	16	bx	7̄i		
sept_L01	17	m	bxmy		
sept_L01	20	za	-		
sept_L01	21	bm	3a		
sept_L01	22	go	[mark:round]mgo		
sept_L02	7	l'effet	-		
sept_L02	8	d'une	-		
sept_L02	9	lettre	-		
sept_L02	10	zu	-		
sept_L02	11	ka	-		
sept_L02	12	d	-		
sept_L02	13	y	-		
sept_L02	14	r	-		
sept_L02	15	f	-		
sept_L02	16	q	-		
sept_L02	17	ß	-		
sept_L02	18	t	-		
sept_L02	19	l	-		
sept_L02	20	d	l'effait		
sept_L02	21	Z	devoir		
sept_L02	22	h	estre		
sept_L02	23	tu	zukadyrfq		
sept_L02	24	t	[mark:ß-like]		
sept_L02	25	x,	tldZhtu[mark:cross]x,		
sept_L03	1	I,	-		
sept_L03	2	p	3,		
sept_L03	3	x	pax,		
sept_L03	5	6̄39	tz̄9		
sept_L03	8	selon	selon,		
sept_L03	11	-	puisse		
sept_L03	12	-	d[unclear:esoun-eboir]		
sept_L03	13	-	affin.		
sept_L03	14	pour	[unclear:capital]ravon		
sept_L03	15	desdits	a		
sept_L03	16	affaires	durci[unclear:signs]Huy		
nov_L01	6	croiste	avisse		
nov_L01	11	b	-		
nov_L01	12	Ir	-		
nov_L01	13	c	-		
nov_L01	14	Iy	v[unclear:J-b]rc[unclear:J-1]y		
nov_L02	1	et	-		
nov_L02	2	sy	-		
nov_L02	3	qq	-		
nov_L02	4	4̄1	[mark:cross]		
nov_L02	5	3	8y		
nov_L02	6	d	qq[mark:crossbar]		
nov_L02	7	Ir	4̄13		
nov_L02	8	x	[unclear:delta]J		
nov_L02	9	fa	rxfa,		
nov_L02	11	et	-		
nov_L02	12	x,	etc,		
nov_L02	15	p	pp[mark:crossbar]		
nov_L02	17	yl	-		
nov_L02	18	c	-		
nov_L02	19	m	-		
nov_L02	20	t	ylc		
nov_L02	21	y	mty		
nov_L02	22	qqr	qq[mark:crossbar]r		
nov_L02	23	ne	uc		
nov_L02	24	seroit	lire		
