# Reconciled ciphertext (YX-BARB, 25 Sept 2026): pass A (TX-BARRT) and pass B (blind, this worker) reconciled
# against the page images by direct inspection (tools/reconcile_passes.py located disagreements; every
# disagreement checked against images/collectionofstat02thur_leaf0729.jpg and leaf0730.jpg by eye -- see
# NOTES.md YX-BARB section for the settling of each). Run structure follows pass B, which read run
# boundaries correctly where pass A incorrectly split a run at a page-line wrap (losing one entire
# printed line of ciphertext, 25 tokens, in the process -- see NOTES.md).
# Columns: run_id, tokens (trailing '*' = diacritic mark present, type not distinguished), gloss_as_printed,
#   ctx_left, ctx_right, leaf, confidence (H = pass A and pass B agree after normalizing mark/symbol-label
#   notation; M = passes disagreed or one omitted the token, settled from the image by this worker), note
run_id	tokens	gloss_as_printed	ctx_left	ctx_right	leaf	confidence	note
R001	85* 57* 23* 80 12 82		touchant	qui certainement a efté fort	729	H	
R002	8*		a efté fort	à qui eft encore	729	H	single token, caret mark
R003	61 x 30* 47* 20* 52* 68* 72* 75* 22* 28* 93* 86* 56 52 ll 10 68 36 88	si toutes chofes se changent fort	à qui eft encore	en l'eftat ou font les	729	H	merges across page-line wrap (no intervening body-text French word between "x" and "30"); a further gloss fragment "d'eftably pour le gouvernement :" prints on this same gloss line but under the plain-text tail "en l'eftat ou font les", not under any cipher token, so not recorded here
R004	o 70* 12* 34* 66* 40* 26* 68* [circle-dot] d 61	le parlement & le protecteur eftant fort oppofé,	affaires	ni ayant rien	729	H	"Th" = circle-with-central-dot symbol, distinct from the "Ph" (circled-bar) symbol seen elsewhere; gloss sentence continues rightward under R005's opening tokens (see R005)
R005	75* 88* 78* 44* 71* 89* 79* 31* 88* 61 13 16 8 53* 61* 47* 45* 20* 7* 59* 6* 96* a 53* 8* 17 7* 72* 25* f 32* 88* 18* 77* 9 59 63* 12* 90* 41* 73* c 14* x 93* a 31	fi quoique je ne doubte point que le protecteur demeure le maiftre, ||| puis que je feur qu'illes ||| prefentement ||| oppofée ||| ce prot. ne fit, ||| fu c fe fi e	ni ayant rien	qui feftet	729	M	run merges 3 printed lines (no intervening French body-text word at either line wrap, per rule); first token of 2nd constituent printed line read closely as "88", not "83"; gloss combines the continuation of R004's sentence plus 5 further fragments from the 2nd and 3rd constituent lines, top-to-bottom/left-to-right; reconciled against passA + image (YX-BARB, 25 Sept 2026): agrees with pass A
R006	47* 20* 26* 91* 9* 16* 6* 65* 40* d 53* 80* 29* 58* 70* 21*		qui feftet	& qui ne vouloit point qu'il euft une	729	H	merges across line wrap (no French word between "53" and "80")
R007	91* d 43* 92* 28* f 73* 9* a	changer de fe nt. ||| le	qui ne vouloit point qu'il euft une	mais croy que peu à peu il la fera	729	H	
R008	68* 39* 74* 58* e ll	parl. eft le majeur il cas fe ra la armée	mais croy que peu à peu il la fera	en lui faifant voir, que fi	729	H	
R009	89 61* 8* 88* 18* 75* 89* 59* 22* 27* 14* a		en lui faifant voir, que fi	& qu'apres cela il voudroit fçavoir les raifons	729	H	merges across line wrap; mark uncertain on the first "89" (line-end token, not clearly seen in this pass)
R010	61* 40*	la vi e	pourquoy elle a rompue les deux derniers	de fon	729	H	preceding italic "premier chef" sits under the plain text "pourquoy elle...derniers", not under this run, so not recorded here
R011	61* x		de fon	qui eft un crime	729	H	
R012	51* 86 69 36 m	ra me ne ront à ||| feurement la partie de l'armée	qui eft un crime	& par confequent ou il va de	729	H	merges across line wrap
R013	85* 37* 20	feparée	& par confequent ou il va de	: ces raifons-là	729	H	
R014	23* 25 7* 47* 27* [phi-symbol] 59* 42* 32* 32* 86* 55* x 72* b 14* a 14*	de ||| hafter	: ces raifons-là	feftet	729	H	merges across line wrap; "Ph" = circled-bar symbol
R015	58* 51 31* 36* 72	traiter	feftet	lui	729	H	
R016	10		lui	ces incertitudes font que	729	M	"ces incerti-tudes" is a plain word hyphenated across the line wrap, not a run boundary issue; reconciled against passA + image (YX-BARB, 25 Sept 2026): differs from/absent in pass A, settled from the image
R017	40	lequel deffein d'eux le a pourroit tira, & il ne faut point l'eftat de traiter que le parlement ne foit feparé	ces incertitudes font que	ne veut pas ce	729	M	single gloss sentence printed below the whole line, covering this run plus R018, R019 and the opening of R020; recorded once here to avoid duplication; reconciled against passA + image (YX-BARB, 25 Sept 2026): differs from/absent in pass A, settled from the image
R018	90* d 92* 39*		ne veut pas ce	de	729	H	see R017 note re: shared gloss line
R019	22* 44*		de	ne fachant pas encor	729	M	see R017 note re: shared gloss line; reconciled against passA + image (YX-BARB, 25 Sept 2026): agrees with pass A
R020	89 7 c 76 81 88* u 70* p 44* 92* 22* 13* 75* 6* 47* 53* 34* 80* 72* 22* 39* 9 89* 61* 7* 75* 58* 51* 32*	prize may z car on la pr j lon ge du ||| mo	ne fachant pas encor	ce qui ne ce fera que le	729	M	run merges "encor 89" + a full all-cipher printed line + "58 51 32" (no French word at either wrap); see R017 for the gloss covering this run's opening token; reconciled against passA + image (YX-BARB, 25 Sept 2026): agrees with pass A
R021	19		ce qui ne ce fera que le	de	729	M	reconciled against passA + image (YX-BARB, 25 Sept 2026): differs from/absent in pass A, settled from the image
R022	15* 44* 45* 88* 37* 86* 85* d 8* 74* 99* [circle-dot] 42 o 40*	Efpagne ne faifant un le propofition,	de	ce qu'il va à craindre c'eft que le	729	M	merges across line wrap (no French word between "Th" and "42"); "Th" = circle-with-central-dot symbol, same type as R004; reconciled against passA + image (YX-BARB, 25 Sept 2026): agrees with pass A
R023	27* 84* 6* 45* o 55* 21* 89* 85* 22* 70* 70* 97* 37* 7* 45* [phi-symbol] 59* 86* 57* 9* 8* 86* 80* 40*	ou que la f fle la paix avecque la France ||| qui eft al lé e à la	ce qu'il va à craindre c'eft que le	eft fort perfuadé, que cela ne fe fera pas.	729	H	merges across line wrap; "Ph" = circled-bar symbol
R024	49* 14* 8* 56* 89* x 26* 85* 37* 25* 82* 92* 39* 23* 7* a 28* 10* 83* 77*		Il eft vrai, qu'on croit que	le bruit eft tout commun, que fi	729	H	merges across line wrap
R025	11* 31* c 53* 42* 21* 71* 21* 44* 73* 85* 32* 59* 11* 85* 88* 7* 22* 22* 37* 16* 87* 12* 6* d 77* 84* 90* 26* 91* 82* a 32* d 88* 75* 40* 83* r 30* 38* 20 70 49 62 74 84* 6* 90* 92* 37* 85		le bruit eft tout commun, que fi	dans peu de temps nous en ferons	729	H	run merges across two line wraps (an entirely-cipher printed line in the middle, no French word at either join)
R026	17		Je vis hier	pour lui	729	M	single token; isolated between two plain-French phrases; not a real date (letter is dated the 20th and refers to "hier" = the 19th, not the 17th), so read as cipher not a plaintext date; reconciled against passA + image (YX-BARB, 25 Sept 2026): differs from/absent in pass A, settled from the image
