# Pass A (this worker, TX-BARRT, eye transcription from the images at 1.8-3.5x crops), 25 Sept 2026.
# Birch, Thurloe State Papers vol.2 pp.721-722, Barriere to Conde, London 20 Nov 1654 N.S.
# One row per run of consecutive numeral/letter/symbol codes (a "run" ends at the first intervening clear French
# word; print-line wraps inside a run are NOT run boundaries -- e.g. run003 crosses the 729L2/729L3 line wrap).
# Columns: run_id, tokens (space-separated; a trailing '*' on a token = a diacritic mark was visible above it,
#   type not distinguished this pass), gloss_as_printed (verbatim italic text below, or blank), ctx_left, ctx_right,
#   leaf, note
run_id	tokens	gloss_as_printed	ctx_left	ctx_right	leaf	note
R001	85 57* 23* 80 12 82		touchant	qui certainement a esté fort	729
R002	8*		a esté fort	à qui est encore	729
R003	61 x 30 47* 20 52* 68* 72* 75* 22* 28* 93* 86* 56* 52* ll 10* 68* 36* 88	fi toutes chofes fe changent fort ||| d'eftably pour le gouvernement :	à qui est encore	en l'estat ou sont les	729	gloss printed as two phrases: left phrase under approx tokens 3-8 (30,47,20,52,68,72); right phrase under approx tokens 18-20 (68,36,88); tokens 9-17 have no visible gloss. ||| separates the two printed phrases.
R004	o 70 12 34 66 40 26 68 [circle-dot] d 61		affaires	ni ayant rien	729	part 1 of a run split by clear "ni ayant rien"; see R004+R005 combined gloss below
R005	75* 88* 78 44 71* 89* 79 31	le parlement & le protecteur eftant fort oppofé, fi quoique je ne doubte point que le protecteur demeure le maiftre,	ni ayant rien	[line wrap, new sentence follows]	729	gloss is printed as one continuous line below R004+R005 combined (19 tokens excluding the clear "ni ayant rien" between them); word count of the gloss excluding "&" = 19, an exact match to the 19 combined tokens -- the best-supported run in the letter (see NOTES.md s.2)
R006	83 61 13 16 8* 53 61 47 45 20* 7* 59 6* 96 a 53 8* 17* 7* 72 25 f 32* 88 18 77	puis que je feur qu'illes ||| prefentement ||| oppofée ||| ce prot. ne fit,	[new sentence]	qui feftet	729	4 gloss phrases under a 26-token run; first phrase sits under the first 5 tokens (83,61,13,16,8) -- an exact 5-for-5 sequential match; the other 3 phrases (prefentement / oppofée / ce prot. ne fit,) sit further right but their exact token span could not be pinned down confidently at this pass's resolution
R007	9* 59 63 12* 90 41* 73 c 14 x 93 a 31	fu c fe fi e	qui feftet	[new clause]	729	gloss sits under the first 5 of 13 tokens (9,59,63,12,90) -- exact 5-for-5 sequential match, remaining 8 tokens unglossed
R008	47 20 26 91 9 16 6* 65 40* d 53*		[new clause]	[new sentence]	729	no gloss
R009	80* 29* 58* 70* 21		[new sentence]	& qui ne vouloit point qu'il eust une	729	no gloss directly under this span
R010	91 d 43* 92* 28 f 73* 9 a	changer ||| de fe ||| nt. ||| le	qu'il eust une	;	729	4 short gloss fragments; approximate positions: changer~91, de~d, fe(se)~43, nt.~92 (fragment, meaning unclear), le~a (last token, far right); 28,f,73,9 unglossed
R011	68 39 74 58* e ll	parl. eft le majeur il cas fe ra la armée	mais croy que peu à peu il la fera	en lui faifant voir, que fi	729	9 gloss words for 6 tokens -- sparse/mismatched, no confident per-token mapping attempted
R012	89		que fi	[new sentence]	729	no gloss
