nr	date	correspondent	place	opmerkingen	bronnen	has_ontcijferd	has_edition_source
53	| | 24-10-1561 |	| Aan |August van Saksen (Sachsen)|	| | |Breda	| Het origineel met een eigenhandig postscriptum. Een gedeelte van de brief is in cijferschrift. | |	KHAG ; SAD	False	False
57	| | 18-11-1561 |	| Van |August van Saksen (Sachsen)|	| | |Torgau	| Met een postscriptum d.d. 20 november. De minuut met een 'Zettel' en een tweede postscriptum d.d. 23 november. Tevens een bijvoegsel in het origineel in cijferschrift. | |	DNOK ; HHSAWB ; KHAG ; SAD	False	False
58	| | 31-12-1561 |	| Aan |August van Saksen (Sachsen)|	| | |Breda	| Met een ontcijferd gedeelte in geheimschrift. | |	KHAG ; SAD	True	False
74	| | 13-8-1562 |	| Aan |August van Saksen (Sachsen)|	| | |Brussel (Bruxelles)	| Met een postscriptum in geheimschrift, waarvan op f. 19 de ontcijfering. Antwoord op nr. 71. | |	BVAN ; KHAG ; SAD	False	False
98	| | 13-3-1563 |	| Aan |August van Saksen (Sachsen)|	| | |Brussel (Bruxelles)	| De minuut zonder het begeleidend schrijven. Bij het origineel een postscriptum in cijfer met de oplossing. Volgens de minuut moest de brief tevens worden gezonden aan Filips van Hessen, Willem van Hessen, Ernst van Brunswijk-Grubenhagen, Lodewijk van Nassau, Georg von Holl en Wolfgang van de Palts. | |	KHAG ; SAD	False	False
124	| | 16-4-1564 |	| Aan |August van Saksen (Sachsen)|	| | |Brussel (Bruxelles)	| Antwoord op nr. 121. Het origineel met een bijlage in (ontcijferd) geheimschrift. De minuut is niet compleet. | |	DNOK ; GPA ; HHSAWB ; KHAG ; SAD	True	True
126	| | 16-9-1564 |	| Aan |August van Saksen (Sachsen)|	| | |Brussel (Bruxelles)	| Het origineel met een postscriptum in cijferschrift. De minuut met een 'Zeitung'. | |	KHAG ; SAD	False	False
153	| | 1-9-1566 |	| Aan |August van Saksen (Sachsen)|	| | |Antwerpen (Anvers)	| Met twee 'post data', waarvan de laatste in cijferschrift, waarvan 2 oplossingen. | |	SAD	False	False
174	| | 9-4-1567 |	| Aan |Willem van Hessen|	| | |Antwerpen (Anvers)	| Onderaan bladzijde 3 van de minuut Koninklijk Huisarchief (Den Haag) staat: 'Auch dem Hern Churfurst zue Sachsen'. Aan het eind van het ontwerp Hessisches Hauptstaatsarchiv is aangegeven welke namen door cijfers dienden te worden vervangen. Het origineel is grotendeels in geheimschrift. Bij het origineel een postscriptum, een kopie waarin het geheimschrift is opgelost en als bijlagen kopieën van een brief van Margaretha van Parma aan de prins nr. 1250 d.d. 5 maart 1567 met de af te leggen eed en het antwoord van de prins nr. 1251 d.d. 6 maart 1567. De contemporaine kopie Sächsisches Hauptstaatsarchiv is door Willem van Hessen aan August van Saksen gezonden. | |	GPA ; HHSAWB ; HSAM ; KHAG ; SAD	False	True
175	| | 9-4-1567 |	| Aan |August van Saksen (Sachsen)|	| | |Antwerpen (Anvers)	| Het origineel met enige gedeelten in (opgelost) cijferschrift en met als bijlagen kopieën van de brief van Margaretha van Parma aan de prins nr. 1250 d.d. 5 maart 1567 met de af te leggen eed en het antwoord van de prins daarop nr. 1251 d.d. 6 maart 1567. | |	DNOK ; HHSAWB ; KHAG ; SAD	False	False
378	| | Datum door bewerker bepaald tussen 1-8-1580 en 31-8-1580. |	| Van |Staten van Utrecht|	| | |	| Geschreven op verzoek van Willem Taets van Amerongen, deken van Oudmunster. In de datum is het dagcijfer niet ingevuld. | |	HUA	False	False
390	| | 9-7-1583 |	| Van |Staten van Utrecht|	| | |Utrecht	| De datum is herleid naar de Gregoriaanse kalender. Het dagcijfer is in de minuut niet ingevuld. | |	HUA	False	False
424	| | 2-5-1579 |	| Aan |Philippe de Croij, hertog van Aerschot|	| | |Antwerpen (Anvers)	| De editie Gachard, |Correspondance de Guillaume le Taciturne| naar de editie	AAP ; AAV ; AGSV ; GCGT ; HSADU ; HSAM ; RNPC	False	True
1069	| | 23-3-1563 |	| Van |Willem van Hessen|	| | |Marburg	| Met een tijding, bij het origineel een exemplaar in cijferschrift en met ontcijfering. De minuut met een postscriptum en afschrift van berichten uit Frankrijk. Antwoord op nr. 1068. | |	HSAM ; KHAG	False	False
