line	pos	code	marks	reason
1	5	tee		individually rechecked: cross-shape with a squiggle above, closer to the tee cross-shape used elsewhere on this leaf than to Z's zigzag
1	8	g	dot	individually rechecked at 5x: bold solid closed loop with curled tail, not a small dot/diacritic; matches the recurring closed-loop g shape, not a minimal plain mark
1	27	+		individually rechecked: single crossbar shape, closer to + than to a hash-grid #
2	1	#		individually rechecked: clear hash-grid (two crossing bars), matches # not Z; box also contains a second stacked sign below (S7, accepted as split 1.5)
2	1.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
2	5	wd		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
2	20	Z		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
2	20.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
2	26	eps	5	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
2	26.5	g	7	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
3	7	m		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
3	7.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
3	13	v		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
3	19	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
4	22	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
